거래ID,고객ID,거래일,거래금액,카테고리,결제방법
T001754,C01511,2023-05-16,394595.0,의류,간편결제
T001755,C00608,2024-02-01,136060.0,전자,카드
T001756,C01370,2023-08-01,357162.0,의류,카드
T001757,C00728,2023-05-02,22033.0,전자,간편결제
T001758,C01698,2023-04-15,94069.0,의류,현금
T001759,C01358,2023-12-10,383893.0,의류,간편결제
T001760,C01757,2023-07-09,70418.0,의류,현금
T001761,C01404,2023-08-14,237239.0,생활,간편결제
T001762,C01008,2024-01-29,386678.0,식품,간편결제
T001763,C01476,2023-11-15,244876.0,생활,간편결제
T001764,C00351,2024-04-11,345096.0,전자,카드
T001765,C01305,2023-02-23,26843.0,식품,카드
T001766,C00797,2023-02-10,190114.0,식품,카드
T001767,C01982,2023-02-03,152633.0,생활,간편결제
T001768,C01125,2023-11-24,17315.0,생활,카드
T001769,C01435,2023-07-13,346889.0,식품,카드
T001770,C01488,2023-06-26,113907.0,식품,카드
T001771,C01226,2024-04-01,286218.0,의류,간편결제
T001772,C00112,2024-05-08,359829.0,의류,간편결제
T001773,C00634,2023-01-09,165340.0,식품,카드
T001774,C00418,2023-12-03,190526.0,식품,카드
T001775,C01268,2023-04-17,109315.0,뷰티,간편결제
T001776,C01361,2024-03-25,385063.0,뷰티,간편결제
T001777,C00074,2024-01-08,215604.0,뷰티,간편결제
T001778,C00876,2023-05-19,212480.0,생활,현금
T001779,C00827,2023-03-28,78371.0,의류,카드
T001780,C00988,2023-08-09,262720.0,식품,간편결제
T001781,C00908,2023-11-25,128757.0,생활,카드
T001782,C01743,2024-05-06,421371.0,의류,간편결제
T001783,C01718,2023-05-02,232469.0,식품,카드
T001784,C01473,2024-01-11,386737.0,생활,현금
T001785,C01081,2023-08-09,348829.0,생활,현금
T001786,C00943,2023-04-09,4659.0,생활,간편결제
T001787,C01278,2023-05-14,113945.0,뷰티,간편결제
T001788,C00358,2024-01-02,124833.0,생활,카드
T001789,C01930,2023-04-24,338842.0,전자,카드
T001790,C01689,2023-01-30,159993.0,의류,간편결제
T001791,C00217,2023-03-12,51003.0,뷰티,카드
T001792,C01671,2023-03-11,411392.0,생활,현금
T001793,C00712,2023-10-12,52504.0,전자,현금
T001794,C00813,2023-05-03,24495.0,뷰티,간편결제
T001795,C00928,2024-02-29,452821.0,생활,현금
T001796,C00776,2023-09-02,13632.0,뷰티,간편결제
T001797,C01899,2024-02-15,268108.0,의류,간편결제
T001798,C01475,2023-06-29,468843.0,생활,간편결제
T001799,C00151,2023-02-06,407401.0,식품,카드
T001800,C00737,2023-04-20,141473.0,의류,현금
T001801,C00882,2024-06-10,238060.0,전자,간편결제
T001802,C01071,2023-02-25,28872.0,식품,카드
T001803,C00892,2023-03-22,,의류,카드
T001804,C00825,2023-09-29,21897.0,의류,카드
T001805,C01341,2023-10-29,292625.0,생활,현금
T001806,C00805,2023-07-27,412876.0,뷰티,간편결제
T001807,C01357,2023-02-08,241284.0,뷰티,카드
T001808,C01772,2023-02-19,78653.0,뷰티,카드
T001809,C01647,2023-11-20,57638.0,의류,현금
T001810,C01249,2023-01-30,238302.0,생활,간편결제
T001811,C00829,2023-03-20,157437.0,의류,현금
T001812,C00959,2023-11-13,416058.0,뷰티,카드
T001813,C01088,2023-08-30,30427.0,생활,카드
T001814,C00118,2023-08-31,304877.0,뷰티,카드
T001815,C00667,2023-03-29,91159.0,식품,현금
T001816,C00588,2024-01-27,436939.0,의류,카드
T001817,C01708,2023-04-15,146099.0,전자,카드
T001818,C00725,2023-05-31,157617.0,식품,카드
T001819,C01872,2023-07-14,189523.0,식품,카드
T001820,C00386,2024-01-21,182678.0,의류,카드
T001821,C00487,2023-01-02,239456.0,뷰티,카드
T001822,C00266,2024-04-06,324426.0,전자,간편결제
T001823,C01306,2023-05-22,198557.0,생활,카드
T001824,C00029,2023-09-15,250599.0,의류,카드
T001825,C00216,2023-02-17,100957.0,식품,카드
T001826,C01689,2023-06-09,227434.0,뷰티,간편결제
T001827,C00510,2023-02-10,109586.0,의류,현금
T001828,C01930,2024-04-26,216822.0,뷰티,카드
T001829,C01860,2023-11-29,362292.0,의류,현금
T001830,C01413,2023-02-18,30097.0,식품,카드
T001831,C00301,2024-04-18,316748.0,뷰티,간편결제
T001832,C01412,2023-12-17,36643.0,식품,카드
T001833,C00650,2023-04-08,72338.0,식품,간편결제
T001834,C00736,2024-01-07,281892.0,식품,간편결제
T001835,C00026,2023-05-19,264331.0,전자,간편결제
T001836,C01494,2024-02-03,443446.0,식품,카드
T001837,C01654,2023-05-22,165243.0,식품,카드
T001838,C00707,2023-06-11,369368.0,의류,간편결제
T001839,C00199,2023-12-02,74423.0,식품,간편결제
T001840,C00839,2023-10-22,240305.0,뷰티,카드
T001841,C00700,2023-09-09,141235.0,생활,간편결제
T001842,C00051,2023-07-30,113258.0,식품,카드
T001843,C01316,2023-12-04,253069.0,생활,카드
T001844,C01938,2023-12-31,462583.0,식품,간편결제
T001845,C00938,2023-08-12,157663.0,의류,현금
T001846,C00625,2023-08-11,151473.0,의류,카드
T001847,C00333,2023-05-26,81287.0,뷰티,현금
T001848,C00581,2024-04-10,373283.0,의류,현금
T001849,C00441,2023-09-22,411139.0,식품,간편결제
T001850,C01167,2023-10-13,481550.0,식품,카드
T001851,C00181,2023-11-03,346570.0,식품,카드
T001852,C00857,2024-05-28,198709.0,전자,간편결제
T001853,C01910,2023-05-15,275519.0,식품,카드
T001854,C00963,2023-05-30,470983.0,의류,현금
T001855,C00395,2023-09-08,482652.0,뷰티,카드
T001856,C01224,2023-12-29,210159.0,식품,카드
T001857,C01347,2024-01-30,397742.0,의류,카드
T001858,C00221,2023-05-12,169380.0,생활,간편결제
T001859,C00157,2023-12-30,217927.0,식품,카드
T001860,C00753,2023-07-02,358021.0,식품,간편결제
T001861,C00787,2023-01-21,206541.0,생활,카드
T001862,C00223,2023-01-26,24317.0,의류,간편결제
T001863,C01653,2024-03-17,395168.0,전자,간편결제
T001864,C00868,2023-07-17,110466.0,전자,간편결제
T001865,C00589,2023-07-31,199621.0,식품,간편결제
T001866,C01183,2023-12-04,56647.0,전자,간편결제
T001867,C00555,2023-09-27,409113.0,생활,카드
T001868,C01795,2023-04-07,108913.0,의류,카드
T001869,C00582,2024-04-16,230865.0,뷰티,카드
T001870,C00736,2023-09-18,301661.0,전자,간편결제
T001871,C00782,2024-03-31,386320.0,생활,카드
T001872,C01864,2024-04-18,68081.0,식품,간편결제
T001873,C01946,2023-03-23,90454.0,식품,카드
T001874,C00137,2023-06-24,270994.0,식품,카드
T001875,C00841,2024-05-17,197511.0,식품,간편결제
T001876,C00184,2023-04-28,113535.0,의류,간편결제
T001877,C01141,2023-04-05,7157.0,의류,간편결제
T001878,C00155,2023-06-09,370503.0,의류,간편결제
T001879,C00296,2024-02-23,424863.0,의류,간편결제
T001880,C01597,2023-04-30,441793.0,생활,현금
T001881,C01825,2023-07-15,34038.0,뷰티,카드
T001882,C00844,2023-09-01,225081.0,뷰티,현금
T001883,C01337,2023-10-03,190111.0,뷰티,카드
T001884,C01661,2023-05-23,138969.0,의류,간편결제
T001885,C01329,2023-05-03,164196.0,생활,카드
T001886,C00962,2024-06-17,165637.0,식품,카드
T001887,C00652,2023-06-13,123564.0,생활,카드
T001888,C01526,2024-02-24,160486.0,생활,현금
T001889,C00698,2023-10-06,415169.0,의류,현금
T001890,C01098,2024-06-12,397937.0,식품,카드
T001891,C01284,2023-03-06,84232.0,뷰티,간편결제
T001892,C01175,2023-06-29,311978.0,의류,카드
T001893,C00904,2023-09-03,153449.0,생활,카드
T001894,C00047,2023-02-04,41846.0,생활,카드
T001895,C00214,2023-07-13,307234.0,생활,카드
T001896,C00289,2023-12-03,488401.0,뷰티,카드
T001897,C00909,2024-06-07,184936.0,뷰티,카드
T001898,C01468,2023-06-11,205195.0,뷰티,카드
T001899,C01257,2023-09-02,427130.0,식품,현금
T001900,C00589,2023-12-04,111733.0,식품,간편결제
T001901,C01384,2023-03-21,97043.0,전자,간편결제
T001902,C01170,2023-05-25,239193.0,뷰티,카드
T001903,C01411,2023-06-26,449764.0,식품,카드
T001904,C00707,2023-03-19,405872.0,뷰티,간편결제
T001905,C01745,2024-01-29,321750.0,식품,카드
T001906,C00853,2024-03-16,18518.0,생활,현금
T001907,C01187,2023-02-04,447736.0,식품,간편결제
T001908,C01240,2024-03-25,296051.0,의류,카드
T001909,C00496,2023-10-04,467238.0,식품,카드
T001910,C00964,2024-06-23,187143.0,전자,간편결제
T001911,C01145,2023-06-01,393434.0,식품,현금
T001912,C01967,2023-07-19,10080.0,식품,간편결제
T001913,C01538,2023-08-27,314896.0,전자,카드
T001914,C00592,2023-05-04,87318.0,식품,간편결제
T001915,C01084,2023-07-17,225500.0,생활,카드
T001916,C01643,2023-08-18,196744.0,생활,간편결제
T001917,C00842,2023-09-14,402464.0,뷰티,간편결제
T001918,C01910,2023-03-17,158857.0,뷰티,카드
T001919,C01164,2023-04-01,189717.0,뷰티,간편결제
T001920,C00342,2023-06-26,309376.0,생활,카드
T001921,C00629,2024-01-15,352185.0,뷰티,간편결제
T001922,C00767,2023-05-23,464867.0,식품,간편결제
T001923,C00640,2023-03-02,95634.0,의류,카드
T001924,C01659,2023-07-04,18103.0,뷰티,카드
T001925,C01688,2023-02-20,28271.0,의류,카드
T001926,C01739,2023-04-18,214612.0,생활,간편결제
T001927,C01031,2023-02-24,193843.0,뷰티,간편결제
T001928,C01159,2023-02-18,278613.0,전자,간편결제
T001929,C00403,2023-08-28,164579.0,전자,카드
T001930,C00312,2023-10-28,173745.0,식품,카드
T001931,C00468,2023-12-11,217825.0,의류,간편결제
T001932,C01085,2023-10-09,359340.0,뷰티,간편결제
T001933,C00226,2023-01-18,193186.0,뷰티,카드
T001934,C01049,2023-11-11,2456.0,전자,카드
T001935,C00187,2023-05-29,247948.0,생활,현금
T001936,C01608,2023-05-21,263957.0,생활,현금
T001937,C01149,2024-01-18,67225.0,전자,간편결제
T001938,C00957,2023-09-05,289393.0,뷰티,간편결제
T001939,C01580,2023-05-31,151803.0,의류,카드
T001940,C01637,2023-05-29,233927.0,식품,간편결제
T001941,C01156,2023-02-19,493738.0,생활,간편결제
T001942,C00844,2023-06-12,108016.0,식품,카드
T001943,C00508,2023-11-04,148403.0,뷰티,간편결제
T001944,C00547,2023-07-13,276734.0,생활,카드
T001945,C00858,2023-04-17,224052.0,뷰티,간편결제
T001946,C00499,2024-01-20,262467.0,뷰티,현금
T001947,C00297,2023-05-27,110142.0,식품,카드
T001948,C01024,2023-03-21,250069.0,뷰티,카드
T001949,C01554,2023-01-18,153484.0,전자,간편결제
T001950,C01416,2023-11-16,277301.0,전자,카드
T001951,C00594,2023-12-22,342399.0,뷰티,카드
T001952,C00272,2023-05-10,341640.0,뷰티,간편결제
T001953,C01081,2024-05-04,177561.0,의류,카드
T001954,C00163,2023-06-23,275265.0,의류,카드
T001955,C01399,2024-06-24,313540.0,의류,카드
T001956,C01091,2023-05-16,209173.0,생활,간편결제
T001957,C00843,2023-07-15,440106.0,식품,간편결제
T001958,C00575,2023-05-30,398852.0,의류,현금
T001959,C01200,2023-04-20,104004.0,뷰티,카드
T001960,C01281,2024-01-27,24250.0,식품,카드
T001961,C01622,2023-03-23,96750.0,전자,간편결제
T001962,C00334,2024-06-12,493587.0,의류,카드
T001963,C00803,2023-07-02,210231.0,식품,간편결제
T001964,C00758,2024-02-18,378758.0,의류,간편결제
T001965,C01488,2023-04-12,222332.0,생활,카드
T001966,C01900,2024-03-05,436016.0,생활,카드
T001967,C00588,2023-05-16,415042.0,생활,카드
T001968,C01004,2023-10-16,259169.0,뷰티,간편결제
T001969,C00908,2023-05-14,414278.0,식품,현금
T001970,C01698,2024-06-24,466791.0,뷰티,카드
T001971,C01350,2023-05-18,11846.0,의류,간편결제
T001972,C01638,2023-06-26,97005.0,전자,간편결제
T001973,C01558,2023-04-20,128244.0,생활,카드
T001974,C01268,2023-01-06,227457.0,의류,현금
T001975,C01450,2023-12-29,444452.0,생활,카드
T001976,C01253,2024-01-22,243219.0,뷰티,카드
T001977,C00821,2023-05-30,199932.0,뷰티,카드
T001978,C01150,2023-04-12,137705.0,의류,카드
T001979,C01721,2023-07-19,365806.0,생활,간편결제
T001980,C01449,2023-12-20,170053.0,전자,간편결제
T001981,C01887,2024-05-17,110003.0,전자,현금
T001982,C01504,2023-05-01,56943.0,전자,간편결제
T001983,C00330,2024-02-05,461420.0,생활,현금
T001984,C01945,2023-04-10,40660.0,뷰티,카드
T001985,C01309,2024-06-22,168295.0,뷰티,간편결제
T001986,C00017,2023-07-06,94701.0,식품,간편결제
T001987,C00821,2023-06-28,203115.0,뷰티,간편결제
T001988,C00457,2024-03-05,226917.0,식품,간편결제
T001989,C00402,2023-11-21,499575.0,뷰티,현금
T001990,C00322,2023-08-07,135096.0,뷰티,현금
T001991,C01439,2024-05-15,372066.0,생활,카드
T001992,C00247,2023-04-04,260831.0,의류,카드
T001993,C00497,2023-06-22,90297.0,식품,간편결제
T001994,C01902,2023-10-31,224459.0,전자,카드
T001995,C00458,2023-08-25,123948.0,전자,간편결제
T001996,C00092,2023-04-28,288803.0,생활,카드
T001997,C00380,2023-12-02,88966.0,뷰티,현금
T001998,C00413,2023-11-12,315903.0,전자,카드
T001999,C01277,2023-01-17,241551.0,전자,카드
T002000,C01726,2023-02-07,464788.0,전자,카드
T002001,C01148,2023-04-27,146472.0,전자,간편결제
T002002,C00607,2023-05-20,424841.0,생활,카드
T002003,C00080,2023-10-13,413044.0,식품,간편결제
T002004,C00291,2023-09-21,161165.0,식품,카드
T002005,C00734,2024-03-26,410375.0,전자,간편결제
T002006,C00183,2024-04-29,476508.0,뷰티,간편결제
T002007,C01222,2023-04-23,,전자,간편결제
T002008,C01733,2023-02-18,14112.0,식품,카드
T002009,C01840,2024-01-23,481877.0,식품,간편결제
T002010,C00814,2024-06-08,439455.0,전자,간편결제
T002011,C00562,2024-05-25,86623.0,뷰티,카드
T002012,C00713,2023-11-12,427897.0,전자,간편결제
T002013,C01869,2023-12-29,184727.0,전자,카드
T002014,C01453,2023-09-15,128306.0,생활,간편결제
T002015,C00195,2023-06-01,107259.0,생활,현금
T002016,C00514,2023-11-23,200079.0,뷰티,현금
T002017,C00067,2024-02-19,375102.0,전자,간편결제
T002018,C00528,2023-03-06,269285.0,뷰티,카드
T002019,C01357,2023-05-02,199477.0,전자,카드
T002020,C00669,2023-04-07,194339.0,식품,카드
T002021,C00140,2023-06-07,,전자,간편결제
T002022,C00411,2024-06-28,275721.0,식품,간편결제
T002023,C01737,2023-03-16,175712.0,뷰티,카드
T002024,C00947,2023-07-04,423010.0,식품,카드
T002025,C01538,2023-05-10,86736.0,식품,간편결제
T002026,C01687,2024-02-17,252897.0,의류,간편결제
T002027,C00092,2023-09-20,85608.0,의류,간편결제
T002028,C00886,2024-05-25,303821.0,의류,카드
T002029,C00960,2023-08-18,371038.0,식품,카드
T002030,C01514,2023-06-03,82364.0,생활,간편결제
T002031,C00959,2023-04-08,34347.0,식품,카드
T002032,C01465,2023-06-10,287802.0,의류,현금
T002033,C00220,2023-02-14,40695.0,전자,카드
T002034,C00459,2023-03-11,365788.0,전자,간편결제
T002035,C01083,2023-07-05,487674.0,의류,카드
T002036,C00578,2024-02-11,250266.0,생활,간편결제
T002037,C00282,2023-01-19,252544.0,생활,간편결제
T002038,C00939,2023-05-27,249699.0,의류,카드
T002039,C01887,2024-04-28,450938.0,생활,카드
T002040,C00972,2024-05-09,158947.0,의류,간편결제
T002041,C01252,2023-03-07,197048.0,전자,간편결제
T002042,C01113,2024-05-21,420826.0,생활,카드
T002043,C00465,2024-01-15,362712.0,의류,카드
T002044,C01492,2023-01-28,71797.0,식품,간편결제
T002045,C01852,2024-01-29,347822.0,전자,간편결제
T002046,C01745,2023-10-22,243528.0,식품,카드
T002047,C00460,2023-08-30,72245.0,의류,카드
T002048,C01239,2023-06-05,284302.0,의류,간편결제
T002049,C01365,2024-03-14,342207.0,의류,카드
T002050,C01186,2024-03-01,377951.0,전자,현금
T002051,C01485,2024-06-12,286222.0,의류,카드
T002052,C00582,2023-11-19,386223.0,생활,카드
T002053,C01716,2023-07-08,223433.0,생활,카드
T002054,C01428,2023-09-20,278425.0,의류,카드
T002055,C00200,2023-10-25,465382.0,의류,간편결제
T002056,C00411,2024-06-09,117357.0,의류,카드
T002057,C01458,2023-08-11,108879.0,뷰티,간편결제
T002058,C00605,2023-05-08,253271.0,뷰티,간편결제
T002059,C01849,2024-03-29,427898.0,생활,간편결제
T002060,C00969,2023-08-11,187539.0,전자,간편결제
T002061,C01968,2023-06-19,78408.0,식품,현금
T002062,C01137,2024-05-19,147141.0,생활,현금
T002063,C01126,2024-06-09,227613.0,의류,카드
T002064,C01630,2024-05-13,174452.0,의류,현금
T002065,C01246,2023-12-20,381516.0,식품,카드
T002066,C01163,2023-02-17,191620.0,뷰티,카드
T002067,C01203,2024-01-14,280690.0,뷰티,현금
T002068,C00608,2023-09-17,128901.0,생활,카드
T002069,C00073,2023-04-10,440924.0,의류,카드
T002070,C00770,2023-10-24,472282.0,전자,간편결제
T002071,C00503,2023-09-17,99798.0,의류,간편결제
T002072,C01435,2024-02-23,69294.0,생활,카드
T002073,C00620,2023-10-16,484556.0,생활,카드
T002074,C00295,2024-05-18,239514.0,식품,카드
T002075,C00257,2023-01-21,78000.0,식품,간편결제
T002076,C00814,2023-03-17,78827.0,의류,간편결제
T002077,C00527,2024-06-15,258360.0,뷰티,카드
T002078,C00259,2023-04-20,70250.0,뷰티,카드
T002079,C00846,2023-01-29,226039.0,의류,간편결제
T002080,C01222,2024-03-29,239903.0,생활,간편결제
T002081,C00796,2023-08-26,326984.0,식품,카드
T002082,C01190,2024-05-30,409752.0,식품,카드
T002083,C01795,2023-01-29,288174.0,식품,간편결제
T002084,C00039,2023-09-08,376791.0,전자,간편결제
T002085,C00708,2024-06-07,17516.0,전자,간편결제
T002086,C00667,2023-01-26,240731.0,전자,카드
T002087,C01802,2023-02-16,279560.0,의류,현금
T002088,C01288,2023-07-15,346813.0,의류,간편결제
T002089,C00787,2023-09-07,167948.0,뷰티,간편결제
T002090,C00598,2023-01-19,313564.0,전자,현금
T002091,C00614,2023-08-09,17464.0,의류,카드
T002092,C01951,2023-05-24,25474.0,뷰티,카드
T002093,C01648,2023-09-06,298462.0,식품,카드
T002094,C00624,2023-01-14,493142.0,생활,간편결제
T002095,C00149,2023-11-15,33895.0,생활,간편결제
T002096,C00481,2023-04-03,264901.0,생활,간편결제
T002097,C01422,2024-06-10,65175.0,전자,현금
T002098,C01614,2023-09-04,6107.0,식품,간편결제
T002099,C00428,2023-12-30,79462.0,뷰티,카드
T002100,C01268,2023-06-11,236860.0,전자,간편결제
T002101,C00307,2023-10-19,423793.0,전자,카드
T002102,C01077,2023-01-26,305427.0,뷰티,간편결제
T002103,C00361,2024-05-02,485657.0,전자,카드
T002104,C00030,2023-05-11,14086.0,전자,간편결제
T002105,C01447,2024-05-10,36298.0,의류,간편결제
T002106,C01700,2023-03-23,69954.0,전자,카드
T002107,C00661,2024-01-20,26069.0,전자,간편결제
T002108,C00342,2023-11-20,327101.0,식품,간편결제
T002109,C00743,2023-12-20,55910.0,전자,카드
T002110,C00465,2023-11-09,213840.0,전자,간편결제
T002111,C01808,2023-05-05,222998.0,뷰티,카드
T002112,C01444,2023-02-25,427706.0,뷰티,카드
T002113,C01605,2024-06-11,127337.0,뷰티,카드
T002114,C01010,2023-12-30,60788.0,식품,간편결제
T002115,C00072,2023-06-14,66817.0,식품,간편결제
T002116,C00550,2024-01-11,385362.0,의류,간편결제
T002117,C01774,2023-04-04,186599.0,식품,카드
T002118,C00140,2024-06-02,261363.0,뷰티,카드
T002119,C00333,2023-02-09,111045.0,전자,카드
T002120,C02000,2023-04-12,102192.0,의류,카드
T002121,C01378,2023-08-28,190680.0,의류,간편결제
T002122,C00493,2023-05-21,27889.0,뷰티,간편결제
T002123,C00979,2024-05-11,399557.0,생활,카드
T002124,C01175,2024-01-27,258315.0,식품,카드
T002125,C00794,2023-08-31,398912.0,식품,현금
T002126,C01081,2023-02-24,78160.0,전자,간편결제
T002127,C00381,2024-06-26,426576.0,의류,카드
T002128,C01677,2023-09-10,98242.0,식품,간편결제
T002129,C01548,2023-03-19,155575.0,전자,카드
T002130,C00844,2023-03-26,70967.0,전자,간편결제
T002131,C00409,2023-01-02,39479.0,식품,현금
T002132,C01835,2023-08-05,148035.0,뷰티,카드
T002133,C00375,2023-05-03,149502.0,뷰티,카드
T002134,C00317,2023-04-14,193883.0,식품,간편결제
T002135,C01464,2023-11-02,256566.0,의류,카드
T002136,C01263,2023-04-04,181185.0,식품,현금
T002137,C00234,2024-04-14,391544.0,뷰티,간편결제
T002138,C01922,2024-03-18,,식품,간편결제
T002139,C01243,2023-09-27,106014.0,뷰티,카드
T002140,C01986,2024-02-24,287592.0,전자,카드
T002141,C01734,2024-02-27,206303.0,생활,카드
T002142,C00728,2024-01-12,469295.0,전자,카드
T002143,C01386,2023-07-21,64597.0,전자,간편결제
T002144,C01845,2023-04-08,282304.0,의류,카드
T002145,C01162,2024-04-17,442999.0,생활,카드
T002146,C01549,2023-12-16,384648.0,식품,간편결제
T002147,C00293,2023-07-10,362275.0,식품,간편결제
T002148,C00642,2024-06-24,65561.0,식품,카드
T002149,C00287,2023-12-07,94122.0,전자,간편결제
T002150,C00311,2023-03-19,210405.0,전자,카드
T002151,C01242,2023-11-07,197830.0,생활,카드
T002152,C01052,2023-03-27,234417.0,의류,카드
T002153,C01815,2023-11-18,353936.0,의류,간편결제
T002154,C01268,2023-02-05,154020.0,생활,간편결제
T002155,C00471,2023-04-10,432493.0,뷰티,간편결제
T002156,C00294,2024-06-24,122278.0,뷰티,간편결제
T002157,C00089,2023-04-08,144614.0,의류,카드
T002158,C01247,2023-06-04,362700.0,뷰티,간편결제
T002159,C01718,2023-03-17,234495.0,전자,카드
T002160,C00107,2023-07-10,265300.0,식품,카드
T002161,C01145,2023-11-13,401589.0,뷰티,카드
T002162,C01172,2023-03-24,432495.0,뷰티,간편결제
T002163,C01240,2023-02-26,433720.0,전자,카드
T002164,C00837,2023-08-27,325569.0,의류,카드
T002165,C01239,2023-05-07,121170.0,식품,카드
T002166,C00661,2024-05-19,307428.0,뷰티,카드
T002167,C01009,2023-09-26,282785.0,생활,간편결제
T002168,C01390,2024-04-10,226709.0,식품,간편결제
T002169,C01740,2023-03-13,414744.0,전자,간편결제
T002170,C01895,2023-06-19,241976.0,의류,현금
T002171,C01205,2024-06-20,274657.0,뷰티,카드
T002172,C01161,2023-12-10,419348.0,생활,카드
T002173,C01998,2023-05-07,17149.0,뷰티,간편결제
T002174,C00333,2023-06-26,95567.0,전자,현금
T002175,C00915,2023-04-28,109041.0,생활,카드
T002176,C00789,2023-03-15,217661.0,식품,카드
T002177,C00583,2023-02-21,397712.0,식품,카드
T002178,C00101,2024-04-18,352172.0,생활,카드
T002179,C01535,2023-01-04,316237.0,식품,간편결제
T002180,C00105,2023-03-12,129415.0,식품,카드
T002181,C00630,2023-05-09,178314.0,식품,간편결제
T002182,C01239,2023-03-29,209075.0,뷰티,카드
T002183,C00709,2023-02-04,239447.0,의류,간편결제
T002184,C00552,2023-09-08,371539.0,생활,현금
T002185,C01736,2023-09-24,435753.0,식품,간편결제
T002186,C00820,2024-02-10,178597.0,생활,카드
T002187,C01750,2023-03-12,105438.0,식품,카드
T002188,C00673,2023-03-21,100989.0,뷰티,간편결제
T002189,C00109,2023-06-08,386777.0,뷰티,간편결제
T002190,C01024,2023-03-11,69082.0,의류,간편결제
T002191,C01611,2023-03-27,318622.0,전자,카드
T002192,C00113,2024-04-03,450153.0,의류,카드
T002193,C00782,2024-01-27,65362.0,생활,간편결제
T002194,C01858,2024-02-09,128399.0,뷰티,카드
T002195,C01571,2024-06-05,206926.0,생활,현금
T002196,C00858,2023-07-01,393566.0,뷰티,간편결제
T002197,C00540,2023-08-13,51658.0,생활,간편결제
T002198,C00161,2023-09-02,470276.0,뷰티,카드
T002199,C00562,2023-07-03,124008.0,생활,간편결제
T002200,C00322,2023-04-17,3035.0,식품,간편결제
T002201,C00668,2023-01-26,488024.0,생활,카드
T002202,C01315,2023-04-24,74331.0,전자,현금
T002203,C00332,2023-03-09,336063.0,전자,간편결제
T002204,C00361,2023-10-09,253529.0,뷰티,카드
T002205,C00443,2023-05-10,420634.0,식품,현금
T002206,C00580,2023-06-05,437670.0,생활,간편결제
T002207,C00052,2023-06-24,179147.0,의류,카드
T002208,C01400,2023-03-09,21360.0,의류,간편결제
T002209,C00322,2023-04-30,74008.0,뷰티,카드
T002210,C00458,2024-02-29,93016.0,식품,현금
T002211,C00580,2023-04-17,6442.0,전자,간편결제
T002212,C00611,2023-01-17,320073.0,전자,간편결제
T002213,C01665,2023-06-12,138046.0,식품,카드
T002214,C00348,2023-06-22,481867.0,생활,카드
T002215,C01336,2023-01-23,170308.0,식품,카드
T002216,C01666,2023-02-18,144125.0,식품,간편결제
T002217,C00075,2023-04-19,442955.0,뷰티,간편결제
T002218,C01066,2024-06-19,428532.0,의류,간편결제
T002219,C01238,2023-08-29,224419.0,뷰티,간편결제
T002220,C00363,2024-01-23,446108.0,식품,간편결제
T002221,C01881,2023-10-21,125973.0,전자,간편결제
T002222,C00693,2023-01-10,190200.0,뷰티,카드
T002223,C00744,2023-02-27,168060.0,식품,간편결제
T002224,C00065,2023-09-16,227322.0,뷰티,간편결제
T002225,C01969,2023-10-04,464769.0,의류,카드
T002226,C00195,2023-06-07,56571.0,생활,간편결제
T002227,C01758,2023-03-01,76312.0,생활,간편결제
T002228,C01558,2023-02-09,232443.0,뷰티,간편결제
T002229,C01753,2023-03-09,169318.0,생활,카드
T002230,C00167,2023-05-17,288168.0,전자,간편결제
T002231,C01714,2023-03-27,181183.0,식품,카드
T002232,C00916,2023-08-04,253986.0,의류,간편결제
T002233,C01604,2023-05-16,288051.0,뷰티,간편결제
T002234,C00295,2023-04-29,128352.0,식품,카드
T002235,C01363,2023-01-05,450479.0,뷰티,카드
T002236,C01185,2023-09-23,334842.0,식품,현금
T002237,C00755,2024-05-15,166530.0,식품,간편결제
T002238,C00082,2024-02-18,242535.0,생활,카드
T002239,C01349,2023-05-04,154262.0,의류,간편결제
T002240,C01592,2023-07-28,454621.0,전자,간편결제
T002241,C01869,2023-06-22,291625.0,생활,현금
T002242,C00489,2023-02-09,215606.0,뷰티,카드
T002243,C01137,2023-10-21,416132.0,식품,카드
T002244,C01732,2023-12-16,265001.0,식품,카드
T002245,C01438,2023-09-29,393091.0,생활,간편결제
T002246,C01928,2023-03-16,329057.0,의류,현금
T002247,C01318,2023-10-25,216053.0,전자,간편결제
T002248,C01349,2023-07-27,457468.0,식품,현금
T002249,C00683,2023-06-04,223152.0,뷰티,간편결제
T002250,C01731,2023-10-20,246883.0,뷰티,현금
T002251,C00057,2023-03-03,35939.0,식품,카드
T002252,C01675,2023-08-01,261089.0,전자,간편결제
T002253,C00028,2023-05-26,284125.0,전자,카드
T002254,C00749,2023-07-25,97286.0,뷰티,카드
T002255,C00923,2023-12-20,310212.0,식품,카드
T002256,C00430,2023-08-11,160727.0,뷰티,카드
T002257,C01760,2023-06-05,69363.0,생활,간편결제
T002258,C01146,2023-06-17,471913.0,식품,간편결제
T002259,C01530,2023-01-24,72716.0,생활,간편결제
T002260,C00531,2023-02-15,118342.0,전자,간편결제
T002261,C00306,2023-07-11,71353.0,뷰티,카드
T002262,C00666,2023-07-15,292636.0,식품,간편결제
T002263,C00428,2024-05-31,202864.0,의류,현금
T002264,C00191,2023-08-21,343932.0,식품,현금
T002265,C00268,2024-05-26,355009.0,전자,현금
T002266,C01058,2023-04-08,171828.0,전자,카드
