고객ID,연월,로그인횟수,서비스이용시간(분),문의횟수,불만횟수
C00485,2023-02,28,2135,0,0
C00485,2023-03,23,1597,2,0
C00485,2023-05,52,961,1,0
C00485,2023-06,27,2145,2,1
C00485,2023-07,33,613,2,0
C00485,2023-08,40,2151,0,0
C00485,2023-09,39,1451,2,0
C00485,2023-10,54,879,3,0
C00485,2023-12,40,1588,2,0
C00485,2024-01,38,2266,3,0
C00485,2024-02,46,1403,1,0
C00485,2024-03,27,1810,3,0
C00485,2024-05,30,954,1,0
C00485,2024-06,15,1763,0,0
C00486,2023-01,40,1258,3,0
C00486,2023-03,21,1323,2,1
C00486,2023-05,33,1720,4,0
C00486,2023-07,35,1207,2,0
C00486,2023-08,26,878,2,2
C00486,2023-10,33,1248,0,0
C00486,2024-01,43,1866,0,1
C00486,2024-03,35,1046,0,1
C00486,2024-04,25,1036,0,0
C00486,2024-05,40,1236,2,0
C00486,2024-06,43,1802,2,1
C00487,2023-01,43,1291,1,0
C00487,2023-02,45,1144,0,1
C00487,2023-03,30,2026,2,0
C00487,2023-04,42,1528,0,0
C00487,2023-05,20,1523,1,1
C00487,2023-07,46,2003,1,0
C00487,2023-08,16,2038,1,0
C00487,2023-09,48,1494,2,0
C00487,2023-10,36,2510,0,0
C00487,2023-11,45,886,0,0
C00487,2023-12,25,1633,3,1
C00487,2024-03,36,2328,1,0
C00487,2024-04,36,1083,2,0
C00487,2024-06,46,1034,1,1
C00488,2023-02,39,2213,3,1
C00488,2023-03,31,1809,2,0
C00488,2023-04,36,1650,4,1
C00488,2023-08,34,1516,2,1
C00488,2023-09,37,1432,4,0
C00488,2024-01,18,869,0,1
C00488,2024-02,10,576,9,2
C00488,2024-03,22,960,7,2
C00488,2024-05,13,458,6,3
C00488,2024-06,11,350,5,2
C00489,2023-01,45,1837,4,0
C00489,2023-02,29,1833,5,1
C00489,2023-03,37,1904,3,1
C00489,2023-04,34,1914,3,2
C00489,2023-05,29,1499,7,1
C00489,2023-06,32,1694,4,0
C00489,2023-07,21,1483,4,2
C00489,2023-08,28,1035,4,2
C00489,2023-09,43,1239,3,3
C00489,2023-10,23,1175,5,3
C00489,2023-11,28,582,7,2
C00489,2024-01,23,1110,4,3
C00489,2024-03,16,1293,6,3
C00489,2024-04,5,419,4,2
C00489,2024-05,22,1042,4,1
C00489,2024-06,28,406,10,4
C00490,2023-01,44,1394,1,0
C00490,2023-02,35,2203,2,1
C00490,2023-03,30,1986,1,0
C00490,2023-04,31,1455,4,0
C00490,2023-05,29,1542,2,0
C00490,2023-06,31,1189,0,0
C00490,2023-07,19,1794,2,0
C00490,2023-08,42,1488,0,1
C00490,2023-09,27,1568,2,0
C00490,2023-10,52,1850,1,1
C00490,2023-11,58,1712,1,0
C00490,2023-12,39,1001,2,0
C00490,2024-01,40,1221,0,1
C00490,2024-03,51,1729,1,0
C00490,2024-04,30,1483,4,0
C00490,2024-05,43,1251,3,0
C00490,2024-06,39,972,0,0
C00491,2023-02,36,1934,0,0
C00491,2023-03,41,1213,3,1
C00491,2023-05,46,1642,0,0
C00491,2023-07,48,1940,1,0
C00491,2023-08,28,1731,1,0
C00491,2023-11,23,1101,1,1
C00491,2023-12,31,1016,1,0
C00491,2024-02,30,1704,3,1
C00491,2024-04,23,1485,0,0
C00492,2023-01,34,1607,1,1
C00492,2023-02,26,1233,5,0
C00492,2023-03,29,1263,1,1
C00492,2023-04,32,2036,3,0
C00492,2023-05,50,729,4,0
C00492,2023-06,28,1434,3,0
C00492,2023-07,27,2159,1,0
C00492,2023-08,20,1211,1,1
C00492,2023-09,23,1364,0,0
C00492,2023-10,37,1739,1,1
C00492,2023-11,18,1935,0,0
C00492,2023-12,42,1071,2,1
C00492,2024-01,35,1431,1,0
C00492,2024-03,22,1220,2,0
C00492,2024-04,41,1719,3,0
C00492,2024-05,33,1301,2,2
C00492,2024-06,31,1467,1,1
C00493,2023-01,37,2484,1,0
C00493,2023-02,35,1541,0,0
C00493,2023-03,36,2752,1,1
C00493,2023-04,36,1367,0,0
C00493,2023-05,27,1779,1,1
C00493,2023-06,22,1600,3,1
C00493,2023-07,29,1341,0,1
C00493,2023-08,39,1964,6,0
C00493,2023-09,12,1142,3,2
C00493,2023-10,21,1147,6,2
C00493,2023-11,24,1484,2,2
C00493,2023-12,21,1321,7,1
C00493,2024-01,20,736,5,2
C00493,2024-02,18,632,6,3
C00493,2024-03,2,701,5,2
C00493,2024-04,9,1068,7,3
C00493,2024-05,19,388,6,1
C00493,2024-06,16,436,9,4
C00494,2023-01,35,1536,3,0
C00494,2023-02,44,2037,0,1
C00494,2023-03,31,1502,2,0
C00494,2023-04,24,1546,4,0
C00494,2023-05,32,1614,2,0
C00494,2023-06,28,1444,0,2
C00494,2023-07,13,1592,0,0
C00494,2023-08,19,1868,2,1
C00494,2023-10,34,1109,1,0
C00494,2023-11,17,924,0,0
C00494,2023-12,31,1229,3,1
C00494,2024-01,20,1086,0,0
C00494,2024-02,24,893,1,0
C00494,2024-03,21,1534,3,0
C00494,2024-05,44,1876,4,0
C00494,2024-06,54,1350,2,0
C00495,2023-03,42,947,1,1
C00495,2023-04,31,2264,0,0
C00495,2023-06,25,1720,2,0
C00495,2023-07,40,1529,1,0
C00495,2023-09,17,1601,3,0
C00495,2023-10,26,1806,2,0
C00495,2023-11,36,1955,2,1
C00495,2024-01,30,1487,0,0
C00495,2024-02,25,1190,1,1
C00495,2024-03,45,1908,3,0
C00495,2024-04,35,1792,3,0
C00495,2024-06,50,1208,0,0
C00496,2023-01,24,1529,0,0
C00496,2023-02,40,1332,1,0
C00496,2023-03,26,1278,3,1
C00496,2023-04,36,1789,1,0
C00496,2023-05,26,1551,1,0
C00496,2023-06,35,1169,2,0
C00496,2023-07,24,1345,6,1
C00496,2023-08,65,1319,0,0
C00496,2023-09,40,1087,1,1
C00496,2023-10,36,1511,1,0
C00496,2023-11,46,1504,1,0
C00496,2023-12,30,1113,0,0
C00496,2024-01,43,2054,2,0
C00496,2024-02,44,1070,1,1
C00496,2024-03,46,1868,4,0
C00496,2024-04,48,1794,2,0
C00496,2024-05,41,1818,2,0
C00496,2024-06,24,1736,2,1
C00497,2023-04,57,2800,0,0
C00497,2023-05,29,1531,2,0
C00497,2023-07,35,1886,2,3
C00497,2023-08,29,845,1,1
C00497,2023-09,26,1199,3,0
C00497,2023-10,8,1410,2,2
C00497,2024-01,4,1081,4,2
C00497,2024-02,25,1007,6,2
C00497,2024-04,30,265,5,2
C00497,2024-06,14,285,9,3
C00498,2023-01,35,1891,0,2
C00498,2023-04,32,2152,2,0
C00498,2023-05,35,2242,1,0
C00498,2023-06,41,1280,2,1
C00498,2023-07,26,1842,2,0
C00498,2023-08,32,1796,2,0
C00498,2023-09,32,1321,1,0
C00498,2023-11,38,1653,1,1
C00498,2024-01,32,1073,3,0
C00498,2024-05,43,1122,0,1
C00498,2024-06,47,1277,3,1
C00499,2023-02,47,1670,0,0
C00499,2023-03,18,1494,0,0
C00499,2023-04,53,1669,4,1
C00499,2023-05,29,1189,4,0
C00499,2023-06,19,1631,2,0
C00499,2023-08,39,985,3,0
C00499,2023-09,18,1735,3,0
C00499,2023-10,46,2463,1,0
C00499,2023-11,39,971,1,0
C00499,2023-12,40,1188,2,0
C00499,2024-01,52,997,2,0
C00499,2024-03,52,1849,3,1
C00499,2024-04,37,1136,2,1
C00499,2024-05,35,1283,1,1
C00499,2024-06,43,1049,3,1
C00500,2023-02,32,2381,1,0
C00500,2023-03,50,2028,1,1
C00500,2023-10,19,2364,2,1
C00500,2023-11,33,1267,3,2
C00500,2024-01,41,1419,4,0
C00500,2024-03,28,1042,4,2
C00500,2024-04,20,504,8,1
C00500,2024-05,26,936,5,2
C00500,2024-06,2,428,4,3
C00501,2023-01,29,1589,1,0
C00501,2023-03,28,1850,1,0
C00501,2023-04,52,1609,2,0
C00501,2023-09,15,1852,0,0
C00501,2023-10,31,1059,0,0
C00501,2024-02,37,1871,2,0
C00501,2024-04,37,1868,2,0
C00501,2024-06,36,1393,0,0
C00502,2023-01,42,1236,2,0
C00502,2023-02,38,1610,2,0
C00502,2023-03,44,1358,2,0
C00502,2023-04,26,1272,3,0
C00502,2023-05,31,2061,2,0
C00502,2023-06,46,1598,3,0
C00502,2023-07,36,1397,0,1
C00502,2023-08,38,1321,0,2
C00502,2023-09,56,1434,2,1
C00502,2023-10,42,1980,3,0
C00502,2023-11,32,1804,1,0
C00502,2023-12,44,1852,2,0
C00502,2024-01,31,1839,0,0
C00502,2024-02,23,1646,2,2
C00502,2024-03,45,1281,5,0
C00502,2024-04,37,1388,2,0
C00502,2024-05,50,1102,2,0
C00502,2024-06,22,428,4,0
C00503,2023-02,30,740,0,0
C00503,2023-03,46,1156,0,1
C00503,2023-04,33,1485,1,0
C00503,2023-05,29,1791,1,0
C00503,2023-06,35,1521,3,0
C00503,2023-07,24,847,2,2
C00503,2023-08,35,2064,0,0
C00503,2023-09,41,1280,0,0
C00503,2023-12,32,1650,5,1
C00503,2024-02,15,2100,2,0
C00503,2024-03,36,1557,2,1
C00503,2024-04,30,2022,0,0
C00503,2024-05,42,1491,3,0
C00503,2024-06,45,1909,2,0
C00504,2023-01,36,770,3,0
C00504,2023-02,53,1422,1,0
C00504,2023-03,26,1664,3,0
C00504,2023-04,35,1540,2,0
C00504,2023-05,47,1112,4,2
C00504,2023-06,42,1557,0,1
C00504,2023-07,51,1452,3,0
C00504,2023-08,41,1702,1,0
C00504,2023-09,32,1823,2,1
C00504,2023-10,31,1158,0,0
C00504,2023-11,34,1720,4,1
C00504,2023-12,40,1718,0,0
C00504,2024-01,45,1220,2,0
C00504,2024-02,15,1760,1,0
C00504,2024-03,19,1387,2,0
C00504,2024-04,30,1590,3,0
C00504,2024-05,34,1530,2,0
C00504,2024-06,20,1523,2,0
C00505,2023-01,27,1959,0,0
C00505,2023-02,41,1493,5,1
C00505,2023-03,40,1086,2,0
C00505,2023-04,34,1943,0,1
C00505,2023-05,33,1435,2,0
C00505,2023-06,21,1306,3,0
C00505,2023-07,42,969,2,0
C00505,2023-08,41,2405,1,0
C00505,2023-09,34,1887,3,0
C00505,2023-10,36,1559,4,0
C00505,2023-11,39,1281,2,0
C00505,2023-12,19,1968,1,0
C00505,2024-01,26,1948,1,0
C00505,2024-02,37,2223,4,0
C00505,2024-03,27,2075,2,0
C00505,2024-04,31,1789,1,2
C00505,2024-05,38,1945,5,0
C00505,2024-06,35,1822,4,0
C00506,2023-03,32,1602,1,0
C00506,2023-04,28,1648,2,1
C00506,2023-06,41,1048,3,0
C00506,2023-07,31,1339,2,0
C00506,2023-08,29,1844,2,0
C00506,2023-09,45,471,2,0
C00506,2023-11,15,1226,0,1
C00506,2024-01,42,2085,2,0
C00506,2024-03,37,2010,4,0
C00506,2024-05,33,1843,0,0
C00506,2024-06,27,1394,2,0
C00507,2023-01,26,1184,0,0
C00507,2023-02,35,1889,3,1
C00507,2023-03,52,1440,1,0
C00507,2023-04,35,985,2,0
C00507,2023-05,29,1669,2,0
C00507,2023-06,20,1977,2,1
C00507,2023-07,33,2026,0,1
C00507,2023-08,16,1230,2,0
C00507,2023-09,29,1973,3,0
C00507,2023-10,34,943,0,1
C00507,2023-11,40,1136,3,0
C00507,2023-12,19,1933,1,2
C00507,2024-01,34,1434,3,0
C00507,2024-02,24,1549,1,0
C00507,2024-03,29,1830,1,0
C00507,2024-04,33,954,1,1
C00507,2024-05,47,1534,0,0
C00507,2024-06,22,1129,0,2
C00508,2023-01,32,2404,3,0
C00508,2023-04,27,1156,2,0
C00508,2023-05,31,2295,2,0
C00508,2023-06,29,1305,0,2
C00508,2023-07,20,1841,2,0
C00508,2023-09,27,1377,1,0
C00508,2023-10,29,1292,5,2
C00508,2023-11,26,811,0,1
C00508,2023-12,28,1075,3,1
C00508,2024-01,11,1228,7,2
C00508,2024-03,16,1087,3,3
C00508,2024-04,17,889,8,4
C00508,2024-05,3,888,5,1
C00508,2024-06,11,463,5,2
C00509,2023-01,44,1587,1,2
C00509,2023-02,31,1387,3,1
C00509,2023-03,42,1477,3,1
C00509,2023-04,34,1842,1,0
C00509,2023-05,37,867,3,0
C00509,2023-06,42,872,2,0
C00509,2023-07,28,944,1,1
C00509,2023-08,26,942,1,0
C00509,2023-09,37,2357,1,0
C00509,2023-10,15,1398,2,0
C00509,2023-11,46,1051,1,0
C00509,2023-12,46,1379,0,1
C00509,2024-01,27,1023,4,0
C00509,2024-02,39,1475,2,0
C00509,2024-03,24,1887,3,2
C00509,2024-04,42,1461,2,1
C00509,2024-05,38,1396,0,0
C00509,2024-06,46,1585,1,0
C00510,2023-03,42,1418,0,0
C00510,2023-04,49,1077,0,0
C00510,2023-05,23,1858,0,1
C00510,2023-06,45,1281,2,0
C00510,2023-08,34,1850,2,0
C00510,2023-09,54,1695,3,1
C00510,2023-12,33,1860,3,0
C00510,2024-01,40,1705,3,1
C00510,2024-04,31,2194,0,0
C00510,2024-05,37,1328,3,0
C00511,2023-05,32,1567,0,1
C00511,2023-06,35,1082,3,1
C00511,2023-07,33,2137,0,0
C00511,2023-09,40,837,0,1
C00511,2023-11,35,1087,3,1
C00511,2023-12,40,1471,1,1
C00511,2024-01,44,1872,1,0
C00511,2024-02,44,1065,2,0
C00511,2024-03,49,2057,1,1
C00511,2024-05,39,1524,2,0
C00511,2024-06,53,2081,0,0
C00512,2023-03,41,962,1,0
C00512,2023-05,31,1633,2,1
C00512,2023-06,29,1613,2,0
C00512,2023-08,22,2108,3,0
C00512,2023-09,28,2126,2,0
C00512,2023-10,23,1378,4,0
C00512,2023-11,30,1304,2,0
C00512,2023-12,32,2014,0,0
C00512,2024-01,34,1883,0,0
C00512,2024-03,31,1831,0,0
C00512,2024-06,49,1512,2,0
C00513,2023-02,46,888,3,0
C00513,2023-05,33,1094,3,1
C00513,2023-10,50,1721,5,1
C00513,2023-11,44,1051,6,1
C00513,2023-12,27,1225,3,0
C00513,2024-01,38,1049,2,1
C00513,2024-02,29,1478,1,0
C00513,2024-03,16,764,2,1
C00513,2024-04,44,1530,1,0
C00513,2024-05,30,1061,2,1
C00514,2023-01,40,1603,1,0
C00514,2023-03,43,1277,5,0
C00514,2023-04,47,1441,2,0
C00514,2023-05,29,1774,1,0
C00514,2023-10,28,1436,2,0
C00514,2024-02,14,1266,3,0
C00514,2024-04,37,1620,1,0
C00514,2024-05,36,1113,0,0
C00514,2024-06,33,991,3,0
C00515,2023-02,39,1580,0,0
C00515,2023-04,18,1636,2,0
C00515,2023-06,30,985,2,0
C00515,2023-07,31,1401,2,0
C00515,2023-08,47,1412,1,0
C00515,2023-09,18,1736,2,0
C00515,2023-10,40,1680,2,0
C00515,2023-11,42,1405,5,0
C00515,2024-01,25,1524,1,1
C00516,2023-01,39,1781,2,0
C00516,2023-02,27,2074,1,0
C00516,2023-03,28,2058,3,0
C00516,2023-04,27,1305,2,1
C00516,2023-05,36,1717,7,2
C00516,2023-06,27,1230,5,1
C00516,2023-07,33,1641,5,0
C00516,2023-08,31,1134,2,1
C00516,2023-09,19,1258,9,2
C00516,2023-10,10,1019,4,3
C00516,2023-11,22,1043,4,0
C00516,2024-01,25,750,4,2
C00516,2024-02,16,739,4,5
C00516,2024-03,0,1038,6,4
C00516,2024-05,14,647,10,4
C00517,2023-02,15,1622,2,0
C00517,2023-03,51,1710,2,0
C00517,2023-04,42,1405,0,2
C00517,2023-10,30,1895,0,1
C00517,2024-02,38,1125,2,0
C00517,2024-03,41,1151,0,0
C00517,2024-05,42,1489,1,0
C00517,2024-06,30,1171,1,0
C00518,2023-01,25,1583,2,1
C00518,2023-02,49,1578,0,1
C00518,2023-03,45,567,0,0
C00518,2023-04,46,2288,2,0
C00518,2023-05,39,1641,1,0
C00518,2023-06,28,2002,1,0
C00518,2023-07,52,1450,3,0
C00518,2023-08,34,1890,4,0
C00518,2023-10,38,1284,3,0
C00518,2023-11,40,1312,2,0
C00518,2023-12,38,1434,0,0
C00518,2024-01,29,1570,2,0
C00518,2024-02,58,1489,3,0
C00518,2024-04,20,1794,2,0
C00518,2024-05,32,1086,2,0
C00518,2024-06,24,1820,2,0
C00519,2023-02,40,1482,2,0
C00519,2023-03,40,1498,1,0
C00519,2023-04,36,1515,0,1
C00519,2023-05,27,1171,2,0
C00519,2023-08,26,1525,0,1
C00519,2023-09,44,1263,1,0
C00519,2023-10,26,1183,4,0
C00519,2023-11,34,1033,0,0
C00519,2023-12,33,1800,1,0
C00519,2024-01,36,1104,1,0
C00519,2024-02,37,1454,3,0
C00519,2024-03,39,2044,0,0
C00519,2024-04,26,1465,3,0
C00519,2024-05,35,1070,0,0
C00519,2024-06,39,1819,2,0
C00520,2023-01,20,1691,2,1
C00520,2023-05,26,1653,0,0
C00520,2023-06,32,1533,5,2
C00520,2023-08,25,1169,3,2
C00520,2023-10,21,1095,5,1
C00520,2023-11,14,1098,4,5
C00520,2024-02,12,1302,8,3
C00520,2024-04,19,175,4,2
C00520,2024-05,0,526,4,2
C00521,2023-02,40,2174,4,0
C00521,2023-06,33,2062,2,0
C00521,2023-09,22,1874,3,2
C00521,2023-10,32,1304,3,2
C00521,2023-11,21,1381,7,0
C00521,2024-02,12,1219,2,1
C00521,2024-03,18,1265,2,2
C00521,2024-04,0,208,5,2
C00521,2024-05,3,475,3,5
C00522,2023-01,52,2250,4,1
C00522,2023-02,42,1926,3,0
C00522,2023-03,36,2144,2,2
C00522,2023-05,40,2035,3,2
C00522,2023-06,23,1626,3,0
C00522,2023-07,33,1640,2,1
C00522,2023-08,26,1857,6,2
C00522,2023-09,26,2079,2,3
C00522,2023-10,17,1057,4,1
C00522,2023-11,18,1090,4,2
C00522,2024-01,25,678,5,1
C00522,2024-03,7,554,8,4
C00522,2024-04,22,1059,4,2
C00522,2024-05,1,656,5,3
C00522,2024-06,11,558,6,2
C00523,2023-01,48,1917,0,1
C00523,2023-02,42,1444,2,1
C00523,2023-03,40,1459,1,1
C00523,2023-04,29,1532,5,0
C00523,2023-06,35,2352,0,2
C00523,2023-07,20,1659,4,1
C00523,2023-10,20,816,5,2
C00523,2023-11,25,929,3,4
C00523,2023-12,13,1138,2,1
C00523,2024-01,11,1096,5,1
C00523,2024-02,11,553,6,4
C00523,2024-04,9,554,3,3
C00523,2024-05,7,827,4,2
C00524,2023-03,29,1478,1,0
C00524,2023-04,41,846,0,0
C00524,2023-05,44,1088,1,0
C00524,2023-06,31,1491,2,0
C00524,2023-07,36,1123,4,0
C00524,2023-10,40,1460,3,1
C00524,2023-11,39,1009,0,0
C00524,2023-12,29,1496,2,1
C00524,2024-01,43,177,2,0
C00524,2024-02,39,1771,0,0
C00524,2024-03,51,1978,0,1
C00524,2024-05,34,1782,2,0
C00524,2024-06,26,1417,0,0
C00525,2023-01,34,1478,0,2
C00525,2023-02,41,1721,2,0
C00525,2023-03,41,1793,0,0
C00525,2023-04,29,2054,2,2
C00525,2023-05,32,1840,3,1
C00525,2023-06,40,1270,4,1
C00525,2023-07,24,1675,4,0
C00525,2023-08,18,1634,0,2
C00525,2023-09,16,1271,6,1
C00525,2023-10,26,920,3,1
C00525,2023-11,18,914,3,2
C00525,2023-12,18,1061,5,1
C00525,2024-01,31,1851,7,3
C00525,2024-03,21,1138,5,3
C00525,2024-04,12,782,6,3
C00525,2024-05,13,786,5,2
C00525,2024-06,10,790,6,2
C00526,2023-01,34,2283,0,0
C00526,2023-02,46,2115,4,0
C00526,2023-03,35,1747,2,1
C00526,2023-04,38,1200,6,1
C00526,2023-07,23,1008,2,2
C00526,2023-09,28,1441,5,1
C00526,2023-10,25,921,3,1
C00526,2023-11,26,1018,2,0
C00526,2023-12,21,690,2,2
C00526,2024-02,23,618,4,1
C00526,2024-03,2,761,6,4
C00526,2024-05,14,230,4,2
C00527,2023-01,21,1474,3,1
C00527,2023-02,35,1723,3,1
C00527,2023-03,32,1272,5,0
C00527,2023-04,40,737,2,0
C00527,2023-05,38,1545,3,1
C00527,2023-06,32,912,0,0
C00527,2023-08,23,1585,0,0
C00527,2023-09,36,1676,2,1
C00527,2023-10,41,1314,2,0
C00527,2023-11,42,1238,2,1
C00527,2023-12,20,1257,1,0
C00527,2024-01,28,1648,0,1
C00527,2024-03,46,907,2,0
C00527,2024-04,14,1081,1,0
C00527,2024-05,48,1623,1,0
C00527,2024-06,45,1904,3,0
C00528,2023-01,36,2225,3,0
C00528,2023-02,30,1675,1,0
C00528,2023-03,29,1720,0,0
C00528,2023-04,34,1568,2,1
C00528,2023-05,47,1784,4,0
C00528,2023-06,42,1510,1,2
C00528,2023-07,22,1813,1,1
C00528,2023-08,31,1575,3,0
C00528,2023-10,13,1226,3,1
C00528,2023-11,11,1527,2,0
C00528,2023-12,34,1081,7,4
C00528,2024-01,26,1008,5,2
C00528,2024-02,23,647,4,1
C00528,2024-03,15,638,6,3
C00528,2024-04,23,184,8,1
C00528,2024-05,14,558,5,2
C00528,2024-06,4,562,4,3
C00529,2023-01,45,1773,1,1
C00529,2023-03,23,1056,2,0
C00529,2023-05,55,1738,0,0
C00529,2023-06,24,1043,1,0
C00529,2023-08,28,1227,3,1
C00529,2023-11,23,1393,0,0
C00529,2024-01,41,1886,0,0
C00529,2024-03,37,1939,2,0
C00529,2024-04,49,1365,3,0
C00529,2024-05,39,2382,1,0
C00530,2023-01,34,2116,1,0
C00530,2023-04,31,2182,3,0
C00530,2023-05,44,1472,3,2
C00530,2023-06,42,1524,4,0
C00530,2023-07,26,1190,2,0
C00530,2023-08,32,842,5,3
C00530,2023-10,14,563,2,2
C00530,2023-11,9,1026,5,2
C00530,2024-01,13,1079,3,2
C00530,2024-02,10,888,4,3
C00530,2024-04,17,1169,5,3
C00530,2024-06,0,787,9,3
C00531,2023-01,27,1461,2,0
C00531,2023-02,46,1018,2,0
C00531,2023-03,50,1427,2,0
C00531,2023-04,33,1304,3,0
C00531,2023-07,33,1366,1,1
C00531,2023-08,37,1635,3,0
C00531,2023-09,40,797,2,1
C00531,2023-10,44,1788,1,1
C00531,2023-12,45,2244,1,1
C00531,2024-01,37,1545,2,0
C00531,2024-02,29,1664,1,0
C00531,2024-03,32,971,1,0
C00531,2024-05,21,1929,1,0
C00531,2024-06,32,1734,0,0
C00532,2023-01,41,1675,1,0
C00532,2023-05,49,1669,3,1
C00532,2023-06,32,721,1,0
C00532,2023-08,27,1866,0,1
C00532,2023-09,28,2149,1,0
C00532,2023-10,36,1816,2,0
C00532,2023-11,45,1484,1,0
C00532,2023-12,23,974,1,0
C00532,2024-01,38,2055,3,2
C00532,2024-02,35,1287,1,2
C00532,2024-03,35,1688,2,0
C00532,2024-04,22,1415,1,2
C00532,2024-05,33,1701,3,0
C00532,2024-06,50,1378,4,2
C00533,2023-01,43,2642,0,0
C00533,2023-03,26,1537,2,1
C00533,2023-06,39,1248,1,0
C00533,2023-08,25,1424,1,2
C00533,2023-09,21,711,2,3
C00533,2023-10,20,1070,7,2
C00533,2023-11,12,1187,6,2
C00533,2024-02,0,568,3,4
C00534,2023-01,40,1820,1,0
C00534,2023-03,40,1602,3,2
C00534,2023-04,25,2156,3,3
C00534,2023-06,35,861,5,1
C00534,2023-08,31,1168,4,0
C00534,2023-10,15,1457,2,0
C00534,2023-11,33,799,3,1
C00534,2023-12,7,1027,0,1
C00534,2024-01,19,699,7,1
C00534,2024-02,1,826,4,2
C00534,2024-05,11,611,4,2
C00534,2024-06,19,232,2,4
C00535,2023-01,31,1279,1,0
C00535,2023-02,22,1527,0,0
C00535,2023-03,40,1933,0,1
C00535,2023-04,32,2123,2,0
C00535,2023-05,35,1141,0,0
C00535,2023-06,46,1388,2,0
C00535,2023-07,45,1336,1,0
C00535,2023-08,44,1988,2,0
C00535,2023-09,32,980,1,2
C00535,2023-10,40,1405,4,1
C00535,2023-11,29,1261,0,1
C00535,2023-12,40,1440,0,1
C00535,2024-01,33,779,0,0
C00535,2024-02,28,2248,1,0
C00535,2024-03,37,1380,2,0
C00535,2024-04,31,256,3,2
C00535,2024-05,11,1334,0,0
C00536,2023-01,30,1767,0,1
C00536,2023-02,38,1815,1,1
C00536,2023-04,33,2129,0,0
C00536,2023-06,32,1540,0,0
C00536,2023-07,34,1694,2,2
C00536,2023-08,21,1738,2,0
C00536,2023-09,36,1560,2,1
C00536,2023-10,20,1921,4,1
C00536,2023-11,18,1462,5,2
C00536,2023-12,23,737,0,0
C00536,2024-01,22,985,1,2
C00536,2024-02,11,835,7,3
C00536,2024-03,23,860,7,1
C00536,2024-04,9,822,3,1
C00536,2024-05,5,625,9,3
C00536,2024-06,0,310,6,2
C00537,2023-01,52,2321,3,0
C00537,2023-02,45,1791,0,0
C00537,2023-03,41,2247,1,0
C00537,2023-04,38,1268,6,0
C00537,2023-05,33,1426,1,1
C00537,2023-06,25,1464,1,0
C00537,2023-07,29,1954,3,2
C00537,2023-08,40,1501,4,1
C00537,2023-09,32,1360,2,2
C00537,2023-10,30,1063,2,1
C00537,2023-11,30,968,2,1
C00537,2023-12,15,943,4,2
C00537,2024-01,19,742,3,4
C00537,2024-02,20,376,5,2
C00537,2024-03,9,892,6,4
C00537,2024-04,3,1354,7,1
C00537,2024-05,19,587,7,3
C00537,2024-06,2,758,4,4
C00538,2023-01,47,1494,1,0
C00538,2023-02,41,1488,2,2
C00538,2023-03,41,1148,2,1
C00538,2023-05,25,795,2,1
C00538,2023-06,41,1852,4,1
C00538,2023-07,35,2139,4,0
C00538,2023-08,40,1620,4,0
C00538,2023-09,40,1368,1,1
C00538,2023-10,32,1576,0,0
C00538,2023-12,31,1653,0,0
C00538,2024-01,28,1893,0,0
C00538,2024-04,36,962,2,0
C00538,2024-05,36,1326,0,0
C00539,2023-01,29,1747,0,0
C00539,2023-02,43,1406,0,0
C00539,2023-05,31,1664,2,1
C00539,2023-06,48,1126,4,0
C00539,2023-08,30,1894,3,1
C00539,2023-09,56,1982,1,0
C00539,2023-11,33,995,2,0
C00539,2024-01,37,1567,0,0
C00539,2024-03,25,829,1,0
C00539,2024-05,39,1642,1,0
C00539,2024-06,41,1346,1,0
C00540,2023-02,47,1931,0,0
C00540,2023-03,29,2006,0,0
C00540,2023-04,27,1438,0,0
C00540,2023-06,30,1892,0,1
C00540,2023-09,31,1387,5,0
C00540,2023-10,26,1316,4,1
C00540,2023-11,25,1496,1,2
C00540,2023-12,2,550,3,4
C00540,2024-02,16,626,6,3
C00540,2024-03,14,0,6,5
C00540,2024-04,14,521,3,4
C00540,2024-05,12,669,7,2
C00541,2023-01,42,2176,0,0
C00541,2023-02,31,2193,1,0
C00541,2023-03,37,1380,4,1
C00541,2023-04,46,1424,5,0
C00541,2023-05,8,1237,2,0
C00541,2023-06,13,1993,2,2
C00541,2023-07,30,946,3,1
C00541,2023-08,42,970,3,1
C00541,2023-09,15,1577,4,2
C00541,2023-10,36,1049,1,2
C00541,2023-11,24,917,2,1
C00541,2023-12,0,503,3,1
C00541,2024-01,17,1249,4,1
C00541,2024-02,2,1121,3,4
C00541,2024-03,13,689,3,0
C00541,2024-04,15,1124,4,3
C00541,2024-05,20,551,3,2
C00541,2024-06,11,873,3,2
C00542,2023-01,42,1152,1,0
C00542,2023-02,24,1439,5,0
C00542,2023-04,33,1558,1,0
C00542,2023-05,39,2339,4,0
C00542,2023-06,34,1327,3,0
C00542,2023-07,31,1710,1,0
C00542,2023-08,34,1222,2,0
C00542,2023-09,26,1502,1,1
C00542,2023-10,36,1735,2,0
C00542,2023-11,37,737,3,0
C00542,2023-12,1,1232,0,0
C00542,2024-01,43,1749,0,1
C00542,2024-03,25,1832,3,0
C00542,2024-04,32,942,1,1
C00542,2024-05,33,1159,0,0
C00542,2024-06,36,1755,1,0
C00543,2023-01,44,1553,2,0
C00543,2023-02,52,1622,1,1
C00543,2023-07,29,1610,2,0
