주문ID,주문일자,고객ID,성별,연령,지역,유입채널,카테고리,상품명,단가,수량,할인율,결제방법,주문상태,평점
ORD00468,2023-06-24,CUST0139,여,18.0,서울,직접방문,생활용품,텀블러,45000.0,1,0.0,계좌이체,배송완료,4.0
ORD00469,2023-06-25,CUST0057,남,37.0,경기,이메일,생활용품,텀블러,22000.0,1,0.2,간편결제,배송완료,4.0
ORD00470,2023-06-25,CUST0133,여,27.0,인천,검색,전자기기,보조배터리,307000.0,1,0.3,간편결제,배송완료,5.0
ORD00471,2023-06-25,CUST0048,여,29.0,경기,검색,전자기기,충전기,,1,0.05,간편결제,취소,
ORD00472,2023-06-26,CUST0094,여,36.0,서울,검색,식품,과일선물세트,67000.0,2,0.3,신용카드,반품,
ORD00473,2023-06-26,CUST0154,여,43.0,경기,SNS,뷰티,선크림,25000.0,2,0.0,신용카드,반품,
ORD00474,2023-06-27,CUST0145,남,28.0,제주,SNS,식품,견과류,47000.0,2,0.1,간편결제,배송완료,4.0
ORD00475,2023-06-27,CUST0005,여,53.0,광주,직접방문,전자기기,스마트워치,227000.0,3,0.0,포인트,배송완료,
ORD00476,2023-06-27,CUST0082,여,18.0,경기,SNS,뷰티,스킨케어세트,62000.0,1,0.15,간편결제,배송완료,4.0
ORD00477,2023-06-27,CUST0030,남,30.0,인천,검색,생활용품,수건세트,30000.0,3,0.1,신용카드,배송완료,
ORD00478,2023-06-28,CUST0016,남,52.0,서울,검색,생활용품,쿠션,55000.0,3,0.0,포인트,배송완료,4.0
ORD00479,2023-06-28,CUST0182,남,27.0,인천,이메일,뷰티,립스틱,126000.0,1,0.05,간편결제,배송완료,5.0
ORD00480,2023-06-29,CUST0021,남,42.0,서울,검색,의류,청바지,74000.0,2,0.15,신용카드,배송완료,5.0
ORD00481,2023-06-29,CUST0077,여,47.0,경기,제휴,생활용품,텀블러,57000.0,1,0.0,계좌이체,배송완료,5.0
ORD00482,2023-06-29,CUST0178,남,25.0,경기,직접방문,의류,니트,86000.0,1,0.2,신용카드,반품,
ORD00483,2023-06-30,CUST0016,여,35.0,대전,검색,의류,청바지,24000.0,3,0.1,포인트,배송완료,3.0
ORD00484,2023-06-30,CUST0011,남,39.0,서울,검색,전자기기,스마트워치,251000.0,3,0.05,포인트,취소,
ORD00485,2023-06-30,CUST0184,여,34.0,서울,검색,생활용품,쿠션,54000.0,1,0.15,간편결제,배송완료,4.0
ORD00486,2023-06-30,CUST0121,남,25.0,대전,SNS,식품,차세트,40000.0,3,0.3,포인트,배송완료,4.0
ORD00487,2023-07-01,CUST0013,여,49.0,경기,이메일,생활용품,방향제,58000.0,2,0.15,신용카드,배송완료,5.0
ORD00488,2023-07-01,CUST0172,남,30.0,인천,SNS,식품,견과류,27000.0,2,0.1,포인트,배송완료,5.0
ORD00489,2023-07-01,CUST0150,여,41.0,경기,검색,생활용품,수건세트,24000.0,3,0.15,간편결제,반품,
ORD00490,2023-07-01,CUST0197,남,44.0,세종,검색,식품,과일선물세트,69000.0,1,0.0,신용카드,배송완료,5.0
ORD00491,2023-07-02,CUST0111,여,41.0,경기,검색,뷰티,립스틱,103000.0,1,0.1,신용카드,배송완료,3.0
ORD00492,2023-07-03,CUST0016,여,35.0,서울,제휴,전자기기,스마트워치,344000.0,3,0.0,간편결제,배송완료,5.0
ORD00493,2023-07-03,CUST0180,여,25.0,세종,검색,식품,차세트,35000.0,1,0.2,간편결제,배송완료,4.0
ORD00494,2023-07-04,CUST0069,남,31.0,경기,직접방문,뷰티,선크림,128000.0,1,0.15,신용카드,배송완료,5.0
ORD00495,2023-07-04,CUST0078,남,40.0,서울,검색,의류,니트,79000.0,1,0.0,신용카드,취소,
ORD00496,2023-07-04,CUST0118,여,41.0,서울,검색,의류,패딩,99000.0,1,0.15,간편결제,배송완료,5.0
ORD00497,2023-07-05,CUST0089,남,27.0,세종,검색,생활용품,조명,24000.0,3,0.0,계좌이체,배송완료,4.0
ORD00498,2023-07-05,CUST0083,여,24.0,서울,이메일,의류,청바지,72000.0,2,0.0,간편결제,배송완료,5.0
ORD00499,2023-07-05,CUST0132,여,25.0,부산,이메일,전자기기,이어폰,68000.0,1,0.2,신용카드,배송완료,4.0
ORD00500,2023-07-05,CUST0178,남,36.0,서울,직접방문,전자기기,스마트워치,48000.0,1,0.0,신용카드,배송중,
ORD00501,2023-07-06,CUST0088,여,52.0,부산,제휴,식품,차세트,17000.0,1,0.0,간편결제,배송완료,
ORD00502,2023-07-06,CUST0080,여,29.0,인천,검색,의류,원피스,117000.0,2,0.0,간편결제,배송완료,4.0
ORD00503,2023-07-07,CUST0040,여,27.0,경기,직접방문,뷰티,향수,74000.0,2,0.05,신용카드,배송완료,3.0
ORD00504,2023-07-07,CUST0054,여,47.0,경기,검색,식품,건강즙,62000.0,1,0.1,계좌이체,배송완료,5.0
ORD00505,2023-07-07,CUST0099,남,29.0,인천,직접방문,뷰티,스킨케어세트,122000.0,2,0.1,간편결제,배송완료,4.0
ORD00506,2023-07-08,CUST0031,남,34.0,서울,검색,뷰티,립스틱,72000.0,2,0.0,간편결제,배송완료,3.0
ORD00507,2023-07-08,CUST0192,남,42.0,서울,검색,전자기기,이어폰,293000.0,1,0.15,신용카드,배송완료,4.0
ORD00508,2023-07-09,CUST0099,여,54.0,부산,제휴,전자기기,보조배터리,277000.0,2,0.0,신용카드,배송완료,5.0
ORD00509,2023-07-09,CUST0063,여,47.0,경기,SNS,의류,원피스,39000.0,1,0.0,간편결제,배송완료,
ORD00510,2023-07-09,CUST0047,여,23.0,세종,SNS,식품,견과류,52000.0,1,0.0,간편결제,반품,
ORD00511,2023-07-10,CUST0140,여,26.0,서울,직접방문,전자기기,이어폰,108000.0,2,0.15,신용카드,반품,
ORD00512,2023-07-10,CUST0147,여,31.0,서울,SNS,뷰티,향수,106000.0,2,0.3,포인트,배송완료,5.0
ORD00513,2023-07-10,CUST0197,남,18.0,서울,검색,식품,커피세트,31000.0,2,0.1,신용카드,배송완료,5.0
ORD00514,2023-07-11,CUST0118,여,37.0,제주,SNS,생활용품,쿠션,57000.0,1,0.0,간편결제,배송완료,4.0
ORD00515,2023-07-11,CUST0002,여,40.0,경기,SNS,전자기기,이어폰,208000.0,3,0.0,간편결제,배송완료,5.0
ORD00516,2023-07-11,CUST0153,남,34.0,서울,직접방문,의류,티셔츠,115000.0,2,0.1,포인트,배송완료,5.0
ORD00517,2023-07-12,CUST0126,남,35.0,서울,이메일,뷰티,스킨케어세트,89000.0,1,0.2,신용카드,배송완료,5.0
ORD00518,2023-07-13,CUST0050,남,34.0,서울,검색,전자기기,스마트워치,144000.0,1,0.05,포인트,배송완료,5.0
ORD00519,2023-07-13,CUST0025,남,21.0,서울,검색,생활용품,조명,47000.0,1,0.3,신용카드,배송완료,4.0
ORD00520,2023-07-16,CUST0148,남,45.0,부산,검색,의류,티셔츠,108000.0,1,0.0,간편결제,취소,
ORD00521,2023-07-16,CUST0151,남,33.0,대구,이메일,의류,패딩,113000.0,2,0.1,신용카드,취소,
ORD00522,2023-07-17,CUST0015,남,40.0,제주,SNS,뷰티,향수,133000.0,1,0.1,신용카드,반품,
ORD00523,2023-07-17,CUST0149,남,37.0,경기,SNS,식품,차세트,31000.0,3,0.3,신용카드,배송중,
ORD00524,2023-07-18,CUST0085,여,44.0,부산,검색,식품,커피세트,,1,0.15,간편결제,배송완료,4.0
ORD00525,2023-07-18,CUST0013,남,48.0,경기,SNS,전자기기,보조배터리,299000.0,1,0.0,신용카드,배송완료,4.0
ORD00526,2023-07-18,CUST0051,여,35.0,부산,검색,식품,차세트,62000.0,1,0.0,포인트,배송완료,
ORD00527,2023-07-18,CUST0143,여,34.0,인천,검색,생활용품,텀블러,26000.0,2,0.1,간편결제,배송완료,4.0
ORD00528,2023-07-18,CUST0136,남,29.0,부산,이메일,전자기기,이어폰,278000.0,2,0.15,신용카드,배송완료,5.0
ORD00529,2023-07-19,CUST0156,여,36.0,부산,검색,식품,건강즙,66000.0,1,0.2,포인트,배송완료,4.0
ORD00530,2023-07-19,CUST0103,여,44.0,대구,검색,뷰티,스킨케어세트,10000.0,3,0.05,계좌이체,취소,
ORD00531,2023-07-20,CUST0145,여,42.0,경기,직접방문,생활용품,조명,11000.0,1,0.3,신용카드,배송완료,5.0
ORD00532,2023-07-20,CUST0184,여,31.0,경기,SNS,의류,원피스,22000.0,2,0.2,간편결제,배송완료,4.0
ORD00533,2023-07-20,CUST0110,남,32.0,대구,검색,생활용품,쿠션,26000.0,1,0.0,신용카드,배송완료,3.0
ORD00534,2023-07-21,CUST0160,남,30.0,경기,이메일,식품,차세트,53000.0,2,0.2,간편결제,배송완료,4.0
ORD00535,2023-07-21,CUST0200,여,53.0,서울,SNS,뷰티,마스크팩,106000.0,2,0.1,신용카드,배송완료,5.0
ORD00536,2023-07-21,CUST0172,남,18.0,서울,검색,생활용품,텀블러,53000.0,1,0.2,신용카드,취소,
ORD00537,2023-07-22,CUST0184,남,59.0,광주,검색,뷰티,마스크팩,71000.0,1,0.1,간편결제,반품,
ORD00538,2023-07-23,CUST0158,여,35.0,대전,SNS,생활용품,텀블러,10000.0,2,0.15,간편결제,배송완료,4.0
ORD00539,2023-07-23,CUST0186,여,42.0,경기,SNS,의류,원피스,88000.0,3,0.1,간편결제,반품,
ORD00540,2023-07-23,CUST0072,남,43.0,서울,이메일,전자기기,스피커,268000.0,1,0.1,신용카드,배송완료,4.0
ORD00541,2023-07-24,CUST0124,여,39.0,부산,검색,식품,건강즙,55000.0,2,0.3,신용카드,배송완료,4.0
ORD00542,2023-07-24,CUST0003,남,22.0,제주,직접방문,생활용품,쿠션,16000.0,1,0.0,포인트,반품,
ORD00543,2023-07-25,CUST0067,여,43.0,제주,검색,뷰티,스킨케어세트,147000.0,2,0.1,간편결제,취소,
ORD00544,2023-07-26,CUST0061,남,20.0,대전,SNS,생활용품,텀블러,52000.0,2,0.05,신용카드,반품,
ORD00545,2023-07-26,CUST0076,여,34.0,제주,직접방문,의류,티셔츠,87000.0,1,0.0,신용카드,배송완료,5.0
ORD00546,2023-07-27,CUST0084,남,47.0,인천,검색,의류,티셔츠,60000.0,1,0.0,간편결제,배송완료,4.0
ORD00547,2023-07-27,CUST0006,여,42.0,경기,검색,생활용품,수건세트,53000.0,3,0.0,신용카드,반품,
ORD00548,2023-07-27,CUST0188,남,28.0,부산,SNS,식품,건강즙,38000.0,1,0.1,신용카드,배송완료,5.0
ORD00549,2023-07-27,CUST0105,남,52.0,경기,직접방문,식품,과일선물세트,18000.0,1,0.3,신용카드,배송완료,5.0
ORD00550,2023-07-28,CUST0042,여,47.0,서울,검색,뷰티,스킨케어세트,142000.0,1,0.1,포인트,배송완료,4.0
ORD00551,2023-07-30,CUST0011,여,44.0,서울,제휴,식품,과일선물세트,39000.0,2,0.1,간편결제,반품,
ORD00552,2023-07-30,CUST0019,남,47.0,서울,SNS,뷰티,스킨케어세트,59000.0,2,0.2,간편결제,배송완료,4.0
ORD00553,2023-07-30,CUST0197,여,33.0,서울,검색,전자기기,충전기,326000.0,2,0.15,신용카드,배송완료,5.0
ORD00554,2023-07-31,CUST0155,남,18.0,경기,검색,전자기기,보조배터리,22000.0,2,0.0,간편결제,취소,
ORD00555,2023-07-31,CUST0138,남,43.0,경기,검색,전자기기,보조배터리,27000.0,2,0.0,신용카드,배송완료,4.0
ORD00556,2023-07-31,CUST0063,여,36.0,경기,SNS,식품,커피세트,15000.0,2,0.1,신용카드,배송완료,4.0
ORD00557,2023-07-31,CUST0026,남,43.0,제주,SNS,의류,원피스,86000.0,3,0.3,신용카드,취소,
ORD00558,2023-08-01,CUST0087,남,26.0,대전,검색,전자기기,이어폰,95000.0,3,0.05,포인트,배송완료,4.0
ORD00559,2023-08-01,CUST0008,여,34.0,서울,직접방문,식품,건강즙,79000.0,3,0.15,계좌이체,취소,
ORD00560,2023-08-02,CUST0005,남,48.0,경기,직접방문,식품,과일선물세트,50000.0,2,0.0,신용카드,배송완료,4.0
ORD00561,2023-08-02,CUST0116,남,35.0,서울,SNS,전자기기,충전기,328000.0,3,0.05,간편결제,배송완료,5.0
ORD00562,2023-08-03,CUST0145,여,26.0,경기,직접방문,뷰티,마스크팩,44000.0,1,0.0,간편결제,배송완료,4.0
ORD00563,2023-08-03,CUST0062,남,39.0,경기,SNS,식품,커피세트,53000.0,1,0.1,신용카드,배송완료,4.0
ORD00564,2023-08-04,CUST0042,여,53.0,부산,SNS,뷰티,마스크팩,55000.0,2,0.1,간편결제,배송완료,5.0
ORD00565,2023-08-04,CUST0185,여,45.0,대구,SNS,생활용품,수건세트,10000.0,1,0.1,신용카드,배송완료,5.0
ORD00566,2023-08-04,CUST0016,남,34.0,서울,이메일,전자기기,충전기,173000.0,1,0.1,간편결제,배송완료,5.0
ORD00567,2023-08-06,CUST0048,남,24.0,서울,직접방문,식품,과일선물세트,59000.0,1,0.15,간편결제,배송완료,5.0
ORD00568,2023-08-06,CUST0199,남,42.0,서울,검색,뷰티,스킨케어세트,41000.0,2,0.15,신용카드,배송완료,4.0
ORD00569,2023-08-06,CUST0164,여,23.0,서울,SNS,생활용품,쿠션,44000.0,1,0.15,간편결제,배송완료,
ORD00570,2023-08-06,CUST0171,여,24.0,세종,SNS,의류,티셔츠,76000.0,1,0.05,신용카드,반품,
ORD00571,2023-08-07,CUST0073,남,29.0,부산,SNS,식품,차세트,22000.0,2,0.15,신용카드,배송완료,4.0
ORD00572,2023-08-08,CUST0166,남,23.0,대구,제휴,식품,과일선물세트,59000.0,2,0.2,간편결제,배송완료,5.0
ORD00573,2023-08-08,CUST0112,여,33.0,부산,제휴,생활용품,조명,18000.0,1,0.05,신용카드,배송완료,4.0
ORD00574,2023-08-09,CUST0053,여,32.0,경기,SNS,의류,패딩,25000.0,3,0.1,간편결제,배송완료,5.0
ORD00575,2023-08-09,CUST0059,n,32.0,대전,SNS,생활용품,텀블러,40000.0,1,0.2,신용카드,반품,
ORD00576,2023-08-09,CUST0044,남,35.0,인천,검색,전자기기,스마트워치,150000.0,1,0.1,신용카드,배송중,
ORD00577,2023-08-09,CUST0114,여,37.0,인천,직접방문,뷰티,마스크팩,88000.0,1,0.1,신용카드,배송완료,5.0
ORD00578,2023-08-09,CUST0022,여,44.0,서울,직접방문,뷰티,향수,40000.0,2,0.2,신용카드,취소,
ORD00579,2023-08-09,CUST0127,남,26.0,인천,이메일,생활용품,조명,55000.0,2,0.2,간편결제,배송완료,5.0
ORD00580,2023-08-10,CUST0028,여,40.0,서울,SNS,의류,원피스,24000.0,2,0.05,간편결제,배송완료,5.0
ORD00581,2023-08-10,CUST0104,여,28.0,경기,제휴,전자기기,스피커,310000.0,1,0.15,신용카드,배송완료,4.0
ORD00582,2023-08-11,CUST0112,여,46.0,세종,SNS,생활용품,방향제,25000.0,1,0.1,신용카드,반품,
ORD00583,2023-08-11,CUST0166,여,53.0,제주,직접방문,전자기기,충전기,191000.0,2,0.0,신용카드,배송완료,5.0
ORD00584,2023-08-12,CUST0159,남,48.0,인천,이메일,생활용품,조명,38000.0,1,0.05,간편결제,배송완료,5.0
ORD00585,2023-08-12,CUST0128,남,35.0,인천,SNS,의류,티셔츠,83000.0,1,0.15,신용카드,취소,
ORD00586,2023-08-13,CUST0167,남,30.0,세종,제휴,식품,차세트,55000.0,1,0.1,신용카드,배송완료,5.0
ORD00587,2023-08-13,CUST0098,남,50.0,대전,SNS,생활용품,쿠션,11000.0,1,0.1,간편결제,배송완료,5.0
ORD00588,2023-08-14,CUST0050,여,25.0,서울,SNS,뷰티,스킨케어세트,29000.0,1,0.0,신용카드,배송완료,
ORD00589,2023-08-14,CUST0124,남,33.0,대구,검색,생활용품,방향제,44000.0,3,0.0,계좌이체,배송완료,5.0
ORD00590,2023-08-15,CUST0112,여,29.0,인천,이메일,의류,청바지,77000.0,1,0.05,간편결제,배송완료,4.0
ORD00591,2023-08-15,CUST0196,여,28.0,경기,SNS,생활용품,쿠션,25000.0,2,0.2,간편결제,배송완료,
ORD00592,2023-08-16,CUST0089,여,41.0,경기,SNS,뷰티,선크림,44000.0,1,0.05,신용카드,배송중,
ORD00593,2023-08-16,CUST0183,남,28.0,부산,이메일,식품,커피세트,64000.0,3,0.05,계좌이체,배송완료,5.0
ORD00594,2023-08-17,CUST0014,여,49.0,세종,이메일,식품,견과류,79000.0,1,0.0,간편결제,취소,
ORD00595,2023-08-17,CUST0161,남,29.0,제주,검색,뷰티,향수,79000.0,1,0.0,신용카드,배송완료,4.0
ORD00596,2023-08-17,CUST0195,남,33.0,서울,이메일,생활용품,쿠션,51000.0,1,0.05,간편결제,배송완료,3.0
ORD00597,2023-08-17,CUST0114,남,37.0,서울,SNS,전자기기,스피커,35000.0,1,0.1,간편결제,배송완료,5.0
ORD00598,2023-08-17,CUST0092,여,25.0,서울,검색,생활용품,방향제,26000.0,3,0.05,신용카드,배송완료,5.0
ORD00599,2023-08-17,CUST0098,여,24.0,세종,SNS,뷰티,선크림,67000.0,3,0.05,신용카드,취소,
ORD00600,2023-08-17,CUST0165,남,28.0,대구,제휴,뷰티,향수,56000.0,1,0.1,포인트,반품,
ORD00601,2023-08-17,CUST0155,여,46.0,경기,검색,뷰티,스킨케어세트,76000.0,3,0.0,간편결제,배송중,
ORD00602,2023-08-18,CUST0104,남,21.0,서울,검색,전자기기,스마트워치,328000.0,2,0.2,신용카드,배송완료,4.0
ORD00603,2023-08-18,CUST0006,여,37.0,대전,SNS,의류,패딩,89000.0,2,0.0,계좌이체,배송완료,5.0
ORD00604,2023-08-19,CUST0088,여,45.0,서울,SNS,뷰티,마스크팩,43000.0,2,0.2,계좌이체,배송중,
ORD00605,2023-08-20,CUST0081,여,30.0,경기,직접방문,식품,차세트,53000.0,1,0.3,포인트,배송완료,
ORD00606,2023-08-20,CUST0025,남,48.0,서울,검색,뷰티,립스틱,117000.0,2,0.0,계좌이체,배송완료,5.0
ORD00607,2023-08-21,CUST0012,여,26.0,서울,SNS,식품,차세트,31000.0,2,0.3,계좌이체,배송완료,5.0
ORD00608,2023-08-22,CUST0070,남,38.0,제주,검색,뷰티,향수,94000.0,1,0.05,신용카드,배송완료,
ORD00609,2023-08-22,CUST0195,남,43.0,인천,SNS,의류,패딩,56000.0,1,0.0,간편결제,배송완료,4.0
ORD00610,2023-08-22,CUST0089,남,37.0,서울,SNS,생활용품,텀블러,51000.0,1,0.0,신용카드,배송중,
ORD00611,2023-08-22,CUST0156,여,40.0,대구,검색,뷰티,선크림,104000.0,2,0.0,포인트,배송완료,5.0
ORD00612,2023-08-22,CUST0034,남,31.0,광주,검색,식품,커피세트,21000.0,1,0.0,계좌이체,배송완료,
ORD00613,2023-08-23,CUST0119,여,34.0,서울,직접방문,식품,건강즙,75000.0,1,0.1,계좌이체,배송중,
ORD00614,2023-08-23,CUST0125,여,29.0,제주,직접방문,뷰티,마스크팩,9000.0,1,0.2,간편결제,반품,
ORD00615,2023-08-24,CUST0018,남,30.0,서울,이메일,의류,원피스,45000.0,3,0.0,간편결제,배송완료,4.0
ORD00616,2023-08-25,CUST0142,남,39.0,인천,검색,전자기기,보조배터리,249000.0,1,0.1,신용카드,배송완료,
ORD00617,2023-08-26,CUST0141,여,32.0,대구,직접방문,뷰티,스킨케어세트,76000.0,3,0.2,간편결제,배송완료,4.0
ORD00618,2023-08-26,CUST0168,남,18.0,서울,SNS,의류,청바지,65000.0,1,0.0,신용카드,배송완료,4.0
ORD00619,2023-08-26,CUST0001,여,34.0,제주,검색,생활용품,쿠션,56000.0,1,0.1,계좌이체,배송중,
ORD00620,2023-08-26,CUST0103,여,18.0,서울,직접방문,의류,패딩,59000.0,1,0.0,간편결제,배송완료,5.0
ORD00621,2023-08-26,CUST0113,여,32.0,부산,SNS,의류,원피스,42000.0,1,0.0,신용카드,배송완료,
ORD00622,2023-08-27,CUST0080,남,55.0,서울,검색,생활용품,조명,50000.0,1,0.15,신용카드,배송중,
ORD00623,2023-08-27,CUST0125,여,26.0,경기,검색,식품,커피세트,68000.0,1,0.15,신용카드,배송완료,4.0
ORD00624,2023-08-28,CUST0117,남,30.0,서울,검색,식품,건강즙,55000.0,1,0.2,간편결제,배송완료,5.0
ORD00625,2023-08-29,CUST0118,여,42.0,서울,검색,식품,과일선물세트,17000.0,1,0.05,간편결제,반품,
ORD00626,2023-08-29,CUST0149,여,43.0,광주,제휴,뷰티,립스틱,68000.0,1,0.0,간편결제,취소,
ORD00627,2023-08-29,CUST0032,여,39.0,대구,SNS,생활용품,수건세트,55000.0,2,0.0,간편결제,배송완료,
ORD00628,2023-08-30,CUST0126,남,31.0,경기,SNS,생활용품,수건세트,15000.0,1,0.0,신용카드,배송중,
ORD00629,2023-08-30,CUST0169,남,28.0,경기,SNS,식품,커피세트,33000.0,2,0.0,신용카드,취소,
ORD00630,2023-08-31,CUST0015,여,23.0,경기,SNS,뷰티,립스틱,94000.0,1,0.2,계좌이체,배송완료,4.0
ORD00631,2023-09-01,CUST0062,n,36.0,서울,직접방문,의류,원피스,109000.0,3,0.3,포인트,반품,
ORD00632,2023-09-02,CUST0033,남,40.0,제주,직접방문,전자기기,보조배터리,242000.0,1,0.1,신용카드,배송완료,
ORD00633,2023-09-02,CUST0023,여,39.0,서울,검색,전자기기,보조배터리,189000.0,2,0.0,계좌이체,배송완료,
ORD00634,2023-09-02,CUST0147,여,43.0,대구,SNS,의류,청바지,25000.0,1,0.0,간편결제,배송완료,5.0
ORD00635,2023-09-02,CUST0148,여,31.0,서울,검색,의류,니트,114000.0,2,0.0,신용카드,배송완료,4.0
ORD00636,2023-09-02,CUST0192,남,33.0,인천,직접방문,식품,과일선물세트,71000.0,2,0.0,간편결제,배송완료,5.0
ORD00637,2023-09-03,CUST0078,남,32.0,서울,SNS,식품,견과류,75000.0,1,0.0,신용카드,배송완료,5.0
ORD00638,2023-09-03,CUST0125,남,27.0,대구,이메일,전자기기,스피커,347000.0,2,0.05,간편결제,배송완료,5.0
ORD00639,2023-09-03,CUST0146,여,,광주,검색,식품,견과류,57000.0,2,0.05,간편결제,배송완료,
ORD00640,2023-09-03,CUST0085,여,18.0,경기,직접방문,의류,청바지,117000.0,2,0.15,간편결제,반품,
ORD00641,2023-09-04,CUST0129,n,22.0,경기,검색,전자기기,스피커,284000.0,2,0.15,간편결제,배송완료,5.0
ORD00642,2023-09-04,CUST0088,여,45.0,대구,검색,생활용품,조명,11000.0,2,0.0,신용카드,취소,
ORD00643,2023-09-05,CUST0054,여,43.0,광주,SNS,의류,원피스,57000.0,2,0.1,간편결제,배송중,
ORD00644,2023-09-05,CUST0013,여,52.0,인천,직접방문,전자기기,이어폰,293000.0,3,0.15,신용카드,배송완료,5.0
ORD00645,2023-09-05,CUST0104,남,32.0,대구,이메일,전자기기,보조배터리,100000.0,1,0.15,신용카드,배송완료,4.0
ORD00646,2023-09-06,CUST0025,여,34.0,인천,SNS,식품,과일선물세트,75000.0,1,0.3,계좌이체,배송완료,5.0
ORD00647,2023-09-06,CUST0062,여,32.0,대구,검색,생활용품,조명,42000.0,3,0.05,간편결제,배송완료,5.0
ORD00648,2023-09-07,CUST0117,여,23.0,부산,SNS,뷰티,마스크팩,59000.0,1,0.1,계좌이체,배송완료,4.0
ORD00649,2023-09-07,CUST0107,남,45.0,경기,검색,뷰티,향수,135000.0,1,0.2,계좌이체,배송완료,5.0
ORD00650,2023-09-07,CUST0030,남,21.0,대구,검색,의류,니트,105000.0,1,0.0,간편결제,배송완료,5.0
ORD00651,2023-09-08,CUST0148,여,37.0,인천,검색,뷰티,마스크팩,134000.0,1,0.0,신용카드,배송중,
ORD00652,2023-09-09,CUST0192,남,20.0,대구,SNS,식품,차세트,28000.0,1,0.15,신용카드,배송완료,
ORD00653,2023-09-09,CUST0099,남,30.0,경기,검색,식품,과일선물세트,20000.0,1,0.2,계좌이체,배송완료,5.0
ORD00654,2023-09-10,CUST0133,여,22.0,인천,SNS,식품,건강즙,25000.0,2,0.2,포인트,배송완료,
ORD00655,2023-09-10,CUST0101,여,31.0,대구,검색,식품,커피세트,63000.0,2,0.0,계좌이체,배송완료,4.0
ORD00656,2023-09-10,CUST0135,여,39.0,경기,SNS,생활용품,수건세트,48000.0,1,0.1,간편결제,반품,
ORD00657,2023-09-10,CUST0024,남,44.0,서울,제휴,의류,원피스,64000.0,1,0.0,간편결제,배송완료,4.0
ORD00658,2023-09-11,CUST0037,남,27.0,경기,제휴,의류,원피스,,1,0.2,간편결제,배송완료,4.0
ORD00659,2023-09-11,CUST0070,여,23.0,부산,직접방문,식품,과일선물세트,26000.0,1,0.15,신용카드,배송완료,
ORD00660,2023-09-11,CUST0087,여,43.0,경기,이메일,뷰티,향수,115000.0,2,0.0,계좌이체,배송완료,5.0
ORD00661,2023-09-11,CUST0025,여,18.0,인천,제휴,뷰티,립스틱,69000.0,3,0.2,포인트,배송완료,5.0
ORD00662,2023-09-12,CUST0125,여,35.0,경기,제휴,의류,티셔츠,,1,0.0,계좌이체,배송완료,4.0
ORD00663,2023-09-12,CUST0167,여,39.0,대구,SNS,식품,차세트,18000.0,1,0.15,간편결제,배송완료,4.0
ORD00664,2023-09-12,CUST0056,남,26.0,경기,제휴,뷰티,선크림,56000.0,2,0.0,포인트,배송완료,5.0
ORD00665,2023-09-12,CUST0064,여,37.0,경기,검색,전자기기,보조배터리,194000.0,2,0.2,포인트,반품,
ORD00666,2023-09-13,CUST0018,여,39.0,인천,직접방문,식품,차세트,76000.0,1,0.0,계좌이체,배송완료,
ORD00667,2023-09-13,CUST0080,남,38.0,대전,SNS,뷰티,선크림,88000.0,1,0.15,포인트,배송완료,4.0
ORD00668,2023-09-14,CUST0121,남,42.0,대전,이메일,뷰티,스킨케어세트,51000.0,1,0.0,신용카드,배송완료,4.0
ORD00669,2023-09-15,CUST0010,여,38.0,광주,검색,전자기기,스피커,256000.0,2,0.0,신용카드,배송완료,
ORD00670,2023-09-15,CUST0197,여,45.0,세종,검색,식품,커피세트,70000.0,1,0.0,신용카드,취소,
ORD00671,2023-09-16,CUST0016,여,38.0,광주,검색,전자기기,스피커,139000.0,2,0.0,계좌이체,배송완료,5.0
ORD00672,2023-09-16,CUST0181,여,19.0,경기,직접방문,식품,커피세트,74000.0,2,0.0,계좌이체,배송완료,5.0
ORD00673,2023-09-16,CUST0010,남,62.0,제주,SNS,식품,건강즙,58000.0,1,0.1,신용카드,취소,
ORD00674,2023-09-16,CUST0021,여,50.0,경기,SNS,뷰티,선크림,138000.0,1,0.3,신용카드,배송완료,5.0
ORD00675,2023-09-17,CUST0120,여,47.0,대전,SNS,생활용품,텀블러,43000.0,3,0.3,신용카드,배송완료,5.0
ORD00676,2023-09-17,CUST0107,여,30.0,대전,이메일,의류,티셔츠,22000.0,1,0.1,간편결제,배송완료,5.0
ORD00677,2023-09-17,CUST0013,여,39.0,대전,검색,식품,차세트,49000.0,1,0.05,신용카드,배송완료,
ORD00678,2023-09-17,CUST0040,여,18.0,인천,검색,전자기기,스피커,147000.0,3,0.05,신용카드,배송완료,5.0
ORD00679,2023-09-17,CUST0177,남,33.0,광주,검색,뷰티,스킨케어세트,26000.0,1,0.3,신용카드,배송완료,5.0
ORD00680,2023-09-17,CUST0059,남,18.0,제주,검색,생활용품,텀블러,33000.0,1,0.0,포인트,배송완료,5.0
ORD00681,2023-09-18,CUST0033,여,44.0,인천,직접방문,의류,청바지,57000.0,2,0.3,신용카드,배송완료,4.0
ORD00682,2023-09-18,CUST0116,남,36.0,경기,검색,뷰티,립스틱,69000.0,3,0.0,간편결제,배송완료,4.0
ORD00683,2023-09-18,CUST0120,여,47.0,인천,직접방문,식품,커피세트,71000.0,3,0.3,신용카드,배송완료,5.0
