주문ID,주문일시,고객ID,가게ID,메뉴,주문금액,수량,배달소요시간(분),결제방법,쿠폰사용여부,평점,주문상태
ORD01120,2024-01-30 10:58:15,CUST0155,STR018,양념치킨,22200,1,41.0,간편결제,N,5.0,배달완료
ORD01121,2024-10-28 13:45:24,CUST0286,STR075,짬뽕,14000,2,21.0,간편결제,Y,,취소
ORD01122,2024-02-28 21:26:53,CUST0359,STR062,감자튀김,6600,1,60.0,현금,N,,배달완료
ORD01123,2024-02-07 23:32:15,CUST0296,STR068,치킨버거,8800,1,41.0,카드,N,5.0,배달완료
ORD01124,2024-07-12 22:18:09,CUST0411,STR042,닭가슴살샐러드,15800,2,57.0,카드,N,,배달완료
ORD01125,2024-05-13 22:54:15,CUST0488,STR081,곱창,25100,1,37.0,카드,Y,,배달완료
ORD01126,2024-11-10 18:01:32,CUST0309,STR092,불고기피자,19800,2,53.0,현금,N,5.0,배달완료
ORD01127,2024-05-05 11:02:27,CUST0169,STR073,라볶이,8000,1,48.0,카드,Y,3.0,배달완료
ORD01128,2024-11-23 11:36:43,CUST0002,STR016,제육볶음,10600,1,40.0,간편결제,N,,배달완료
ORD01129,2024-10-12 09:59:22,CUST0497,STR003,돈카츠,14300,1,37.0,카드,N,3.0,배달완료
ORD01130,2024-12-15 19:05:20,CUST0401,STR012,감자튀김,5700,1,35.0,간편결제,Y,,배달완료
ORD01131,2024-10-29 13:36:46,CUST0278,STR068,와퍼세트,7400,1,49.0,카드,Y,4.0,배달완료
ORD01132,2024-10-24 11:57:18,CUST0296,STR007,순대,5800,2,50.0,현금,Y,3.0,배달완료
ORD01133,2024-08-31 22:57:21,CUST0481,STR074,비빔밥,8700,1,29.0,간편결제,N,4.0,배달완료
ORD01134,2024-08-07 10:54:37,CUST0141,STR083,탕수육,10300,1,48.0,카드,N,1.0,배달완료
ORD01135,2024-09-29 13:52:59,CUST0270,STR081,닭발,24500,1,42.0,간편결제,Y,,취소
ORD01136,2024-09-30 17:46:46,CUST0100,STR044,튀김,3400,2,45.0,간편결제,Y,,배달완료
ORD01137,2024-08-14 20:36:16,CUST0070,STR011,케이크,13900,1,16.0,카드,N,,취소
ORD01138,2024-11-03 17:28:31,CUST0225,STR045,오꼬노미야끼,22000,1,18.0,카드,N,,취소
ORD01139,2024-10-18 13:05:42,CUST0077,STR043,치킨버거,9500,1,51.0,카드,Y,,배달중
ORD01140,2024-03-11 19:10:13,CUST0033,STR036,고구마피자,19100,1,16.0,간편결제,N,5.0,배달완료
ORD01141,2024-04-22 17:08:51,CUST0374,STR016,된장찌개,14300,1,36.0,간편결제,N,3.0,배달완료
ORD01142,2024-12-08 23:53:54,CUST0023,STR004,곱창,22800,1,60.0,간편결제,N,2.0,배달완료
ORD01143,2024-01-23 20:03:52,CUST0473,STR008,반반치킨,24300,2,15.0,카드,N,3.0,배달완료
ORD01144,2024-04-19 21:34:16,CUST0100,STR022,초밥세트,19600,2,20.0,현금,N,4.0,배달완료
ORD01145,2024-06-03 22:49:59,CUST0393,STR094,오돌뼈,28200,1,56.0,카드,Y,5.0,배달완료
ORD01146,2024-12-31 13:40:17,CUST0461,STR095,보쌈,28400,1,45.0,간편결제,N,3.0,배달완료
ORD01147,2024-02-22 09:54:31,CUST0034,STR090,포케보울,12700,1,34.0,간편결제,N,,배달완료
ORD01148,2024-05-24 11:32:07,CUST0090,STR055,마카롱세트,3700,1,40.0,카드,N,,배달완료
ORD01149,2024-02-26 21:15:14,CUST0321,STR018,순살치킨,24400,1,27.0,현금,N,,취소
ORD01150,2024-06-22 22:47:28,CUST0401,STR013,돈카츠,16000,1,53.0,간편결제,N,2.0,배달완료
ORD01151,2024-06-10 19:56:52,CUST0466,STR029,짜장면,8700,1,38.0,카드,N,,배달완료
ORD01152,2024-01-14 13:13:00,CUST0029,STR045,오꼬노미야끼,11900,1,24.0,카드,Y,,취소
ORD01153,2024-11-10 10:39:22,CUST0033,STR072,갈비탕,11900,1,54.0,카드,N,,배달완료
ORD01154,2024-12-04 11:26:05,CUST0053,STR061,오꼬노미야끼,20800,3,50.0,간편결제,N,,취소
ORD01155,2024-11-07 15:53:18,CUST0480,STR001,치킨버거,6000,1,33.0,카드,N,5.0,배달완료
ORD01156,2024-04-22 12:18:50,CUST0025,STR022,라멘,18400,1,57.0,간편결제,N,3.0,배달완료
ORD01157,2024-02-10 19:02:19,CUST0301,STR061,우동,23500,1,25.0,카드,N,4.0,배달완료
ORD01158,2024-10-31 13:23:32,CUST0310,STR076,빅맥세트,10400,1,22.0,카드,Y,,배달완료
ORD01159,2024-08-01 12:23:18,CUST0181,STR073,김밥,10400,1,29.0,간편결제,Y,5.0,배달완료
ORD01160,2024-11-05 13:30:08,CUST0287,STR079,퀴노아샐러드,11800,3,52.0,간편결제,N,,취소
ORD01161,2024-03-19 23:32:42,CUST0105,STR033,돈카츠,22900,1,56.0,카드,N,4.0,배달완료
ORD01162,2024-01-19 19:42:36,CUST0127,STR043,불고기버거,8700,1,59.0,카드,N,5.0,배달완료
ORD01163,2024-07-15 17:45:58,CUST0170,STR071,감자튀김,6900,2,31.0,카드,N,3.0,배달완료
ORD01164,2024-11-30 23:23:59,CUST0470,STR070,마카롱세트,13400,1,43.0,카드,N,2.0,배달완료
ORD01165,2024-10-07 20:14:25,CUST0265,STR095,족발,17200,1,41.0,카드,N,,배달완료
ORD01166,2024-08-19 11:46:23,CUST0040,STR015,김밥,12000,1,28.0,카드,Y,5.0,배달완료
ORD01167,2024-01-22 18:25:47,CUST0114,STR068,불고기버거,9200,1,20.0,카드,N,1.0,배달완료
ORD01168,2024-11-17 17:09:00,CUST0461,STR066,오뎅,10100,2,56.0,간편결제,N,,배달완료
ORD01169,2024-08-23 23:46:44,CUST0217,STR081,닭발,23300,1,58.0,간편결제,N,,배달완료
ORD01170,2024-09-07 11:55:19,CUST0086,STR053,튀김,9700,2,45.0,간편결제,N,5.0,배달완료
ORD01171,2024-11-28 11:07:00,CUST0076,STR088,하와이안피자,17500,1,60.0,현금,N,1.0,배달완료
ORD01172,2024-01-26 13:09:38,CUST0310,STR073,순대,8000,1,51.0,간편결제,N,2.0,배달완료
ORD01173,2024-01-09 18:54:48,CUST0032,STR100,불고기피자,34100,1,54.0,간편결제,Y,,배달완료
ORD01174,2024-09-20 19:43:53,CUST0412,STR026,튀김,9600,1,19.0,카드,N,4.0,배달완료
ORD01175,2024-07-24 19:38:12,CUST0405,STR064,오꼬노미야끼,17100,3,21.0,카드,N,5.0,배달완료
ORD01176,2024-01-21 19:14:55,CUST0419,STR013,라멘,19300,1,15.0,간편결제,Y,,배달완료
ORD01177,2024-12-01 12:04:23,CUST0064,STR056,페퍼로니피자,33400,1,37.0,카드,N,5.0,배달완료
ORD01178,2024-06-07 17:48:03,CUST0181,STR046,닭가슴살샐러드,12000,1,18.0,카드,N,5.0,배달완료
ORD01179,2024-08-18 09:02:15,CUST0288,STR048,우동,15400,1,55.0,카드,N,5.0,배달완료
ORD01180,2024-12-16 21:58:23,CUST0255,STR054,마늘치킨,21900,1,35.0,카드,Y,,취소
ORD01181,2024-07-31 20:16:50,CUST0080,STR027,곱창,27900,1,21.0,카드,N,,배달완료
ORD01182,2024-02-23 17:42:41,CUST0058,STR089,너겟세트,10800,1,17.0,현금,N,3.0,배달완료
ORD01183,2024-09-25 13:44:20,CUST0049,STR027,족발,31400,1,25.0,간편결제,N,4.0,배달완료
ORD01184,2024-05-10 20:42:10,CUST0179,STR088,불고기피자,31300,1,18.0,카드,Y,1.0,배달완료
ORD01185,2024-09-11 21:10:54,CUST0369,STR099,초밥세트,21800,1,47.0,카드,N,4.0,배달완료
ORD01186,2024-07-27 11:25:41,CUST0500,STR053,라볶이,5500,1,23.0,간편결제,Y,,취소
ORD01187,2024-02-12 21:52:11,CUST0286,STR080,곱창,34900,1,40.0,카드,N,1.0,배달완료
ORD01188,2024-10-13 11:03:35,CUST0406,STR052,치즈피자,17500,1,27.0,현금,Y,4.0,배달완료
ORD01189,2024-07-11 13:00:42,CUST0142,STR069,비빔밥,14900,1,43.0,카드,Y,,배달완료
ORD01190,2024-10-03 11:54:42,CUST0030,STR052,불고기피자,15600,1,26.0,간편결제,Y,,배달중
ORD01191,2024-10-09 17:05:33,CUST0074,STR089,치킨버거,11100,1,52.0,카드,N,,배달완료
ORD01192,2024-08-29 21:18:36,CUST0227,STR051,콤비네이션피자,23000,1,28.0,카드,Y,,취소
ORD01193,2024-10-23 21:59:24,CUST0211,STR035,포케보울,8600,2,49.0,현금,Y,3.0,배달완료
ORD01194,2024-09-17 17:31:52,CUST0384,STR012,치킨버거,5300,1,18.0,카드,Y,4.0,배달완료
ORD01195,2024-10-20 20:06:03,CUST0147,STR037,갈비탕,7100,1,60.0,카드,N,,취소
ORD01196,2024-04-21 12:10:36,CUST0068,STR074,비빔밥,9900,1,55.0,간편결제,N,,배달완료
ORD01197,2024-07-25 11:45:32,CUST0482,STR044,떡볶이,9400,1,59.0,현금,Y,5.0,배달완료
ORD01198,2024-09-25 13:48:30,CUST0494,STR087,마파두부,10900,1,58.0,카드,Y,,배달완료
ORD01199,2024-10-29 11:34:04,CUST0240,STR093,짜장면,12800,3,38.0,카드,N,5.0,배달완료
ORD01200,2024-11-27 21:19:48,CUST0015,STR100,콤비네이션피자,18900,1,18.0,카드,N,,배달완료
ORD01201,2024-07-28 09:30:49,,STR005,튀김,8800,2,30.0,카드,N,4.0,배달완료
ORD01202,2024-10-25 22:34:07,CUST0192,STR028,와퍼세트,7300,1,26.0,카드,N,,배달중
ORD01203,2024-07-08 20:32:08,CUST0264,STR078,고구마피자,19900,2,29.0,카드,N,3.0,배달완료
ORD01204,2024-04-02 19:08:49,CUST0265,STR049,치킨버거,9500,1,57.0,간편결제,N,,배달중
ORD01205,2024-06-29 20:20:10,CUST0364,STR038,오꼬노미야끼,17200,1,28.0,간편결제,Y,,배달완료
ORD01206,2024-08-27 11:56:16,CUST0149,STR077,깐풍기,11200,1,37.0,간편결제,N,4.0,배달완료
ORD01207,2024-11-02 12:03:49,CUST0104,STR058,초밥세트,19300,2,26.0,간편결제,N,,배달완료
ORD01208,2024-05-23 21:47:05,CUST0109,STR079,포케보울,15500,1,52.0,카드,N,5.0,배달완료
ORD01209,2024-12-29 17:19:14,CUST0379,STR004,닭볶음탕,22700,1,23.0,간편결제,N,,배달완료
ORD01210,2024-11-05 20:35:41,CUST0202,STR070,마카롱세트,5800,1,42.0,간편결제,Y,,취소
ORD01211,2024-09-30 13:00:34,CUST0202,STR098,연어샐러드,15400,1,59.0,카드,N,,취소
ORD01212,2024-08-07 19:45:11,CUST0370,STR078,치즈피자,18500,3,33.0,카드,N,,배달중
ORD01213,2024-05-16 21:13:49,CUST0140,STR042,그릭샐러드,14000,3,42.0,간편결제,N,,배달완료
ORD01214,2024-07-25 17:29:52,CUST0224,STR098,퀴노아샐러드,14600,1,30.0,카드,Y,2.0,배달완료
ORD01215,2024-09-03 14:23:27,CUST0256,STR079,닭가슴살샐러드,10800,1,41.0,간편결제,Y,,취소
ORD01216,2024-10-18 17:08:29,CUST0067,STR034,깐풍기,10500,2,50.0,카드,N,,취소
ORD01217,2024-06-09 15:38:10,CUST0327,STR001,빅맥세트,6500,3,20.0,현금,N,,배달완료
ORD01218,2024-07-05 13:51:12,CUST0493,STR039,불고기,11600,1,21.0,현금,N,3.0,배달완료
ORD01219,2024-12-31 17:32:03,CUST0316,STR070,케이크,7600,1,28.0,카드,N,,배달완료
ORD01220,2024-07-13 19:54:13,CUST0215,STR087,볶음밥,6200,1,46.0,간편결제,N,4.0,배달완료
ORD01221,2024-03-08 16:23:22,CUST0135,STR054,양념치킨,20800,1,40.0,카드,N,,배달완료
ORD01222,2024-02-08 17:52:02,CUST0266,STR092,불고기피자,15500,3,57.0,간편결제,N,3.0,배달완료
ORD01223,2024-10-15 11:28:36,CUST0430,STR062,와퍼세트,5700,1,56.0,간편결제,Y,5.0,배달완료
ORD01224,2024-12-04 21:15:29,CUST0310,STR096,짬뽕,13700,1,32.0,간편결제,N,4.0,배달완료
ORD01225,2024-02-04 19:17:26,CUST0099,STR075,탕수육,16100,1,23.0,간편결제,Y,,배달완료
ORD01226,2024-06-13 13:06:02,CUST0225,STR096,볶음밥,12300,1,17.0,카드,N,4.0,배달완료
ORD01227,2024-03-26 11:01:17,CUST0297,STR040,크로플,14200,1,37.0,카드,N,,배달완료
ORD01228,2024-09-01 21:47:29,CUST0125,STR081,곱창,17700,1,42.0,간편결제,N,4.0,배달완료
ORD01229,2024-08-24 19:00:59,CUST0244,STR081,곱창,34700,2,19.0,현금,Y,4.0,배달완료
ORD01230,2024-08-12 15:23:54,CUST0131,STR079,닭가슴살샐러드,10600,2,21.0,카드,N,,배달완료
ORD01231,2024-01-05 13:56:34,CUST0344,STR062,빅맥세트,6200,3,16.0,카드,N,5.0,배달완료
ORD01232,2024-04-18 11:32:57,CUST0367,STR095,보쌈,21400,1,29.0,간편결제,N,3.0,배달완료
ORD01233,2024-04-01 19:18:53,CUST0336,STR043,치킨버거,12000,1,25.0,현금,N,5.0,배달완료
ORD01234,2024-01-27 23:53:46,CUST0273,STR097,오뎅,4900,1,15.0,카드,Y,4.0,배달완료
ORD01235,2024-04-11 16:07:53,CUST0005,STR085,족발,"20,000",3,40.0,카드,N,4.0,배달완료
ORD01236,2024-08-07 17:46:54,CUST0238,STR056,하와이안피자,33500,1,37.0,카드,Y,,배달완료
ORD01237,2024-05-27 18:48:31,CUST0261,STR075,볶음밥,15800,1,27.0,카드,N,5.0,배달완료
ORD01238,2024-01-12 18:03:56,CUST0184,STR014,탕수육,6400,2,51.0,간편결제,Y,3.0,배달완료
ORD01239,2024-01-08 17:45:21,CUST0133,STR022,돈카츠,17300,1,20.0,간편결제,Y,4.0,배달완료
ORD01240,2024-08-08 13:03:18,CUST0011,STR028,치킨버거,5800,1,22.0,간편결제,N,4.0,배달완료
ORD01241,2024-04-30 21:13:35,CUST0110,STR032,고구마피자,25700,1,24.0,간편결제,N,,배달완료
ORD01242,2024-03-31 11:31:40,CUST0482,STR011,크로플,13500,1,41.0,카드,N,3.0,배달완료
ORD01243,2024-09-30 10:50:57,CUST0337,STR005,라볶이,3200,1,18.0,간편결제,N,,배달중
ORD01244,2024-12-22 19:34:11,CUST0094,STR016,설렁탕,11600,1,38.0,카드,N,,배달완료
ORD01245,2024-12-02 22:54:58,CUST0270,STR012,빅맥세트,5700,1,57.0,카드,N,3.0,배달완료
ORD01246,2024-03-09 20:36:17,CUST0291,STR001,빅맥세트,8000,1,16.0,카드,N,5.0,배달완료
ORD01247,2024-01-22 13:11:41,CUST0197,STR100,하와이안피자,17500,3,42.0,현금,N,5.0,배달완료
ORD01248,2024-08-25 21:14:16,CUST0341,STR081,족발,17900,1,19.0,카드,N,,배달중
ORD01249,2024-07-16 23:10:23,CUST0472,STR030,설렁탕,12000,2,58.0,카드,Y,3.0,배달완료
ORD01250,2024-01-06 22:16:22,CUST0273,STR051,치즈피자,16700,1,24.0,카드,Y,5.0,배달완료
ORD01251,2024-08-14 14:28:06,CUST0466,STR095,족발,28200,1,57.0,카드,N,5.0,배달완료
ORD01252,2024-12-05 13:09:48,CUST0063,STR098,시저샐러드,15800,2,55.0,간편결제,Y,4.0,배달완료
ORD01253,2024-09-19 20:34:01,CUST0494,STR020,양념치킨,24500,1,47.0,카드,N,,취소
ORD01254,2024-12-19 22:54:48,CUST0136,STR049,와퍼세트,6600,2,55.0,카드,N,2.0,배달완료
ORD01255,2024-11-02 19:34:08,CUST0483,STR066,오뎅,10600,1,22.0,간편결제,N,,배달완료
ORD01256,2024-04-02 13:04:18,CUST0139,STR096,짜장면,14600,1,22.0,카드,Y,4.0,배달완료
ORD01257,2024-02-21 12:35:26,CUST0468,STR100,콤비네이션피자,20300,1,24.0,카드,Y,4.0,배달완료
ORD01258,2024-08-01 22:12:05,CUST0319,STR012,너겟세트,9300,1,39.0,카드,N,5.0,배달완료
ORD01259,2024-05-26 23:52:38,CUST0498,STR046,연어샐러드,13200,1,52.0,간편결제,N,,배달완료
ORD01260,2024-03-18 19:10:28,CUST0059,STR005,라볶이,5600,1,34.0,현금,N,5.0,배달완료
ORD01261,2024-04-14 17:23:59,CUST0434,STR007,라볶이,11800,1,57.0,카드,N,4.0,배달완료
ORD01262,2024-02-18 19:14:36,CUST0284,STR048,초밥세트,17800,2,36.0,카드,Y,,취소
ORD01263,2024-11-24 09:06:07,CUST0274,STR060,페퍼로니피자,34400,1,27.0,카드,N,,배달완료
ORD01264,2024-04-14 17:57:51,CUST0025,STR085,보쌈,28600,1,38.0,간편결제,Y,,취소
ORD01265,2024-08-25 22:53:53,CUST0387,STR051,불고기피자,32600,1,35.0,카드,Y,4.0,배달완료
ORD01266,2024-08-24 12:39:33,CUST0392,STR082,순살치킨,22800,1,39.0,간편결제,N,5.0,배달완료
ORD01267,2024-04-18 19:13:29,CUST0119,STR023,초밥세트,15700,1,23.0,간편결제,Y,3.0,배달완료
ORD01268,2024-07-29 11:13:49,CUST0386,STR036,페퍼로니피자,16600,1,35.0,간편결제,N,,배달완료
ORD01269,2024-11-22 19:21:03,CUST0041,STR096,탕수육,8800,1,57.0,카드,Y,5.0,배달완료
ORD01270,2024-06-24 13:01:57,CUST0492,STR009,간장치킨,24000,2,28.0,카드,Y,3.0,배달완료
ORD01271,2024-12-04 18:51:40,CUST0285,STR074,제육볶음,14200,1,43.0,간편결제,N,4.0,배달완료
ORD01272,2024-10-21 13:48:43,CUST0082,STR088,불고기피자,22500,2,38.0,카드,N,5.0,배달완료
ORD01273,2024-06-23 19:31:08,CUST0272,STR075,볶음밥,7000,1,52.0,카드,N,4.0,배달완료
ORD01274,2024-01-05 18:48:17,CUST0112,STR054,마늘치킨,22400,1,41.0,간편결제,N,,배달완료
ORD01275,2024-05-29 11:05:14,CUST0109,STR055,아메리카노,6200,1,24.0,간편결제,N,,배달완료
ORD01276,2024-02-29 15:57:14,CUST0121,STR035,연어샐러드,8300,2,44.0,현금,Y,,취소
ORD01277,2024-11-19 11:46:02,CUST0380,STR063,튀김,5600,1,17.0,간편결제,Y,4.0,배달완료
ORD01278,2024-06-13 18:41:28,CUST0020,STR028,치킨버거,5900,1,59.0,현금,Y,3.0,배달완료
ORD01279,2024-09-25 12:42:14,CUST0398,STR071,와퍼세트,5700,1,26.0,카드,Y,1.0,배달완료
ORD01280,2024-09-19 18:35:22,CUST0246,STR003,초밥세트,13600,1,27.0,간편결제,N,4.0,배달완료
ORD01281,2024-09-11 22:16:27,CUST0218,STR061,초밥세트,23800,2,20.0,간편결제,Y,5.0,배달완료
ORD01282,2024-12-29 12:03:21,CUST0359,STR038,우동,16100,2,23.0,카드,N,,취소
ORD01283,2024-09-07 23:29:11,CUST0429,STR096,짜장면,17700,1,35.0,카드,N,5.0,배달완료
ORD01284,2024-10-30 12:27:25,CUST0215,STR067,와퍼세트,9200,2,24.0,카드,Y,5.0,배달완료
ORD01285,2024-01-30 19:27:21,CUST0128,STR019,크로플,13700,2,27.0,간편결제,N,5.0,배달완료
ORD01286,2024-06-20 13:16:51,CUST0480,STR008,치킨텐더,23400,1,15.0,간편결제,N,,배달완료
ORD01287,2024-06-27 18:26:40,CUST0181,STR066,김밥,11600,1,24.0,간편결제,N,5.0,배달완료
ORD01288,2024-07-10 18:47:09,CUST0047,STR009,후라이드치킨,22200,1,15.0,카드,Y,,배달중
ORD01289,2024-03-03 09:13:10,CUST0268,STR022,우동,8400,1,54.0,카드,N,3.0,배달완료
ORD01290,2024-07-19 19:04:22,CUST0359,STR018,간장치킨,19700,1,46.0,간편결제,N,3.0,배달완료
ORD01291,2024-10-17 14:13:43,CUST0132,STR096,깐풍기,7300,3,47.0,카드,Y,3.0,배달완료
ORD01292,2024-08-09 11:05:49,CUST0234,STR090,포케보울,12100,1,22.0,간편결제,N,4.0,배달완료
ORD01293,2024-11-29 18:22:53,CUST0047,STR091,간장치킨,21300,1,26.0,간편결제,N,,배달완료
ORD01294,2024-11-26 20:12:43,CUST0045,STR100,치즈피자,25900,1,41.0,간편결제,N,,배달중
ORD01295,2024-02-21 22:42:10,CUST0029,STR056,치즈피자,32200,1,41.0,카드,N,,배달완료
ORD01296,2024-08-05 11:09:04,CUST0115,STR050,짬뽕,14900,2,23.0,카드,N,2.0,배달완료
ORD01297,2024-07-30 09:02:54,CUST0464,STR019,빙수,5900,1,21.0,간편결제,Y,3.0,배달완료
ORD01298,2024-01-11 17:57:12,CUST0058,STR014,탕수육,6900,1,55.0,간편결제,Y,,배달완료
ORD01299,2024-04-26 12:17:11,CUST0113,STR028,불고기버거,7300,1,58.0,카드,N,,배달완료
ORD01300,2024-01-29 22:51:12,CUST0471,STR008,반반치킨,21800,1,59.0,카드,N,,배달완료
ORD01301,2024-10-10 23:52:00,CUST0093,STR040,빙수,8900,1,38.0,간편결제,N,4.0,배달완료
ORD01302,2024-08-20 13:22:31,CUST0095,STR055,아메리카노,3600,2,29.0,카드,Y,,취소
ORD01303,2024-01-12 13:47:30,CUST0488,STR088,치즈피자,25900,1,54.0,간편결제,N,,취소
ORD01304,2024-11-12 13:43:19,CUST0482,STR080,곱창,18900,3,35.0,카드,N,2.0,배달완료
ORD01305,2024-10-01 12:21:19,CUST0172,STR096,짬뽕,9100,1,34.0,간편결제,N,,배달완료
ORD01306,2024-05-15 20:10:17,CUST0186,STR048,우동,17700,2,47.0,카드,Y,,배달중
ORD01307,2024-03-24 12:46:04,CUST0470,STR099,우동,17400,1,16.0,간편결제,N,,배달완료
ORD01308,2024-11-09 16:36:40,CUST0225,STR067,감자튀김,11000,1,42.0,카드,N,3.0,배달완료
ORD01309,2024-10-28 20:49:07,CUST0162,STR081,보쌈,34400,3,55.0,간편결제,N,4.0,배달완료
ORD01310,2024-08-17 17:36:13,CUST0154,STR093,마파두부,12800,1,34.0,간편결제,Y,4.0,배달완료
ORD01311,2024-01-11 18:22:24,CUST0031,STR092,페퍼로니피자,28900,1,41.0,카드,N,5.0,배달완료
ORD01312,2024-12-16 20:06:25,CUST0268,STR044,튀김,4500,1,20.0,간편결제,N,4.0,배달완료
ORD01313,2024-10-04 21:58:22,CUST0373,STR004,보쌈,30500,1,43.0,간편결제,N,4.0,배달완료
ORD01314,2024-06-28 11:36:20,CUST0442,STR009,간장치킨,21100,1,31.0,카드,N,,배달완료
ORD01315,2024-11-27 12:16:29,CUST0373,STR001,와퍼세트,11800,1,23.0,간편결제,N,,취소
ORD01316,2024-01-23 12:14:53,CUST0475,STR025,깐풍기,17700,1,29.0,간편결제,N,,배달완료
ORD01317,2024-11-15 19:59:59,CUST0413,STR059,하와이안피자,26200,2,21.0,간편결제,Y,,배달중
ORD01318,2024-04-08 20:02:19,CUST0054,STR034,마파두부,8600,1,53.0,간편결제,Y,5.0,배달완료
ORD01319,2024-06-19 19:09:02,CUST0406,STR069,불고기,11100,1,16.0,카드,N,3.0,배달완료
ORD01320,2024-11-02 18:38:16,CUST0034,STR090,그릭샐러드,13800,2,22.0,카드,N,,취소
ORD01321,2024-10-02 17:19:37,CUST0164,STR008,치킨텐더,24300,1,28.0,간편결제,N,4.0,배달완료
ORD01322,2024-08-16 17:27:02,CUST0384,STR015,튀김,9600,0,39.0,카드,N,5.0,배달완료
ORD01323,2024-11-02 11:26:19,CUST0322,STR037,갈비탕,13900,1,17.0,현금,N,,배달완료
ORD01324,2024-05-02 11:54:43,CUST0244,STR011,아메리카노,4700,1,22.0,간편결제,Y,5.0,배달완료
ORD01325,2024-03-18 11:53:47,CUST0478,STR044,오뎅,10500,2,31.0,현금,N,,배달완료
ORD01326,2024-08-06 21:42:04,CUST0021,STR046,포케보울,15500,1,29.0,카드,N,,취소
ORD01327,2024-05-19 16:17:11,CUST0327,STR009,반반치킨,21800,2,58.0,카드,N,,배달중
ORD01328,2024-02-28 13:35:23,CUST0408,STR084,시저샐러드,9100,1,31.0,카드,Y,3.0,배달완료
ORD01329,2024-09-26 12:24:48,CUST0100,STR038,초밥세트,21600,2,37.0,카드,N,5.0,배달완료
ORD01330,2024-11-03 21:28:29,CUST0012,STR037,김치찌개,8500,1,23.0,간편결제,N,5.0,배달완료
ORD01331,2024-01-07 12:08:51,CUST0483,STR078,콤비네이션피자,31300,1,19.0,카드,Y,4.0,배달완료
ORD01332,2024-03-03 19:41:15,CUST0088,STR094,곱창,33000,1,20.0,카드,N,4.0,배달완료
ORD01333,2024-03-29 23:21:50,CUST0296,STR010,치킨텐더,18200,1,15.0,간편결제,N,,배달완료
ORD01334,2024-01-14 11:30:45,CUST0440,STR055,빙수,9300,1,20.0,간편결제,N,,배달완료
ORD01335,2024-07-24 22:28:33,CUST0276,STR052,콤비네이션피자,15500,1,21.0,간편결제,N,,배달완료
ORD01336,2024-05-16 21:15:14,CUST0106,STR006,설렁탕,12100,1,43.0,간편결제,Y,2.0,배달완료
ORD01337,2024-01-04 15:54:38,CUST0147,STR057,양념치킨,22200,99,28.0,간편결제,N,5.0,배달완료
ORD01338,2024-08-26 12:20:14,CUST0026,STR057,반반치킨,21000,1,36.0,카드,N,4.0,배달완료
ORD01339,2024-03-11 16:50:29,CUST0229,STR009,순살치킨,24800,2,15.0,간편결제,N,5.0,배달완료
ORD01340,2024-12-02 22:36:02,CUST0066,STR055,크로플,9600,1,45.0,간편결제,Y,1.0,배달완료
ORD01341,2024-05-13 20:34:27,CUST0324,STR077,볶음밥,16300,2,53.0,현금,N,5.0,배달완료
ORD01342,2024-01-15 12:49:21,CUST0216,STR066,튀김,7500,1,38.0,카드,N,,배달완료
ORD01343,2024-11-26 18:13:11,CUST0314,STR093,짜장면,9000,1,36.0,간편결제,Y,,배달중
ORD01344,2024-08-14 09:43:44,CUST0329,STR055,케이크,8000,1,54.0,카드,N,4.0,배달완료
ORD01345,2024-10-30 13:08:35,CUST0214,STR012,치킨버거,6000,1,46.0,카드,N,4.0,배달완료
ORD01346,2024-12-21 11:28:47,CUST0097,STR084,연어샐러드,15600,2,53.0,카드,N,4.0,배달완료
ORD01347,2024-10-08 20:32:28,CUST0202,STR003,우동,18500,1,52.0,카드,N,3.0,배달완료
ORD01348,2024-07-09 18:56:51,CUST0381,STR042,시저샐러드,12400,1,59.0,카드,N,,배달완료
ORD01349,2024-08-29 17:54:30,CUST0318,STR032,불고기피자,31800,1,17.0,카드,N,5.0,배달완료
ORD01350,2024-09-06 15:22:25,CUST0255,STR046,닭가슴살샐러드,9100,1,41.0,카드,N,3.0,배달완료
ORD01351,2024-05-26 09:15:10,CUST0379,STR065,튀김,5400,1,57.0,현금,N,,배달완료
ORD01352,2024-04-24 13:24:57,CUST0441,STR078,콤비네이션피자,32200,1,55.0,간편결제,N,4.0,배달완료
ORD01353,2024-08-11 22:35:00,CUST0026,STR032,하와이안피자,24700,1,18.0,간편결제,N,,배달완료
ORD01354,2024-01-24 21:38:35,CUST0399,STR008,간장치킨,21100,2,54.0,간편결제,Y,3.0,배달완료
ORD01355,2024-11-03 13:02:26,CUST0419,STR075,마파두부,16300,1,39.0,카드,N,,배달완료
ORD01356,2024-10-15 20:07:35,CUST0002,STR077,마파두부,16900,1,33.0,카드,N,,배달중
ORD01357,2024-09-29 17:42:27,CUST0066,STR089,감자튀김,6000,1,19.0,현금,Y,3.0,배달완료
ORD01358,2024-01-26 11:59:35,CUST0217,STR002,닭가슴살샐러드,11400,1,31.0,간편결제,N,,취소
ORD01359,2024-03-09 21:09:50,CUST0049,STR005,오뎅,11100,1,22.0,카드,N,5.0,배달완료
ORD01360,2024-10-21 11:42:15,CUST0117,STR010,마늘치킨,22400,2,49.0,현금,Y,,취소
ORD01361,2024-10-24 10:21:35,CUST0202,STR051,고구마피자,19600,1,26.0,카드,Y,2.0,배달완료
