캠페인ID,고객ID,발송일,오픈여부,클릭여부,전환여부,전환금액
CAM003,CU00777,2023-09-23,N,N,N,
CAM005,CU00496,2024-03-19,Y,Y,N,
CAM002,CU00172,2023-03-24,Y,N,N,
CAM005,CU00731,2024-03-05,Y,N,N,
CAM004,CU00214,2023-12-18,N,N,N,
CAM004,CU00389,2023-12-19,Y,N,N,
CAM001,CU00260,2023-06-03,Y,N,N,
CAM002,CU00064,2023-03-08,Y,Y,N,
CAM004,CU00791,2023-12-28,N,N,N,
CAM007,CU00129,2023-05-22,N,N,N,
CAM001,CU00153,2023-06-17,N,N,N,
CAM002,CU00402,2023-03-27,Y,N,N,
CAM001,CU00475,2023-06-21,Y,N,N,
CAM004,CU00073,2023-12-02,Y,N,N,
CAM004,CU00023,2023-12-08,N,N,N,
CAM010,CU00158,2023-12-26,Y,N,N,
CAM003,CU00414,2023-09-23,N,N,N,
CAM004,CU00526,2023-12-27,N,N,N,
CAM006,CU00028,2023-08-13,Y,N,N,
CAM003,CU00624,2023-09-25,Y,Y,Y,26000.0
CAM003,CU00593,2023-09-17,Y,N,N,
CAM007,CU00548,2023-05-17,Y,N,N,
CAM008,CU00742,2023-10-14,Y,N,N,
CAM001,CU00735,2023-06-06,Y,N,N,
CAM002,CU00139,2023-03-02,Y,N,N,
CAM003,CU00700,2023-10-01,N,N,N,
CAM008,CU00592,2023-10-03,N,N,N,
CAM001,CU00249,2023-06-01,N,N,N,
CAM005,CU00145,2024-03-21,Y,N,N,
CAM005,CU00072,2024-03-09,Y,N,N,
CAM007,CU00558,2023-05-13,N,N,N,
CAM010,CU00373,2024-01-03,Y,Y,N,
CAM008,CU00060,2023-10-19,N,N,N,
CAM008,CU00617,2023-10-25,N,N,N,
CAM003,CU00188,2023-09-23,N,N,N,
CAM010,CU00547,2024-01-03,N,N,N,
CAM005,CU00760,2024-03-27,N,N,N,
CAM007,CU00044,2023-05-06,Y,N,N,
CAM003,CU00532,2023-09-20,Y,N,N,
CAM001,CU00501,2023-06-02,Y,Y,Y,30600.0
CAM009,CU00376,2023-11-22,Y,N,N,
CAM005,CU00369,2024-03-24,Y,N,N,
CAM002,CU00674,2023-03-13,Y,N,N,
CAM004,CU00053,2023-12-24,N,N,N,
CAM009,CU00056,2023-11-21,Y,N,N,
CAM005,CU00403,2024-03-02,Y,N,N,
CAM009,CU00559,2023-11-28,N,N,N,
CAM007,CU00498,2023-05-25,N,N,N,
CAM002,CU00684,2023-03-10,Y,Y,N,
CAM001,CU00660,2023-06-01,N,N,N,
CAM001,CU00397,2023-06-22,N,N,N,
CAM001,CU00799,2023-06-22,N,N,N,
CAM004,CU00524,2023-12-11,Y,Y,N,
CAM009,CU00483,2023-11-23,Y,N,N,
CAM009,CU00620,2023-11-22,N,N,N,
CAM005,CU00487,2024-03-13,Y,N,N,
CAM005,CU00021,2024-03-13,Y,Y,Y,29300.0
CAM003,CU00246,2023-09-27,Y,N,N,
CAM002,CU00643,2023-03-17,N,N,N,
CAM002,CU00068,2023-03-01,Y,N,N,
CAM009,CU00201,2023-11-26,N,N,N,
CAM008,CU00205,2023-10-29,N,N,N,
CAM003,CU00344,2023-09-26,Y,N,N,
CAM003,CU00069,2023-09-26,N,N,N,
CAM004,CU00538,2023-12-12,N,N,N,
CAM007,CU00722,2023-05-23,N,N,N,
CAM004,CU00077,2023-12-24,N,N,N,
CAM004,CU00718,2023-12-17,N,N,N,
CAM010,CU00176,2023-12-20,N,N,N,
CAM004,CU00476,2023-12-07,Y,N,N,
CAM009,CU00321,2023-11-26,Y,N,N,
CAM009,CU00021,2023-11-22,N,N,N,
CAM009,CU00249,2023-11-26,Y,N,N,
CAM002,CU00432,2023-03-10,N,N,N,
CAM007,CU00538,2023-05-30,N,N,N,
CAM005,CU00233,2024-03-12,N,N,N,
CAM004,CU00474,2023-12-28,Y,N,N,
CAM003,CU00472,2023-09-19,N,N,N,
CAM002,CU00381,2023-03-15,N,N,N,
CAM009,CU00212,2023-11-23,Y,N,N,
CAM004,CU00571,2023-12-20,N,N,N,
CAM005,CU00668,2024-03-16,N,N,N,
CAM001,CU00509,2023-06-08,N,N,N,
CAM004,CU00630,2023-12-09,N,N,N,
CAM010,CU00543,2023-12-22,N,N,N,
CAM009,CU00605,2023-11-24,N,N,N,
CAM001,CU00169,2023-06-06,Y,N,N,
CAM006,CU00707,2023-07-20,N,N,N,
CAM002,CU00337,2023-03-03,N,N,N,
CAM001,CU00496,2023-06-20,Y,N,N,
CAM002,CU00625,2023-03-08,Y,Y,N,
CAM002,CU00798,2023-03-06,Y,Y,N,
CAM003,CU00763,2023-09-18,Y,N,N,
CAM009,CU00460,2023-11-24,N,N,N,
CAM003,CU00214,2023-09-30,N,N,N,
CAM009,CU00378,2023-11-21,N,N,N,
CAM005,CU00614,2024-03-06,Y,N,N,
CAM004,CU00120,2023-12-08,N,N,N,
CAM007,CU00346,2023-05-27,N,N,N,
CAM005,CU00209,2024-03-24,N,N,N,
CAM008,CU00113,2023-10-13,N,N,N,
CAM004,CU00615,2023-12-15,N,N,N,
CAM004,CU00322,2023-12-12,N,N,N,
CAM002,CU00218,2023-03-25,Y,N,N,
CAM007,CU00064,2023-05-12,N,N,N,
CAM002,CU00378,2023-03-23,N,N,N,
CAM007,CU00397,2023-05-17,Y,Y,N,
CAM008,CU00470,2023-10-14,N,N,N,
CAM003,CU00719,2023-09-18,N,N,N,
CAM005,CU00164,2024-03-29,N,N,N,
CAM010,CU00626,2023-12-20,N,N,N,
CAM010,CU00198,2023-12-24,N,N,N,
CAM007,CU00179,2023-05-06,Y,Y,N,
CAM006,CU00728,2023-07-20,Y,N,N,
CAM010,CU00684,2023-12-23,Y,N,N,
CAM008,CU00345,2023-10-05,N,N,N,
CAM010,CU00487,2023-12-21,N,N,N,
CAM010,CU00347,2023-12-27,Y,N,N,
CAM007,CU00714,2023-05-17,Y,N,N,
CAM007,CU00523,2023-05-18,N,N,N,
CAM006,CU00519,2023-08-01,Y,N,N,
CAM003,CU00544,2023-10-01,Y,N,N,
CAM009,CU00307,2023-11-27,N,N,N,
CAM002,CU00799,2023-03-18,N,N,N,
CAM009,CU00259,2023-11-29,N,N,N,
CAM004,CU00051,2023-12-16,N,N,N,
CAM009,CU00290,2023-11-26,N,N,N,
CAM004,CU00078,2023-12-08,Y,Y,N,
CAM009,CU00537,2023-11-24,N,N,N,
CAM010,CU00070,2023-12-20,N,N,N,
CAM005,CU00360,2024-03-18,Y,N,N,
CAM005,CU00280,2024-03-20,Y,N,N,
CAM004,CU00177,2023-12-16,N,N,N,
CAM004,CU00663,2023-12-03,N,N,N,
CAM009,CU00315,2023-11-23,N,N,N,
CAM008,CU00175,2023-10-01,Y,Y,Y,29100.0
CAM005,CU00553,2024-03-25,N,N,N,
CAM004,CU00609,2023-12-24,Y,N,N,
CAM008,CU00525,2023-10-23,N,N,N,
CAM010,CU00490,2023-12-26,N,N,N,
CAM009,CU00117,2023-11-24,N,N,N,
CAM010,CU00410,2023-12-27,N,N,N,
CAM009,CU00436,2023-11-28,N,N,N,
CAM005,CU00686,2024-03-26,N,N,N,
CAM009,CU00119,2023-11-23,N,N,N,
CAM005,CU00609,2024-03-29,Y,N,N,
CAM010,CU00358,2024-01-02,Y,N,N,
CAM009,CU00469,2023-11-25,N,N,N,
CAM004,CU00721,2023-12-30,N,N,N,
CAM005,CU00307,2024-03-30,N,N,N,
CAM005,CU00429,2024-03-08,Y,N,N,
CAM002,CU00092,2023-03-23,Y,Y,N,
CAM009,CU00798,2023-11-24,N,N,N,
CAM007,CU00074,2023-05-28,Y,N,N,
CAM007,CU00025,2023-05-09,N,N,N,
CAM003,CU00104,2023-10-02,Y,Y,N,
CAM009,CU00133,2023-11-20,N,N,N,
CAM002,CU00142,2023-03-25,Y,N,N,
CAM008,CU00095,2023-10-10,N,N,N,
CAM005,CU00024,2024-03-13,N,N,N,
CAM008,CU00005,2023-10-04,N,N,N,
CAM009,CU00468,2023-11-23,Y,N,N,
CAM001,CU00423,2023-06-16,Y,Y,N,
CAM005,CU00266,2024-03-29,N,N,N,
CAM009,CU00396,2023-11-29,N,N,N,
CAM003,CU00563,2023-09-30,Y,Y,N,
CAM003,CU00421,2023-09-26,N,N,N,
CAM006,CU00240,2023-08-12,Y,Y,Y,48500.0
CAM008,CU00572,2023-10-18,N,N,N,
CAM005,CU00427,2024-03-25,N,N,N,
CAM001,CU00464,2023-06-21,N,N,N,
CAM007,CU00485,2023-05-08,N,N,N,
CAM006,CU00483,2023-08-08,Y,N,N,
CAM004,CU00714,2023-12-16,Y,N,N,
CAM001,CU00235,2023-06-17,Y,N,N,
CAM003,CU00650,2023-09-30,Y,N,N,
CAM008,CU00162,2023-10-26,Y,Y,N,
CAM002,CU00281,2023-03-23,Y,N,N,
CAM007,CU00336,2023-05-06,Y,N,N,
CAM002,CU00480,2023-03-16,N,N,N,
CAM009,CU00141,2023-11-21,Y,N,N,
CAM006,CU00212,2023-07-15,N,N,N,
CAM005,CU00753,2024-03-04,N,N,N,
CAM004,CU00202,2023-12-10,N,N,N,
CAM002,CU00242,2023-03-24,Y,N,N,
CAM007,CU00752,2023-05-14,N,N,N,
CAM004,CU00729,2023-12-05,N,N,N,
CAM008,CU00649,2023-10-22,N,N,N,
CAM005,CU00420,2024-03-30,Y,N,N,
CAM009,CU00485,2023-11-23,Y,Y,N,
CAM003,CU00658,2023-09-16,Y,Y,N,
CAM010,CU00639,2023-12-30,N,N,N,
CAM010,CU00186,2023-12-25,N,N,N,
CAM008,CU00562,2023-10-28,N,N,N,
CAM002,CU00364,2023-03-16,N,N,N,
CAM004,CU00112,2023-12-06,N,N,N,
CAM002,CU00002,2023-03-19,N,N,N,
CAM002,CU00349,2023-03-24,N,N,N,
CAM009,CU00079,2023-11-21,Y,Y,N,
CAM007,CU00188,2023-05-02,N,N,N,
CAM010,CU00252,2023-12-23,Y,N,N,
CAM010,CU00735,2023-12-20,N,N,N,
CAM003,CU00363,2023-10-02,Y,N,N,
CAM009,CU00575,2023-11-23,N,N,N,
CAM001,CU00387,2023-06-11,N,N,N,
CAM007,CU00362,2023-05-22,N,N,N,
CAM009,CU00241,2023-11-27,Y,N,N,
CAM006,CU00529,2023-07-19,Y,N,N,
CAM001,CU00132,2023-06-11,Y,N,N,
CAM009,CU00771,2023-11-21,Y,N,N,
CAM006,CU00245,2023-08-14,N,N,N,
CAM003,CU00444,2023-09-30,N,N,N,
CAM007,CU00032,2023-05-05,N,N,N,
CAM009,CU00336,2023-11-21,N,N,N,
CAM007,CU00751,2023-05-27,N,N,N,
CAM004,CU00569,2023-12-04,N,N,N,
CAM001,CU00667,2023-06-03,Y,Y,N,
CAM010,CU00696,2023-12-29,Y,Y,N,
CAM003,CU00715,2023-09-28,Y,N,N,
CAM001,CU00373,2023-06-16,Y,N,N,
CAM005,CU00492,2024-03-04,Y,N,N,
CAM007,CU00008,2023-05-24,Y,Y,Y,19900.0
CAM010,CU00602,2023-12-24,N,N,N,
CAM007,CU00617,2023-05-19,N,N,N,
CAM001,CU00328,2023-06-14,N,N,N,
CAM010,CU00102,2023-12-29,N,N,N,
CAM005,CU00558,2024-03-26,N,N,N,
CAM008,CU00780,2023-10-08,N,N,N,
CAM004,CU00666,2023-12-21,Y,N,N,
CAM005,CU00012,2024-03-11,N,N,N,
CAM004,CU00274,2023-12-09,N,N,N,
CAM009,CU00166,2023-11-28,N,N,N,
CAM002,CU00595,2023-03-05,N,N,N,
CAM009,CU00199,2023-11-24,N,N,N,
CAM009,CU00458,2023-11-24,N,N,N,
CAM006,CU00026,2023-08-08,N,N,N,
CAM003,CU00006,2023-09-18,Y,N,N,
CAM010,CU00029,2024-01-01,Y,N,N,
CAM006,CU00066,2023-08-10,N,N,N,
CAM009,CU00172,2023-11-28,N,N,N,
CAM008,CU00028,2023-10-23,Y,N,N,
CAM008,CU00359,2023-10-11,N,N,N,
CAM010,CU00230,2023-12-28,N,N,N,
CAM009,CU00786,2023-11-26,Y,N,N,
CAM003,CU00420,2023-09-28,Y,Y,N,
CAM004,CU00525,2023-12-05,Y,Y,N,
CAM001,CU00192,2023-06-04,Y,N,N,
CAM002,CU00702,2023-03-29,N,N,N,
CAM001,CU00093,2023-06-13,N,N,N,
CAM007,CU00553,2023-05-29,Y,Y,N,
CAM002,CU00767,2023-03-23,N,N,N,
CAM008,CU00100,2023-10-06,N,N,N,
CAM007,CU00423,2023-05-08,N,N,N,
CAM008,CU00326,2023-10-03,N,N,N,
CAM005,CU00372,2024-03-15,N,N,N,
CAM007,CU00742,2023-05-23,N,N,N,
CAM003,CU00320,2023-09-28,Y,N,N,
CAM002,CU00023,2023-03-05,N,N,N,
CAM010,CU00006,2024-01-03,N,N,N,
CAM007,CU00595,2023-05-14,Y,N,N,
CAM002,CU00405,2023-03-02,Y,Y,N,
CAM004,CU00098,2023-12-18,Y,N,N,
CAM009,CU00695,2023-11-23,N,N,N,
CAM004,CU00332,2023-12-24,N,N,N,
CAM007,CU00248,2023-05-20,Y,N,N,
CAM002,CU00575,2023-03-05,N,N,N,
CAM010,CU00281,2024-01-01,Y,N,N,
CAM009,CU00604,2023-11-23,N,N,N,
CAM002,CU00795,2023-03-01,N,N,N,
CAM002,CU00697,2023-03-09,Y,N,N,
CAM005,CU00152,2024-03-25,Y,N,N,
CAM002,CU00509,2023-03-24,N,N,N,
CAM002,CU00222,2023-03-16,N,N,N,
CAM010,CU00369,2023-12-28,Y,N,N,
CAM001,CU00543,2023-06-04,Y,Y,N,
CAM006,CU00093,2023-08-13,N,N,N,
CAM009,CU00044,2023-11-20,N,N,N,
CAM002,CU00174,2023-03-21,Y,N,N,
CAM009,CU00530,2023-11-28,N,N,N,
CAM010,CU00634,2024-01-04,N,N,N,
CAM010,CU00545,2023-12-24,N,N,N,
CAM004,CU00420,2023-12-10,N,N,N,
CAM007,CU00202,2023-05-13,N,N,N,
CAM009,CU00544,2023-11-20,N,N,N,
CAM004,CU00664,2023-12-02,N,N,N,
CAM009,CU00715,2023-11-25,Y,N,N,
CAM008,CU00438,2023-10-26,Y,Y,N,
CAM004,CU00636,2023-12-13,Y,N,N,
CAM005,CU00096,2024-03-01,N,N,N,
CAM006,CU00626,2023-07-31,N,N,N,
CAM010,CU00478,2023-12-21,N,N,N,
CAM007,CU00487,2023-05-02,Y,Y,N,
CAM003,CU00079,2023-09-16,N,N,N,
CAM009,CU00518,2023-11-25,N,N,N,
CAM003,CU00518,2023-09-29,Y,N,N,
CAM007,CU00230,2023-05-12,N,N,N,
CAM004,CU00678,2023-12-13,Y,N,N,
CAM007,CU00713,2023-05-22,Y,N,N,
CAM002,CU00527,2023-03-04,N,N,N,
CAM007,CU00586,2023-05-02,Y,N,N,
CAM010,CU00025,2024-01-02,N,N,N,
CAM010,CU00628,2024-01-01,Y,N,N,
CAM007,CU00009,2023-05-27,N,N,N,
CAM001,CU00635,2023-06-02,Y,N,N,
CAM003,CU00500,2023-09-17,N,N,N,
CAM010,CU00528,2023-12-31,N,N,N,
CAM010,CU00768,2023-12-28,Y,N,N,
CAM008,CU00763,2023-10-06,N,N,N,
CAM007,CU00119,2023-05-01,Y,N,N,
CAM004,CU00043,2023-12-06,N,N,N,
CAM001,CU00294,2023-06-25,N,N,N,
CAM010,CU00647,2024-01-01,Y,Y,N,
CAM007,CU00619,2023-05-05,Y,N,N,
CAM007,CU00052,2023-05-08,Y,N,N,
CAM010,CU00654,2023-12-21,N,N,N,
CAM003,CU00485,2023-09-15,Y,N,N,
CAM010,CU00385,2023-12-27,Y,Y,N,
CAM007,CU00251,2023-05-17,N,N,N,
CAM006,CU00415,2023-08-08,N,N,N,
CAM002,CU00120,2023-03-27,N,N,N,
CAM005,CU00507,2024-03-30,N,N,N,
CAM003,CU00374,2023-09-17,N,N,N,
CAM009,CU00659,2023-11-22,N,N,N,
CAM004,CU00090,2023-12-03,N,N,N,
CAM001,CU00022,2023-06-17,N,N,N,
CAM001,CU00354,2023-06-05,Y,N,N,
CAM009,CU00309,2023-11-21,Y,N,N,
CAM005,CU00363,2024-03-12,Y,Y,N,
CAM009,CU00761,2023-11-24,N,N,N,
CAM004,CU00228,2023-12-16,Y,N,N,
CAM007,CU00267,2023-05-28,Y,N,N,
CAM004,CU00717,2023-12-13,N,N,N,
CAM002,CU00061,2023-03-23,N,N,N,
CAM007,CU00642,2023-05-16,Y,Y,Y,13800.0
CAM002,CU00675,2023-03-15,Y,N,N,
CAM009,CU00082,2023-11-29,Y,Y,Y,36100.0
CAM001,CU00122,2023-06-13,N,N,N,
CAM002,CU00424,2023-03-20,Y,N,N,
CAM005,CU00540,2024-03-20,N,N,N,
CAM005,CU00221,2024-03-30,Y,Y,N,
CAM009,CU00403,2023-11-22,N,N,N,
CAM009,CU00561,2023-11-25,N,N,N,
CAM003,CU00203,2023-09-29,Y,Y,Y,34000.0
CAM005,CU00746,2024-03-29,Y,N,N,
CAM010,CU00671,2024-01-04,N,N,N,
CAM002,CU00366,2023-03-22,Y,N,N,
CAM009,CU00388,2023-11-24,N,N,N,
CAM007,CU00034,2023-05-04,Y,Y,N,
CAM003,CU00005,2023-09-22,N,N,N,
CAM005,CU00625,2024-03-18,N,N,N,
CAM002,CU00433,2023-03-01,N,N,N,
CAM005,CU00111,2024-03-27,Y,N,N,
CAM002,CU00689,2023-03-28,Y,N,N,
CAM006,CU00244,2023-07-22,N,N,N,
CAM010,CU00262,2023-12-23,Y,N,N,
CAM010,CU00028,2023-12-30,N,N,N,
CAM002,CU00327,2023-03-18,N,N,N,
CAM003,CU00200,2023-09-22,Y,N,N,
CAM002,CU00680,2023-03-26,N,N,N,
CAM009,CU00385,2023-11-20,Y,N,N,
CAM007,CU00252,2023-05-17,N,N,N,
CAM010,CU00656,2023-12-25,N,N,N,
CAM002,CU00762,2023-03-24,N,N,N,
CAM008,CU00435,2023-10-16,Y,N,N,
CAM002,CU00280,2023-03-14,Y,N,N,
CAM009,CU00248,2023-11-29,N,N,N,
CAM002,CU00147,2023-03-03,N,N,N,
CAM003,CU00737,2023-09-25,N,N,N,
CAM003,CU00281,2023-10-01,N,N,N,
CAM009,CU00077,2023-11-29,N,N,N,
CAM004,CU00180,2023-12-11,Y,Y,N,
CAM005,CU00358,2024-03-30,N,N,N,
CAM007,CU00313,2023-05-03,Y,N,N,
CAM008,CU00685,2023-10-14,Y,N,N,
CAM009,CU00030,2023-11-29,N,N,N,
CAM002,CU00341,2023-03-28,N,N,N,
CAM009,CU00131,2023-11-29,Y,Y,N,
CAM001,CU00319,2023-06-20,N,N,N,
CAM006,CU00596,2023-07-23,Y,N,N,
CAM002,CU00395,2023-03-12,Y,N,N,
CAM002,CU00109,2023-03-07,Y,N,N,
CAM005,CU00091,2024-03-28,N,N,N,
CAM003,CU00227,2023-09-25,Y,N,N,
CAM010,CU00571,2023-12-23,Y,N,N,
CAM004,CU00601,2023-12-17,Y,N,N,
CAM010,CU00148,2023-12-30,N,N,N,
CAM005,CU00797,2024-03-18,Y,N,N,
CAM002,CU00084,2023-03-27,N,N,N,
CAM007,CU00624,2023-05-27,N,N,N,
CAM001,CU00243,2023-06-29,Y,N,N,
CAM006,CU00219,2023-08-05,N,N,N,
CAM007,CU00763,2023-05-12,N,N,N,
CAM007,CU00600,2023-05-17,N,N,N,
CAM006,CU00108,2023-08-14,Y,N,N,
CAM005,CU00201,2024-03-21,N,N,N,
CAM007,CU00473,2023-05-15,N,N,N,
CAM008,CU00475,2023-10-14,N,N,N,
CAM010,CU00321,2023-12-26,N,N,N,
CAM002,CU00472,2023-03-04,Y,N,N,
CAM005,CU00669,2024-03-15,N,N,N,
CAM007,CU00707,2023-05-06,Y,Y,N,
CAM009,CU00170,2023-11-24,Y,N,N,
CAM001,CU00777,2023-06-22,N,N,N,
CAM006,CU00188,2023-07-24,N,N,N,
CAM005,CU00694,2024-03-16,Y,N,N,
CAM005,CU00598,2024-03-22,N,N,N,
CAM007,CU00065,2023-05-09,Y,N,N,
CAM003,CU00594,2023-10-04,N,N,N,
CAM002,CU00097,2023-03-25,Y,N,N,
CAM004,CU00346,2023-12-15,N,N,N,
CAM004,CU00299,2023-12-13,N,N,N,
CAM001,CU00669,2023-06-10,Y,Y,N,
CAM009,CU00633,2023-11-27,N,N,N,
CAM002,CU00711,2023-03-13,N,N,N,
CAM009,CU00473,2023-11-28,N,N,N,
CAM005,CU00770,2024-03-23,Y,N,N,
CAM009,CU00194,2023-11-29,N,N,N,
CAM004,CU00230,2023-12-01,N,N,N,
CAM001,CU00137,2023-06-16,N,N,N,
CAM008,CU00642,2023-10-18,N,N,N,
CAM002,CU00764,2023-03-22,Y,N,N,
CAM003,CU00035,2023-09-26,N,N,N,
CAM007,CU00241,2023-05-13,Y,N,N,
CAM004,CU00117,2023-12-15,Y,N,N,
CAM004,CU00518,2023-12-10,Y,N,N,
CAM009,CU00150,2023-11-24,Y,N,N,
CAM008,CU00730,2023-10-16,Y,N,N,
CAM007,CU00103,2023-05-20,N,N,N,
CAM004,CU00621,2023-12-03,Y,N,N,
CAM001,CU00623,2023-06-26,N,N,N,
CAM010,CU00320,2024-01-03,N,N,N,
CAM007,CU00306,2023-05-20,N,N,N,
CAM003,CU00223,2023-10-03,N,N,N,
CAM003,CU00632,2023-09-22,Y,N,N,
CAM008,CU00428,2023-10-26,N,N,N,
CAM007,CU00409,2023-05-27,N,N,N,
CAM010,CU00039,2023-12-25,Y,N,N,
CAM008,CU00606,2023-10-26,N,N,N,
CAM002,CU00491,2023-03-23,Y,N,N,
CAM005,CU00345,2024-03-08,Y,N,N,
CAM004,CU00596,2023-12-10,Y,Y,N,
CAM001,CU00774,2023-06-25,Y,Y,N,
CAM004,CU00551,2023-12-02,N,N,N,
CAM002,CU00335,2023-03-22,N,N,N,
CAM008,CU00158,2023-10-11,N,N,N,
CAM001,CU00391,2023-06-15,Y,N,N,
CAM007,CU00076,2023-05-27,N,N,N,
CAM009,CU00456,2023-11-27,Y,N,N,
CAM006,CU00776,2023-07-31,Y,N,N,
CAM008,CU00424,2023-10-09,Y,N,N,
CAM006,CU00400,2023-08-02,N,N,N,
CAM009,CU00326,2023-11-24,Y,N,N,
CAM004,CU00782,2023-12-07,N,N,N,
CAM006,CU00364,2023-07-27,Y,N,N,
CAM001,CU00675,2023-06-14,N,N,N,
CAM010,CU00569,2023-12-27,N,N,N,
CAM010,CU00060,2023-12-28,N,N,N,
CAM002,CU00548,2023-03-02,N,N,N,
CAM005,CU00483,2024-03-26,N,N,N,
CAM002,CU00481,2023-03-15,Y,N,N,
CAM009,CU00325,2023-11-23,N,N,N,
CAM004,CU00096,2023-12-15,N,N,N,
CAM003,CU00747,2023-09-20,N,N,N,
CAM006,CU00013,2023-08-07,Y,Y,N,
CAM009,CU00639,2023-11-25,Y,N,N,
CAM008,CU00053,2023-10-12,N,N,N,
CAM005,CU00385,2024-03-11,N,N,N,
CAM002,CU00254,2023-03-02,N,N,N,
CAM007,CU00077,2023-05-10,N,N,N,
CAM002,CU00794,2023-03-09,Y,N,N,
CAM007,CU00082,2023-05-22,N,N,N,
CAM010,CU00460,2024-01-04,Y,N,N,
CAM010,CU00591,2023-12-30,N,N,N,
CAM010,CU00032,2023-12-27,N,N,N,
CAM005,CU00569,2024-03-04,Y,N,N,
CAM008,CU00775,2023-10-22,N,N,N,
CAM006,CU00735,2023-07-18,Y,N,N,
CAM003,CU00456,2023-09-25,Y,Y,Y,40900.0
CAM002,CU00245,2023-03-15,Y,N,N,
CAM008,CU00467,2023-10-29,N,N,N,
CAM004,CU00689,2023-12-03,Y,N,N,
CAM008,CU00248,2023-10-17,Y,Y,N,
CAM001,CU00382,2023-06-14,Y,N,N,
CAM010,CU00692,2023-12-21,Y,Y,N,
CAM004,CU00352,2023-12-19,N,N,N,
CAM008,CU00300,2023-10-12,Y,N,N,
CAM002,CU00271,2023-03-23,Y,N,N,
CAM002,CU00566,2023-03-20,Y,N,N,
CAM002,CU00297,2023-03-03,Y,N,N,
CAM007,CU00208,2023-05-22,Y,N,N,
CAM010,CU00670,2023-12-27,N,N,N,
CAM009,CU00179,2023-11-23,N,N,N,
CAM007,CU00041,2023-05-24,Y,Y,N,
CAM010,CU00743,2023-12-22,N,N,N,
CAM006,CU00387,2023-07-15,N,N,N,
CAM007,CU00568,2023-05-28,N,N,N,
CAM009,CU00661,2023-11-22,Y,N,N,
CAM007,CU00386,2023-05-26,Y,N,N,
CAM010,CU00105,2023-12-27,Y,Y,Y,7800.0
CAM003,CU00436,2023-10-01,Y,N,N,
CAM002,CU00560,2023-03-08,Y,N,N,
CAM001,CU00551,2023-06-21,N,N,N,
CAM002,CU00089,2023-03-25,Y,Y,N,
CAM009,CU00412,2023-11-24,Y,N,N,
CAM010,CU00529,2023-12-20,N,N,N,
CAM009,CU00067,2023-11-24,N,N,N,
CAM002,CU00691,2023-03-03,N,N,N,
CAM010,CU00296,2023-12-26,Y,N,N,
CAM001,CU00499,2023-06-28,N,N,N,
CAM007,CU00361,2023-05-14,Y,N,N,
CAM004,CU00798,2023-12-19,N,N,N,
CAM007,CU00639,2023-05-23,N,N,N,
CAM007,CU00259,2023-05-23,Y,Y,N,
CAM008,CU00115,2023-10-01,Y,N,N,
CAM007,CU00467,2023-05-22,N,N,N,
CAM010,CU00477,2024-01-03,Y,Y,N,
CAM005,CU00633,2024-03-22,Y,N,N,
CAM007,CU00021,2023-05-23,Y,N,N,
CAM005,CU00035,2024-03-02,Y,Y,N,
CAM010,CU00073,2023-12-30,Y,Y,Y,37200.0
CAM009,CU00476,2023-11-27,Y,N,N,
CAM002,CU00265,2023-03-07,N,N,N,
CAM005,CU00584,2024-03-30,N,N,N,
CAM010,CU00362,2024-01-02,N,N,N,
CAM009,CU00209,2023-11-24,Y,N,N,
CAM005,CU00631,2024-03-18,N,N,N,
CAM006,CU00199,2023-07-16,Y,N,N,
CAM001,CU00604,2023-06-22,Y,N,N,
CAM010,CU00525,2024-01-02,Y,N,N,
CAM002,CU00714,2023-03-16,Y,Y,N,
CAM001,CU00193,2023-06-08,Y,N,N,
CAM005,CU00185,2024-03-03,Y,N,N,
CAM004,CU00696,2023-12-08,Y,N,N,
CAM008,CU00294,2023-10-16,Y,Y,N,
CAM009,CU00322,2023-11-27,Y,N,N,
CAM009,CU00130,2023-11-29,N,N,N,
CAM001,CU00631,2023-06-27,N,N,N,
CAM003,CU00307,2023-09-26,N,N,N,
CAM010,CU00042,2023-12-31,Y,N,N,
CAM009,CU00667,2023-11-26,N,N,N,
CAM003,CU00736,2023-09-20,Y,N,N,
CAM002,CU00354,2023-03-17,Y,N,N,
CAM009,CU00498,2023-11-24,N,N,N,
CAM003,CU00322,2023-09-29,Y,N,N,
CAM002,CU00379,2023-03-18,Y,N,N,
CAM008,CU00453,2023-10-14,Y,N,N,
CAM001,CU00035,2023-06-15,Y,N,N,
CAM006,CU00325,2023-07-21,Y,N,N,
CAM004,CU00113,2023-12-15,Y,N,N,
CAM005,CU00654,2024-03-10,N,N,N,
CAM007,CU00151,2023-05-23,Y,N,N,
CAM003,CU00137,2023-09-15,N,N,N,
CAM010,CU00253,2024-01-04,N,N,N,
CAM002,CU00554,2023-03-23,N,N,N,
CAM007,CU00042,2023-05-01,Y,Y,N,
CAM005,CU00573,2024-03-01,N,N,N,
CAM004,CU00466,2023-12-11,N,N,N,
CAM006,CU00486,2023-07-25,Y,Y,Y,46600.0
CAM002,CU00788,2023-03-10,Y,N,N,
CAM007,CU00520,2023-05-13,N,N,N,
CAM010,CU00344,2023-12-20,Y,Y,N,
CAM005,CU00187,2024-03-15,N,N,N,
CAM005,CU00305,2024-03-12,N,N,N,
CAM002,CU00028,2023-03-21,N,N,N,
CAM002,CU00111,2023-03-10,N,N,N,
