고객ID,연월,이용횟수,이용시간(분)
CU00111,2023-11,11.0,174.0
CU00111,2023-12,11.0,307.0
CU00112,2023-11,23.0,770.0
CU00112,2023-12,18.0,331.0
CU00113,2023-01,8.0,234.0
CU00113,2023-02,11.0,326.0
CU00113,2023-03,15.0,167.0
CU00113,2023-04,11.0,193.0
CU00113,2023-05,11.0,319.0
CU00113,2023-06,24.0,389.0
CU00113,2023-07,13.0,146.0
CU00113,2023-08,14.0,571.0
CU00113,2023-09,13.0,485.0
CU00113,2023-10,9.0,294.0
CU00113,2023-11,19.0,667.0
CU00113,2023-12,14.0,443.0
CU00114,2023-01,9.0,156.0
CU00114,2023-02,14.0,153.0
CU00114,2023-04,14.0,528.0
CU00114,2023-05,19.0,389.0
CU00114,2023-06,14.0,551.0
CU00114,2023-08,19.0,742.0
CU00114,2023-09,19.0,580.0
CU00114,2023-10,12.0,341.0
CU00114,2023-12,13.0,330.0
CU00115,2023-01,12.0,142.0
CU00115,2023-02,11.0,331.0
CU00115,2023-03,7.0,101.0
CU00115,2023-04,12.0,426.0
CU00115,2023-05,24.0,459.0
CU00115,2023-06,12.0,377.0
CU00115,2023-07,11.0,226.0
CU00115,2023-08,25.0,560.0
CU00115,2023-09,15.0,
CU00115,2023-10,13.0,231.0
CU00115,2023-11,12.0,245.0
CU00115,2023-12,20.0,319.0
CU00116,2023-01,5.0,
CU00116,2023-02,6.0,169.0
CU00116,2023-03,3.0,42.0
CU00116,2023-04,4.0,143.0
CU00116,2023-05,7.0,126.0
CU00116,2023-06,5.0,57.0
CU00116,2023-07,4.0,35.0
CU00116,2023-08,4.0,89.0
CU00116,2023-09,2.0,58.0
CU00116,2023-10,,124.0
CU00116,2023-11,4.0,97.0
CU00116,2023-12,3.0,29.0
CU00117,2023-04,17.0,216.0
CU00117,2023-05,12.0,338.0
CU00117,2023-06,18.0,488.0
CU00117,2023-07,15.0,344.0
CU00117,2023-08,17.0,420.0
CU00117,2023-09,14.0,347.0
CU00117,2023-10,13.0,168.0
CU00117,2023-11,13.0,179.0
CU00117,2023-12,12.0,391.0
CU00118,2023-01,17.0,394.0
CU00118,2023-02,14.0,140.0
CU00118,2023-03,15.0,238.0
CU00118,2023-04,18.0,721.0
CU00118,2023-05,9.0,317.0
CU00118,2023-06,13.0,371.0
CU00118,2023-07,14.0,
CU00118,2023-09,19.0,549.0
CU00118,2023-10,11.0,283.0
CU00118,2023-11,16.0,321.0
CU00118,2023-12,7.0,150.0
CU00119,2023-01,11.0,426.0
CU00119,2023-02,12.0,349.0
CU00119,2023-03,12.0,141.0
CU00119,2023-04,16.0,247.0
CU00119,2023-05,14.0,449.0
CU00119,2023-06,15.0,537.0
CU00119,2023-08,21.0,600.0
CU00119,2023-09,9.0,336.0
CU00119,2023-10,16.0,242.0
CU00119,2023-11,12.0,310.0
CU00119,2023-12,11.0,161.0
CU00120,2023-01,8.0,271.0
CU00120,2023-02,11.0,271.0
CU00120,2023-03,5.0,114.0
CU00120,2023-04,4.0,139.0
CU00120,2023-05,9.0,332.0
CU00120,2023-06,3.0,107.0
CU00120,2023-07,5.0,124.0
CU00120,2023-08,4.0,139.0
CU00120,2023-09,3.0,81.0
CU00120,2023-10,6.0,228.0
CU00120,2023-11,3.0,107.0
CU00120,2023-12,3.0,91.0
CU00121,2023-07,6.0,212.0
CU00121,2023-08,4.0,57.0
CU00121,2023-09,4.0,107.0
CU00121,2023-10,4.0,126.0
CU00121,2023-11,2.0,65.0
CU00121,2023-12,4.0,126.0
CU00122,2023-04,,296.0
CU00122,2023-05,14.0,204.0
CU00122,2023-06,22.0,333.0
CU00122,2023-07,16.0,412.0
CU00122,2023-08,14.0,533.0
CU00122,2023-09,13.0,498.0
CU00122,2023-10,22.0,372.0
CU00122,2023-11,18.0,372.0
CU00122,2023-12,15.0,524.0
CU00123,2023-10,18.0,554.0
CU00123,2023-11,9.0,338.0
CU00123,2023-12,16.0,478.0
CU00124,2023-01,22.0,397.0
CU00124,2023-02,9.0,91.0
CU00124,2023-03,14.0,419.0
CU00124,2023-04,10.0,
CU00124,2023-05,9.0,265.0
CU00124,2023-06,12.0,330.0
CU00124,2023-08,22.0,849.0
CU00124,2023-09,15.0,157.0
CU00124,2023-10,13.0,231.0
CU00124,2023-11,16.0,289.0
CU00126,2023-01,20.0,537.0
CU00126,2023-02,21.0,413.0
CU00126,2023-03,16.0,216.0
CU00126,2023-04,17.0,301.0
CU00126,2023-05,19.0,643.0
CU00126,2023-06,15.0,270.0
CU00126,2023-07,14.0,280.0
CU00126,2023-08,15.0,304.0
CU00126,2023-09,15.0,515.0
CU00126,2023-11,21.0,697.0
CU00126,2023-12,8.0,238.0
CU00127,2023-01,3.0,10.0
CU00127,2023-02,4.0,50.0
CU00127,2023-03,3.0,89.0
CU00127,2023-04,3.0,110.0
CU00127,2023-05,3.0,49.0
CU00127,2023-06,2.0,35.0
CU00127,2023-07,2.0,34.0
CU00128,2023-01,10.0,213.0
CU00128,2023-02,10.0,159.0
CU00128,2023-04,12.0,121.0
CU00128,2023-05,13.0,216.0
CU00128,2023-06,19.0,579.0
CU00128,2023-07,11.0,198.0
CU00128,2023-08,20.0,318.0
CU00128,2023-09,17.0,547.0
CU00128,2023-10,7.0,100.0
CU00128,2023-12,10.0,249.0
CU00129,2023-11,3.0,47.0
CU00129,2023-12,4.0,136.0
CU00130,2023-01,4.0,100.0
CU00130,2023-02,4.0,91.0
CU00130,2023-03,4.0,100.0
CU00130,2023-04,2.0,52.0
CU00130,2023-05,2.0,
CU00130,2023-06,4.0,63.0
CU00130,2023-07,3.0,55.0
CU00130,2023-08,0.0,1.0
CU00130,2023-09,3.0,69.0
CU00130,2023-10,4.0,43.0
CU00131,2023-12,13.0,469.0
CU00132,2023-07,26.0,365.0
CU00132,2023-08,17.0,247.0
CU00132,2023-09,17.0,186.0
CU00132,2023-10,9.0,347.0
CU00132,2023-11,14.0,554.0
CU00132,2023-12,11.0,438.0
CU00133,2023-01,15.0,332.0
CU00133,2023-02,14.0,519.0
CU00133,2023-03,19.0,182.0
CU00133,2023-04,14.0,225.0
CU00133,2023-05,21.0,558.0
CU00133,2023-06,17.0,233.0
CU00133,2023-07,21.0,370.0
CU00133,2023-08,18.0,606.0
CU00133,2023-09,21.0,756.0
CU00133,2023-11,15.0,442.0
CU00133,2023-12,12.0,260.0
CU00134,2023-01,12.0,310.0
CU00134,2023-02,10.0,272.0
CU00134,2023-03,14.0,321.0
CU00134,2023-04,12.0,402.0
CU00134,2023-05,13.0,123.0
CU00134,2023-06,10.0,103.0
CU00134,2023-07,13.0,422.0
CU00134,2023-09,14.0,540.0
CU00134,2023-10,11.0,348.0
CU00134,2023-11,10.0,340.0
CU00135,2023-09,13.0,198.0
CU00135,2023-10,12.0,167.0
CU00135,2023-11,18.0,
CU00135,2023-12,13.0,347.0
CU00136,2023-01,3.0,39.0
CU00137,2023-01,13.0,424.0
CU00137,2023-02,16.0,
CU00137,2023-03,16.0,501.0
CU00137,2023-04,17.0,410.0
CU00137,2023-05,21.0,640.0
CU00137,2023-06,24.0,315.0
CU00137,2023-07,16.0,186.0
CU00137,2023-08,11.0,118.0
CU00137,2023-09,21.0,721.0
CU00137,2023-10,19.0,393.0
CU00137,2023-11,14.0,176.0
CU00137,2023-12,10.0,148.0
CU00138,2023-01,6.0,138.0
CU00138,2023-02,8.0,116.0
CU00138,2023-03,8.0,136.0
CU00138,2023-04,4.0,156.0
CU00138,2023-05,3.0,78.0
CU00138,2023-06,3.0,46.0
CU00138,2023-07,5.0,80.0
CU00138,2023-08,7.0,88.0
CU00138,2023-09,4.0,155.0
CU00138,2023-10,3.0,61.0
CU00138,2023-11,2.0,42.0
CU00138,2023-12,3.0,35.0
CU00139,2023-01,17.0,330.0
CU00139,2023-03,18.0,527.0
CU00139,2023-04,17.0,428.0
CU00139,2023-05,14.0,224.0
CU00139,2023-06,19.0,672.0
CU00139,2023-07,13.0,173.0
CU00139,2023-08,16.0,290.0
CU00139,2023-09,9.0,356.0
CU00139,2023-10,23.0,743.0
CU00139,2023-12,13.0,506.0
CU00142,2023-01,3.0,75.0
CU00142,2023-02,2.0,80.0
CU00142,2023-03,5.0,220.0
CU00142,2023-04,3.0,47.0
CU00142,2023-05,4.0,78.0
CU00142,2023-06,3.0,107.0
CU00142,2023-07,4.0,147.0
CU00143,2023-01,5.0,60.0
CU00143,2023-02,4.0,129.0
CU00143,2023-03,4.0,135.0
CU00143,2023-04,4.0,115.0
CU00143,2023-06,3.0,58.0
CU00143,2023-07,4.0,166.0
CU00143,2023-08,4.0,108.0
CU00143,2023-09,3.0,67.0
CU00145,2023-01,12.0,403.0
CU00145,2023-02,10.0,254.0
CU00145,2023-03,13.0,320.0
CU00145,2023-04,17.0,383.0
CU00145,2023-05,22.0,246.0
CU00145,2023-06,11.0,386.0
CU00145,2023-07,13.0,164.0
CU00145,2023-08,19.0,254.0
CU00145,2023-10,14.0,355.0
CU00145,2023-11,11.0,178.0
CU00145,2023-12,11.0,216.0
CU00146,2023-01,19.0,278.0
CU00146,2023-02,15.0,238.0
CU00146,2023-03,17.0,337.0
CU00146,2023-04,16.0,190.0
CU00146,2023-05,12.0,309.0
CU00146,2023-06,20.0,335.0
CU00146,2023-07,19.0,446.0
CU00146,2023-08,16.0,293.0
CU00146,2023-09,22.0,643.0
CU00146,2023-10,15.0,510.0
CU00146,2023-11,13.0,371.0
CU00146,2023-12,21.0,433.0
CU00147,2023-01,15.0,478.0
CU00147,2023-02,17.0,676.0
CU00147,2023-03,17.0,387.0
CU00147,2023-04,11.0,288.0
CU00147,2023-05,13.0,459.0
CU00147,2023-06,13.0,
CU00147,2023-07,16.0,608.0
CU00147,2023-08,17.0,201.0
CU00147,2023-09,7.0,300.0
CU00147,2023-10,8.0,
CU00147,2023-11,13.0,172.0
CU00147,2023-12,10.0,352.0
CU00149,2023-01,24.0,684.0
CU00149,2023-02,12.0,292.0
CU00149,2023-03,17.0,293.0
CU00149,2023-04,6.0,99.0
CU00149,2023-05,13.0,235.0
CU00149,2023-06,12.0,322.0
CU00149,2023-07,17.0,293.0
CU00149,2023-08,10.0,187.0
CU00149,2023-09,22.0,368.0
CU00149,2023-10,12.0,323.0
CU00149,2023-11,14.0,289.0
CU00149,2023-12,20.0,394.0
CU00152,2023-01,14.0,301.0
CU00152,2023-02,13.0,136.0
CU00152,2023-03,18.0,672.0
CU00152,2023-04,,145.0
CU00152,2023-05,11.0,148.0
CU00152,2023-06,21.0,431.0
CU00152,2023-07,12.0,339.0
CU00152,2023-08,14.0,396.0
CU00152,2023-09,18.0,438.0
CU00152,2023-10,17.0,375.0
CU00152,2023-11,15.0,487.0
CU00152,2023-12,12.0,280.0
CU00154,2023-01,15.0,209.0
CU00154,2023-02,13.0,182.0
CU00154,2023-03,13.0,280.0
CU00154,2023-04,14.0,344.0
CU00154,2023-05,20.0,559.0
CU00154,2023-06,14.0,215.0
CU00154,2023-07,14.0,216.0
CU00154,2023-08,16.0,289.0
CU00154,2023-09,15.0,404.0
CU00154,2023-10,8.0,192.0
CU00154,2023-11,13.0,118.0
CU00154,2023-12,14.0,534.0
CU00155,2023-01,12.0,211.0
CU00155,2023-02,13.0,429.0
CU00155,2023-03,13.0,350.0
CU00155,2023-04,10.0,288.0
CU00155,2023-05,18.0,259.0
CU00155,2023-06,,395.0
CU00155,2023-07,23.0,295.0
CU00155,2023-08,12.0,237.0
CU00155,2023-10,11.0,273.0
CU00155,2023-11,10.0,340.0
CU00155,2023-12,9.0,117.0
CU00156,2023-01,14.0,199.0
CU00156,2023-02,16.0,368.0
CU00156,2023-03,21.0,376.0
CU00156,2023-04,11.0,238.0
CU00156,2023-05,10.0,313.0
CU00156,2023-06,11.0,126.0
CU00156,2023-07,16.0,221.0
CU00156,2023-08,11.0,422.0
CU00156,2023-09,10.0,335.0
CU00156,2023-10,14.0,419.0
CU00156,2023-11,7.0,103.0
CU00156,2023-12,19.0,254.0
CU00157,2023-01,16.0,258.0
CU00157,2023-02,21.0,346.0
CU00157,2023-03,13.0,331.0
CU00157,2023-04,10.0,302.0
CU00157,2023-05,7.0,280.0
CU00157,2023-06,21.0,611.0
CU00157,2023-07,19.0,693.0
CU00157,2023-08,13.0,358.0
CU00157,2023-09,20.0,371.0
CU00157,2023-10,,201.0
CU00157,2023-11,23.0,655.0
CU00157,2023-12,17.0,473.0
CU00158,2023-01,16.0,626.0
CU00158,2023-02,14.0,462.0
CU00158,2023-03,21.0,783.0
CU00158,2023-04,11.0,250.0
CU00158,2023-05,20.0,577.0
CU00158,2023-06,20.0,785.0
CU00158,2023-07,12.0,288.0
CU00158,2023-08,16.0,378.0
CU00158,2023-09,16.0,268.0
CU00158,2023-10,13.0,259.0
CU00158,2023-11,18.0,178.0
CU00158,2023-12,21.0,542.0
CU00159,2023-01,18.0,678.0
CU00159,2023-02,14.0,265.0
CU00159,2023-03,10.0,392.0
CU00159,2023-04,14.0,480.0
CU00159,2023-05,14.0,206.0
CU00159,2023-06,10.0,392.0
CU00159,2023-07,20.0,353.0
CU00159,2023-08,16.0,453.0
CU00159,2023-09,12.0,355.0
CU00159,2023-10,17.0,398.0
CU00159,2023-11,18.0,586.0
CU00159,2023-12,11.0,412.0
CU00160,2023-01,21.0,513.0
CU00160,2023-02,15.0,213.0
CU00160,2023-03,12.0,342.0
CU00160,2023-04,15.0,254.0
CU00160,2023-05,18.0,430.0
CU00160,2023-06,22.0,709.0
CU00160,2023-07,10.0,368.0
CU00160,2023-08,16.0,256.0
CU00160,2023-09,10.0,372.0
CU00160,2023-10,12.0,229.0
CU00160,2023-11,7.0,124.0
CU00160,2023-12,11.0,394.0
CU00161,2023-07,3.0,115.0
CU00161,2023-08,3.0,94.0
CU00161,2023-09,5.0,189.0
CU00161,2023-10,3.0,98.0
CU00161,2023-11,2.0,78.0
CU00161,2023-12,4.0,145.0
CU00164,2023-01,17.0,609.0
CU00164,2023-02,9.0,146.0
CU00164,2023-03,8.0,271.0
CU00164,2023-04,24.0,260.0
CU00164,2023-05,12.0,288.0
CU00164,2023-06,10.0,389.0
CU00164,2023-07,15.0,223.0
CU00164,2023-08,12.0,378.0
CU00164,2023-09,14.0,433.0
CU00164,2023-11,19.0,198.0
CU00164,2023-12,12.0,178.0
CU00165,2023-06,10.0,201.0
CU00165,2023-07,16.0,430.0
CU00165,2023-08,14.0,545.0
CU00165,2023-09,15.0,237.0
CU00165,2023-10,19.0,579.0
CU00165,2023-11,20.0,581.0
CU00165,2023-12,14.0,480.0
CU00166,2023-06,21.0,559.0
CU00166,2023-07,12.0,398.0
CU00166,2023-08,21.0,657.0
CU00166,2023-09,12.0,310.0
CU00166,2023-10,20.0,447.0
CU00166,2023-11,15.0,516.0
CU00166,2023-12,18.0,702.0
CU00167,2023-01,15.0,181.0
CU00167,2023-02,16.0,184.0
CU00167,2023-03,15.0,565.0
CU00167,2023-04,16.0,320.0
CU00167,2023-05,7.0,272.0
CU00167,2023-06,19.0,530.0
CU00167,2023-08,16.0,409.0
CU00167,2023-09,,159.0
CU00167,2023-10,15.0,215.0
CU00167,2023-11,23.0,735.0
CU00168,2023-01,17.0,594.0
CU00168,2023-02,19.0,485.0
CU00168,2023-03,13.0,266.0
CU00168,2023-04,15.0,438.0
CU00168,2023-05,15.0,203.0
CU00168,2023-06,14.0,384.0
CU00168,2023-07,11.0,168.0
CU00168,2023-08,21.0,544.0
CU00168,2023-09,15.0,304.0
CU00168,2023-10,,568.0
CU00168,2023-11,19.0,723.0
CU00168,2023-12,9.0,241.0
CU00169,2023-01,13.0,372.0
CU00169,2023-02,16.0,586.0
CU00169,2023-03,14.0,338.0
CU00169,2023-04,17.0,408.0
CU00169,2023-05,12.0,169.0
CU00169,2023-06,13.0,291.0
CU00169,2023-07,25.0,903.0
CU00169,2023-09,11.0,221.0
CU00169,2023-10,23.0,320.0
CU00169,2023-11,16.0,477.0
CU00170,2023-06,15.0,333.0
CU00170,2023-07,15.0,145.0
CU00170,2023-08,17.0,574.0
CU00170,2023-09,15.0,418.0
CU00170,2023-10,8.0,238.0
CU00170,2023-11,14.0,266.0
CU00170,2023-12,18.0,229.0
CU00171,2023-01,7.0,143.0
CU00171,2023-02,8.0,264.0
CU00171,2023-03,5.0,51.0
CU00171,2023-04,3.0,36.0
CU00171,2023-05,6.0,221.0
CU00171,2023-06,1.0,16.0
CU00171,2023-07,4.0,128.0
CU00171,2023-08,3.0,116.0
CU00171,2023-09,3.0,25.0
CU00171,2023-10,6.0,195.0
CU00171,2023-12,2.0,58.0
CU00173,2023-09,14.0,224.0
CU00173,2023-10,13.0,314.0
CU00173,2023-11,11.0,173.0
CU00173,2023-12,18.0,460.0
CU00174,2023-01,2.0,40.0
CU00174,2023-02,3.0,68.0
CU00174,2023-03,7.0,97.0
CU00174,2023-04,2.0,49.0
CU00175,2023-01,13.0,215.0
CU00175,2023-02,14.0,469.0
CU00175,2023-03,12.0,398.0
CU00175,2023-04,15.0,232.0
CU00175,2023-05,22.0,373.0
CU00175,2023-06,13.0,349.0
CU00175,2023-07,19.0,722.0
CU00175,2023-08,15.0,478.0
CU00175,2023-09,9.0,105.0
CU00175,2023-11,19.0,208.0
CU00175,2023-12,20.0,392.0
CU00177,2023-01,4.0,131.0
CU00177,2023-02,8.0,84.0
CU00177,2023-03,2.0,19.0
CU00177,2023-04,2.0,42.0
CU00177,2023-05,4.0,94.0
CU00177,2023-06,1.0,37.0
CU00177,2023-07,4.0,108.0
CU00177,2023-08,3.0,112.0
CU00177,2023-09,4.0,58.0
CU00178,2023-01,11.0,428.0
CU00178,2023-02,20.0,712.0
CU00178,2023-03,14.0,496.0
CU00178,2023-04,12.0,297.0
CU00178,2023-05,10.0,194.0
CU00178,2023-06,22.0,817.0
CU00178,2023-07,11.0,223.0
CU00178,2023-08,13.0,500.0
CU00178,2023-09,20.0,546.0
CU00178,2023-10,18.0,
CU00178,2023-11,12.0,407.0
CU00178,2023-12,15.0,522.0
CU00180,2023-01,9.0,337.0
CU00180,2023-02,10.0,118.0
CU00180,2023-03,15.0,451.0
CU00180,2023-04,16.0,445.0
CU00180,2023-05,15.0,271.0
CU00180,2023-06,12.0,144.0
CU00180,2023-07,17.0,224.0
CU00180,2023-08,13.0,176.0
CU00180,2023-09,18.0,718.0
CU00180,2023-10,20.0,729.0
CU00180,2023-11,16.0,289.0
CU00180,2023-12,15.0,450.0
CU00181,2023-01,14.0,
CU00181,2023-02,12.0,124.0
CU00181,2023-03,12.0,
CU00181,2023-04,19.0,450.0
CU00181,2023-05,16.0,273.0
CU00181,2023-06,25.0,547.0
CU00181,2023-07,16.0,329.0
CU00181,2023-08,13.0,163.0
CU00181,2023-09,11.0,299.0
CU00181,2023-10,21.0,354.0
CU00181,2023-11,16.0,293.0
CU00181,2023-12,19.0,441.0
CU00182,2023-05,2.0,41.0
CU00186,2023-01,20.0,630.0
CU00186,2023-02,12.0,222.0
CU00186,2023-03,13.0,158.0
CU00186,2023-04,14.0,315.0
CU00186,2023-05,18.0,437.0
CU00186,2023-06,12.0,317.0
CU00186,2023-08,15.0,448.0
CU00186,2023-09,12.0,324.0
CU00186,2023-10,15.0,279.0
CU00186,2023-11,11.0,331.0
CU00186,2023-12,12.0,405.0
CU00187,2023-02,13.0,260.0
CU00187,2023-03,15.0,373.0
CU00187,2023-04,12.0,369.0
CU00187,2023-05,16.0,197.0
CU00187,2023-06,9.0,180.0
CU00187,2023-07,14.0,261.0
CU00187,2023-08,13.0,258.0
CU00187,2023-09,13.0,377.0
CU00187,2023-10,15.0,295.0
CU00187,2023-11,15.0,364.0
CU00187,2023-12,24.0,858.0
CU00188,2023-01,5.0,110.0
CU00188,2023-02,7.0,104.0
CU00188,2023-03,5.0,144.0
CU00188,2023-04,4.0,57.0
CU00188,2023-05,4.0,112.0
CU00188,2023-06,7.0,264.0
CU00188,2023-07,6.0,
CU00188,2023-08,5.0,167.0
CU00188,2023-09,4.0,127.0
CU00188,2023-10,3.0,122.0
CU00188,2023-11,4.0,40.0
CU00188,2023-12,1.0,12.0
CU00189,2023-03,15.0,593.0
CU00189,2023-04,19.0,493.0
CU00189,2023-05,13.0,479.0
CU00189,2023-06,11.0,437.0
CU00189,2023-07,19.0,616.0
CU00189,2023-08,11.0,254.0
CU00189,2023-09,10.0,
CU00189,2023-10,18.0,258.0
CU00189,2023-11,8.0,161.0
CU00189,2023-12,12.0,148.0
CU00190,2023-06,3.0,
CU00190,2023-07,5.0,216.0
CU00190,2023-08,2.0,30.0
CU00190,2023-10,3.0,47.0
CU00191,2023-01,11.0,292.0
CU00191,2023-02,14.0,343.0
CU00191,2023-03,18.0,276.0
CU00191,2023-04,18.0,355.0
CU00191,2023-05,17.0,334.0
CU00191,2023-06,15.0,272.0
CU00191,2023-07,15.0,262.0
CU00191,2023-08,20.0,421.0
CU00191,2023-09,14.0,512.0
CU00191,2023-10,14.0,249.0
CU00191,2023-11,13.0,368.0
CU00191,2023-12,12.0,250.0
CU00192,2023-08,16.0,372.0
CU00192,2023-09,12.0,345.0
CU00192,2023-10,14.0,343.0
CU00192,2023-12,17.0,456.0
CU00193,2023-01,8.0,87.0
CU00193,2023-02,4.0,130.0
CU00193,2023-03,3.0,105.0
CU00193,2023-04,3.0,38.0
CU00193,2023-05,4.0,139.0
CU00193,2023-06,5.0,173.0
CU00193,2023-07,4.0,108.0
CU00193,2023-08,5.0,71.0
CU00193,2023-09,2.0,39.0
CU00193,2023-10,4.0,153.0
CU00193,2023-11,4.0,126.0
CU00193,2023-12,3.0,55.0
CU00194,2023-01,16.0,515.0
CU00194,2023-02,11.0,300.0
CU00194,2023-03,15.0,598.0
CU00194,2023-04,23.0,795.0
CU00194,2023-05,14.0,570.0
CU00194,2023-06,15.0,253.0
CU00194,2023-07,15.0,284.0
CU00194,2023-08,23.0,888.0
CU00194,2023-09,13.0,254.0
CU00194,2023-10,18.0,270.0
CU00194,2023-11,11.0,259.0
CU00195,2023-01,12.0,391.0
CU00195,2023-02,20.0,394.0
CU00195,2023-03,20.0,565.0
CU00195,2023-04,5.0,161.0
CU00195,2023-05,12.0,225.0
CU00195,2023-06,18.0,446.0
CU00195,2023-07,13.0,204.0
CU00195,2023-08,16.0,536.0
CU00195,2023-09,18.0,549.0
CU00195,2023-10,13.0,415.0
CU00195,2023-11,18.0,462.0
CU00197,2023-02,4.0,66.0
CU00197,2023-04,,70.0
CU00197,2023-05,3.0,75.0
CU00197,2023-06,2.0,74.0
CU00197,2023-07,3.0,123.0
CU00198,2023-01,12.0,459.0
CU00198,2023-03,18.0,557.0
CU00198,2023-04,14.0,325.0
CU00198,2023-05,18.0,296.0
CU00198,2023-06,16.0,210.0
CU00198,2023-07,20.0,564.0
CU00198,2023-08,22.0,809.0
CU00198,2023-10,16.0,534.0
CU00198,2023-11,16.0,174.0
CU00198,2023-12,11.0,130.0
CU00199,2023-01,12.0,406.0
CU00199,2023-02,8.0,172.0
CU00199,2023-03,16.0,291.0
CU00199,2023-04,13.0,356.0
CU00199,2023-05,13.0,262.0
CU00199,2023-06,12.0,432.0
CU00199,2023-07,20.0,351.0
CU00199,2023-08,30.0,414.0
CU00199,2023-09,16.0,384.0
CU00199,2023-10,11.0,398.0
CU00199,2023-11,16.0,446.0
CU00199,2023-12,15.0,517.0
CU00200,2023-03,5.0,75.0
CU00200,2023-04,4.0,55.0
CU00200,2023-05,3.0,119.0
CU00200,2023-06,3.0,60.0
CU00201,2023-04,19.0,314.0
CU00201,2023-05,11.0,254.0
CU00201,2023-06,10.0,256.0
CU00201,2023-07,20.0,668.0
CU00201,2023-08,16.0,517.0
CU00201,2023-09,,271.0
CU00201,2023-10,10.0,356.0
CU00201,2023-11,21.0,319.0
CU00201,2023-12,21.0,606.0
CU00202,2023-10,20.0,780.0
CU00202,2023-11,20.0,598.0
CU00202,2023-12,,204.0
CU00203,2023-01,11.0,143.0
CU00203,2023-02,11.0,383.0
CU00203,2023-03,18.0,210.0
CU00203,2023-04,11.0,291.0
CU00203,2023-06,15.0,198.0
CU00203,2023-07,13.0,416.0
CU00203,2023-08,15.0,445.0
CU00203,2023-09,14.0,166.0
CU00203,2023-10,14.0,162.0
CU00203,2023-11,17.0,235.0
CU00203,2023-12,22.0,684.0
CU00204,2023-01,15.0,424.0
CU00204,2023-02,22.0,810.0
CU00204,2023-03,9.0,191.0
CU00204,2023-04,18.0,565.0
CU00204,2023-05,12.0,170.0
CU00204,2023-06,17.0,484.0
CU00204,2023-07,20.0,460.0
CU00204,2023-08,10.0,278.0
CU00204,2023-09,21.0,307.0
CU00204,2023-10,20.0,524.0
CU00204,2023-11,16.0,293.0
CU00204,2023-12,16.0,489.0
CU00205,2023-01,11.0,315.0
CU00205,2023-02,8.0,272.0
CU00205,2023-03,16.0,487.0
CU00205,2023-04,17.0,429.0
CU00205,2023-05,15.0,400.0
CU00205,2023-06,11.0,391.0
CU00205,2023-07,19.0,251.0
CU00205,2023-08,14.0,330.0
CU00205,2023-09,17.0,371.0
CU00205,2023-10,12.0,178.0
CU00205,2023-11,10.0,263.0
CU00205,2023-12,12.0,289.0
CU00208,2023-01,15.0,379.0
CU00208,2023-02,14.0,544.0
CU00208,2023-03,17.0,447.0
CU00208,2023-04,15.0,153.0
CU00208,2023-05,14.0,547.0
CU00208,2023-06,17.0,677.0
CU00208,2023-08,11.0,379.0
CU00208,2023-09,14.0,379.0
CU00208,2023-10,18.0,393.0
CU00208,2023-11,12.0,214.0
CU00208,2023-12,14.0,204.0
CU00209,2023-01,15.0,176.0
CU00209,2023-02,13.0,510.0
CU00209,2023-03,18.0,206.0
CU00209,2023-04,13.0,174.0
CU00209,2023-05,18.0,592.0
CU00209,2023-06,21.0,780.0
CU00209,2023-07,13.0,367.0
CU00209,2023-08,8.0,259.0
CU00209,2023-09,14.0,345.0
CU00209,2023-10,8.0,312.0
CU00209,2023-11,11.0,142.0
CU00209,2023-12,16.0,365.0
CU00210,2023-01,12.0,421.0
CU00210,2023-02,22.0,468.0
CU00210,2023-03,16.0,214.0
CU00210,2023-04,15.0,363.0
CU00210,2023-05,18.0,384.0
CU00210,2023-07,11.0,233.0
CU00210,2023-08,21.0,762.0
CU00210,2023-09,11.0,292.0
CU00210,2023-10,24.0,272.0
CU00210,2023-11,23.0,829.0
CU00210,2023-12,24.0,787.0
CU00211,2023-01,22.0,507.0
CU00211,2023-02,10.0,363.0
CU00211,2023-03,12.0,390.0
CU00211,2023-04,16.0,411.0
CU00211,2023-05,18.0,437.0
CU00211,2023-06,16.0,173.0
CU00211,2023-07,16.0,587.0
CU00211,2023-08,14.0,164.0
CU00211,2023-09,10.0,184.0
CU00211,2023-11,9.0,143.0
CU00211,2023-12,16.0,414.0
CU00212,2023-01,5.0,58.0
CU00212,2023-02,3.0,30.0
CU00212,2023-03,5.0,161.0
CU00213,2023-01,4.0,106.0
CU00215,2023-01,15.0,478.0
CU00215,2023-02,18.0,206.0
CU00215,2023-03,15.0,208.0
CU00215,2023-04,20.0,629.0
CU00215,2023-05,14.0,539.0
CU00215,2023-06,18.0,479.0
CU00215,2023-07,11.0,339.0
CU00215,2023-08,17.0,591.0
CU00215,2023-09,19.0,429.0
CU00215,2023-10,12.0,177.0
CU00215,2023-12,12.0,226.0
CU00217,2023-01,16.0,265.0
CU00217,2023-02,17.0,408.0
CU00217,2023-03,11.0,269.0
CU00217,2023-05,15.0,252.0
CU00217,2023-06,17.0,553.0
CU00217,2023-07,8.0,254.0
CU00217,2023-08,8.0,95.0
CU00217,2023-09,10.0,206.0
CU00217,2023-10,13.0,310.0
CU00217,2023-11,14.0,491.0
CU00217,2023-12,19.0,485.0
CU00218,2023-01,15.0,148.0
CU00218,2023-02,16.0,261.0
CU00218,2023-03,20.0,652.0
