구매ID,유저ID,상품ID,구매일,평점,구매금액
PU002378,U0064,P081,2024-01-07,4.0,22100
PU002379,U0064,P094,2024-10-23,5.0,43600
PU002380,U0064,P086,2024-03-17,,55800
PU002381,U0064,P042,2024-06-10,2.0,9600
PU002382,U0064,P093,2024-07-01,4.0,23900
PU002383,U0064,P086,2024-05-23,4.0,56100
PU002384,U0064,P026,2024-12-21,3.0,71500
PU002385,U0064,P017,2024-03-08,,81300
PU002386,U0064,P100,2024-02-24,5.0,22900
PU002387,U0065,P068,2024-03-19,4.0,28000
PU002388,U0065,P091,2024-11-07,4.0,47700
PU002389,U0065,P030,2024-02-03,5.0,129000
PU002390,U0065,P089,2024-04-11,5.0,24200
PU002391,U0065,P036,2024-01-29,5.0,69800
PU002392,U0065,P025,2024-11-16,5.0,150500
PU002393,U0065,P016,2024-03-30,,251400
PU002394,U0065,P038,2024-10-12,4.0,165400
PU002395,U0065,P003,2024-02-20,2.0,88600
PU002396,U0065,P039,2024-03-29,5.0,171600
PU002397,U0065,P036,2024-10-28,4.0,63100
PU002398,U0065,P033,2024-11-28,5.0,73300
PU002399,U0065,P066,2024-09-30,4.0,15800
PU002400,U0065,P032,2024-05-15,5.0,87000
PU002401,U0065,P066,2024-04-29,5.0,15900
PU002402,U0065,P087,2024-06-20,2.0,25400
PU002403,U0065,P093,2024-03-10,3.0,22500
PU002404,U0065,P090,2024-06-23,,28400
PU002405,U0065,P073,2024-02-13,3.0,52900
PU002406,U0065,P039,2024-06-19,5.0,164600
PU002407,U0065,P040,2024-12-13,3.0,86600
PU002408,U0065,P063,2024-05-05,4.0,46200
PU002409,U0065,P063,2024-08-30,4.0,47900
PU002410,U0065,P062,2024-12-15,3.0,52300
PU002411,U0065,P029,2024-03-30,4.0,63300
PU002412,U0065,P038,2024-07-26,5.0,168900
PU002413,U0065,P001,2024-09-17,4.0,241600
PU002414,U0065,P078,2024-11-29,4.0,19600
PU002415,U0065,P038,2024-05-06,5.0,164900
PU002416,U0065,P078,2024-09-04,4.0,20300
PU002417,U0065,P073,2024-02-25,4.0,48300
PU002418,U0065,P075,2024-04-10,4.0,8100
PU002419,U0065,P062,2024-07-09,5.0,46700
PU002420,U0065,P082,2024-10-08,3.0,45200
PU002421,U0065,P047,2024-05-06,,23200
PU002422,U0065,P037,2024-03-04,5.0,94000
PU002423,U0065,P065,2024-10-12,4.0,60000
PU002424,U0065,P010,2024-02-17,5.0,137400
PU002425,U0065,P039,2024-10-29,5.0,167900
PU002426,U0065,P008,2024-11-02,5.0,222800
PU002427,U0065,P069,2024-06-12,4.0,23000
PU002428,U0065,P025,2024-04-07,5.0,152800
PU002429,U0065,P063,2024-10-30,,52000
PU002430,U0065,P033,2024-08-31,,72100
PU002431,U0065,P023,2024-05-22,4.0,115500
PU002432,U0065,P095,2024-09-10,2.0,33300
PU002433,U0065,P061,2024-10-24,5.0,62500
PU002434,U0065,P003,2024-02-10,3.0,82700
PU002435,U0065,P075,2024-07-27,5.0,10200
PU002436,U0065,P080,2024-08-17,5.0,66400
PU002437,U0065,P038,2024-07-01,,161300
PU002438,U0066,P043,2024-09-23,3.0,17800
PU002439,U0066,P079,2024-08-13,2.0,18400
PU002440,U0066,P046,2024-03-16,4.0,15700
PU002441,U0066,P046,2024-05-30,,18400
PU002442,U0066,P044,2024-07-24,3.0,24400
PU002443,U0066,P007,2024-09-09,2.0,372500
PU002444,U0066,P052,2024-04-14,,36100
PU002445,U0066,P056,2024-05-28,,19000
PU002446,U0066,P041,2024-09-21,,36000
PU002447,U0066,P047,2024-11-09,4.0,29500
PU002448,U0066,P050,2024-01-17,4.0,28800
PU002449,U0066,P047,2024-10-02,5.0,25800
PU002450,U0066,P021,2024-07-14,4.0,114800
PU002451,U0066,P043,2024-11-03,4.0,18600
PU002452,U0066,P055,2024-10-14,3.0,23000
PU002453,U0066,P055,2024-03-13,4.0,20300
PU002454,U0066,P045,2024-10-17,,37500
PU002455,U0066,P049,2024-08-16,4.0,27900
PU002456,U0066,P049,2024-01-10,,31800
PU002457,U0066,P097,2024-10-09,,13700
PU002458,U0066,P046,2024-09-11,5.0,14700
PU002459,U0066,P044,2024-08-17,4.0,21400
PU002460,U0066,P058,2024-07-17,5.0,33100
PU002461,U0066,P046,2024-05-25,4.0,14400
PU002462,U0066,P070,2024-11-14,3.0,44300
PU002463,U0066,P059,2024-07-24,,49500
PU002464,U0066,P057,2024-07-09,5.0,22200
PU002465,U0066,P038,2024-10-21,1.0,181600
PU002466,U0066,P056,2024-06-11,5.0,16600
PU002467,U0066,P021,2024-11-10,,105000
PU002468,U0066,P048,2024-07-28,5.0,43400
PU002469,U0066,P050,2024-02-20,5.0,33800
PU002470,U0066,P048,2024-06-17,4.0,45600
PU002471,U0066,P098,2024-02-15,2.0,23600
PU002472,U0066,P030,2024-01-16,5.0,130200
PU002473,U0066,P050,2024-11-22,,36200
PU002474,U0066,P055,2024-10-04,5.0,22400
PU002475,U0066,P037,2024-09-25,2.0,81300
PU002476,U0066,P051,2024-07-21,,11200
PU002477,U0066,P051,2024-03-06,4.0,9900
PU002478,U0066,P058,2024-08-29,,33300
PU002479,U0067,P079,2024-09-13,5.0,17000
PU002480,U0067,P066,2024-04-06,,13400
PU002481,U0067,P029,2024-12-24,3.0,57700
PU002482,U0067,P070,2024-10-12,,51300
PU002483,U0067,P078,2024-12-09,4.0,19000
PU002484,U0067,P062,2024-11-28,4.0,52100
PU002485,U0067,P077,2024-12-20,5.0,47800
PU002486,U0067,P075,2024-06-11,4.0,9500
PU002487,U0067,P062,2024-06-21,4.0,47100
PU002488,U0067,P067,2024-09-14,4.0,69300
PU002489,U0067,P064,2024-06-30,3.0,63300
PU002490,U0067,P014,2024-11-24,3.0,32300
PU002491,U0067,P077,2024-06-15,5.0,42300
PU002492,U0067,P098,2024-04-07,3.0,29100
PU002493,U0067,P066,2024-06-02,,15000
PU002494,U0067,P072,2024-11-01,5.0,62000
PU002495,U0067,P081,2024-03-12,4.0,19500
PU002496,U0067,P042,2024-01-07,2.0,9100
PU002497,U0067,P069,2024-12-27,4.0,22200
PU002498,U0067,P054,2024-02-23,4.0,32500
PU002499,U0067,P063,2024-12-13,4.0,45800
PU002500,U0067,P097,2024-01-10,3.0,14700
PU002501,U0067,P074,2024-04-08,4.0,62900
PU002502,U0067,P070,2024-09-08,4.0,43100
PU002503,U0067,P067,2024-04-08,5.0,58700
PU002504,U0067,P078,2024-10-22,4.0,21200
PU002505,U0067,P076,2024-10-16,5.0,44500
PU002506,U0067,P078,2024-07-30,,21000
PU002507,U0067,P073,2024-04-03,4.0,49500
PU002508,U0067,P080,2024-02-29,4.0,52500
PU002509,U0067,P025,2024-03-01,3.0,119700
PU002510,U0067,P004,2024-06-26,2.0,214500
PU002511,U0067,P074,2024-09-08,4.0,52100
PU002512,U0067,P087,2024-06-20,3.0,21200
PU002513,U0067,P034,2024-07-22,3.0,85900
PU002514,U0067,P075,2024-09-08,,9300
PU002515,U0067,P074,2024-06-01,,54200
PU002516,U0067,P039,2024-05-27,3.0,181500
PU002517,U0067,P023,2024-08-16,5.0,144400
PU002518,U0067,P071,2024-10-06,5.0,14200
PU002519,U0067,P007,2024-10-12,4.0,364900
PU002520,U0067,P025,2024-12-09,4.0,138000
PU002521,U0067,P039,2024-10-17,5.0,163000
PU002522,U0067,P043,2024-03-28,4.0,17800
PU002523,U0067,P076,2024-07-26,4.0,55100
PU002524,U0067,P068,2024-01-04,4.0,26200
PU002525,U0067,P006,2024-08-21,4.0,164900
PU002526,U0067,P095,2024-11-29,4.0,32000
PU002527,U0067,P079,2024-07-21,5.0,18900
PU002528,U0067,P072,2024-11-18,5.0,64500
PU002529,U0067,P078,2024-10-23,5.0,17200
PU002530,U0067,P073,2024-11-15,4.0,55300
PU002531,U0067,P059,2024-09-20,,44400
PU002532,U0067,P062,2024-03-31,,46800
PU002533,U0067,P068,2024-10-30,5.0,25700
PU002534,U0068,P035,2024-06-01,4.0,82500
PU002535,U0068,P069,2024-12-21,3.0,20700
PU002536,U0068,P022,2024-12-24,4.0,175900
PU002537,U0068,P033,2024-12-15,5.0,82800
PU002538,U0068,P024,2024-11-14,4.0,105000
PU002539,U0068,P037,2024-10-29,5.0,91200
PU002540,U0068,P025,2024-02-21,5.0,115300
PU002541,U0068,P009,2024-01-17,2.0,181700
PU002542,U0068,P038,2024-01-15,4.0,156100
PU002543,U0068,P024,2024-03-31,5.0,105000
PU002544,U0068,P021,2024-05-14,4.0,116600
PU002545,U0068,P037,2024-09-03,5.0,89300
PU002546,U0068,P040,2024-04-01,4.0,95300
PU002547,U0068,P029,2024-04-12,5.0,68800
PU002548,U0068,P069,2024-06-21,,19800
PU002549,U0068,P036,2024-09-05,5.0,72000
PU002550,U0068,P031,2024-10-27,3.0,29800
PU002551,U0068,P019,2024-06-10,,184800
PU002552,U0068,P027,2024-03-26,5.0,75400
PU002553,U0068,P038,2024-04-19,4.0,183400
PU002554,U0068,P060,2024-06-21,2.0,28400
PU002555,U0068,P078,2024-04-17,4.0,19600
PU002556,U0068,P030,2024-02-15,3.0,121000
PU002557,U0068,P038,2024-04-24,4.0,165100
PU002558,U0068,P062,2024-11-18,,46900
PU002559,U0068,P029,2024-02-10,5.0,62600
PU002560,U0068,P036,2024-10-12,4.0,61500
PU002561,U0068,P040,2024-02-17,,82500
PU002562,U0068,P022,2024-05-23,4.0,143900
PU002563,U0068,P040,2024-04-02,5.0,84100
PU002564,U0068,P026,2024-03-18,5.0,69100
PU002565,U0068,P030,2024-03-19,4.0,119600
PU002566,U0068,P035,2024-07-03,4.0,89100
PU002567,U0068,P029,2024-05-02,4.0,63600
PU002568,U0068,P091,2024-08-06,4.0,47600
PU002569,U0069,P089,2024-04-14,,18700
PU002570,U0069,P049,2024-10-21,5.0,25600
PU002571,U0069,P089,2024-08-28,4.0,22400
PU002572,U0069,P045,2024-12-23,,42100
PU002573,U0069,P056,2024-02-08,5.0,17200
PU002574,U0069,P048,2024-03-17,3.0,45200
PU002575,U0069,P047,2024-09-13,4.0,27400
PU002576,U0069,P043,2024-10-26,4.0,18300
PU002577,U0069,P098,2024-01-19,4.0,28100
PU002578,U0069,P018,2024-08-20,,83900
PU002579,U0069,P042,2024-09-11,4.0,10300
PU002580,U0069,P100,2024-05-27,5.0,20700
PU002581,U0069,P053,2024-01-15,,36500
PU002582,U0069,P088,2024-04-24,5.0,7000
PU002583,U0069,P075,2024-09-24,3.0,8300
PU002584,U0069,P099,2024-07-05,4.0,16700
PU002585,U0069,P091,2024-12-17,4.0,44600
PU002586,U0069,P043,2024-08-17,4.0,19600
PU002587,U0069,P049,2024-05-03,4.0,29500
PU002588,U0069,P099,2024-11-20,5.0,15800
PU002589,U0069,P056,2024-08-29,4.0,16700
PU002590,U0069,P091,2024-12-22,3.0,41500
PU002591,U0069,P090,2024-08-05,5.0,27200
PU002592,U0069,P059,2024-09-25,5.0,48900
PU002593,U0069,P057,2024-11-30,3.0,22100
PU002594,U0069,P025,2024-12-11,3.0,123600
PU002595,U0069,P070,2024-12-23,2.0,55800
PU002596,U0069,P077,2024-02-24,4.0,41500
PU002597,U0069,P097,2024-03-12,4.0,13400
PU002598,U0069,P075,2024-02-29,,9200
PU002599,U0069,P053,2024-01-22,5.0,29300
PU002600,U0069,P018,2024-08-12,3.0,69200
PU002601,U0069,P072,2024-01-26,,72300
PU002602,U0069,P010,2024-02-28,,137500
PU002603,U0069,P033,2024-11-30,,88800
PU002604,U0069,P082,2024-05-27,,47300
PU002605,U0069,P096,2024-07-01,5.0,42200
PU002606,U0069,P045,2024-03-26,5.0,38100
PU002607,U0069,P045,2024-01-16,5.0,40100
PU002608,U0069,P099,2024-06-26,3.0,19200
PU002609,U0069,P093,2024-09-10,5.0,27000
PU002610,U0069,P044,2024-09-18,5.0,26600
PU002611,U0069,P043,2024-09-02,5.0,19400
PU002612,U0069,P087,2024-06-06,4.0,23100
PU002613,U0069,P088,2024-08-13,3.0,8300
PU002614,U0069,P057,2024-08-24,4.0,25800
PU002615,U0069,P074,2024-03-16,3.0,63900
PU002616,U0069,P076,2024-05-01,4.0,51000
PU002617,U0069,P057,2024-09-16,4.0,23600
PU002618,U0069,P052,2024-11-19,5.0,46500
PU002619,U0069,P040,2024-04-11,3.0,99200
PU002620,U0069,P025,2024-01-26,,150000
PU002621,U0069,P081,2024-12-15,4.0,22100
PU002622,U0069,P060,2024-12-06,5.0,26900
PU002623,U0069,P087,2024-08-06,4.0,22100
PU002624,U0069,P077,2024-03-25,4.0,48500
PU002625,U0070,P048,2024-07-05,3.0,51500
PU002626,U0070,P020,2024-02-22,3.0,202600
PU002627,U0070,P085,2024-09-17,5.0,47900
PU002628,U0070,P097,2024-07-26,4.0,15200
PU002629,U0070,P055,2024-12-02,,17900
PU002630,U0070,P099,2024-04-26,4.0,18400
PU002631,U0070,P013,2024-06-12,2.0,160400
PU002632,U0070,P099,2024-11-01,5.0,20600
PU002633,U0070,P091,2024-07-12,5.0,46900
PU002634,U0070,P099,2024-08-07,4.0,15700
PU002635,U0070,P093,2024-01-25,3.0,23000
PU002636,U0070,P096,2024-04-12,4.0,43200
PU002637,U0070,P091,2024-06-30,4.0,38600
PU002638,U0070,P082,2024-09-05,,37600
PU002639,U0070,P077,2024-05-29,5.0,50700
PU002640,U0070,P087,2024-06-10,4.0,28100
PU002641,U0070,P015,2024-02-12,4.0,151200
PU002642,U0070,P068,2024-05-18,2.0,22900
PU002643,U0070,P096,2024-01-18,5.0,49100
PU002644,U0071,P015,2024-05-06,4.0,147500
PU002645,U0071,P003,2024-06-05,,102100
PU002646,U0071,P002,2024-10-27,,110200
PU002647,U0071,P006,2024-04-04,4.0,135500
PU002648,U0071,P074,2024-01-16,4.0,68700
PU002649,U0071,P087,2024-09-16,,24300
PU002650,U0071,P063,2024-09-30,3.0,51900
PU002651,U0071,P007,2024-05-21,4.0,342300
PU002652,U0071,P051,2024-10-14,4.0,11400
PU002653,U0071,P009,2024-08-04,4.0,150700
PU002654,U0071,P014,2024-07-04,5.0,34000
PU002655,U0071,P003,2024-01-27,3.0,95600
PU002656,U0071,P072,2024-12-09,3.0,77500
PU002657,U0071,P010,2024-12-12,,138900
PU002658,U0071,P064,2024-05-31,5.0,58300
PU002659,U0071,P014,2024-01-20,5.0,38800
PU002660,U0071,P011,2024-03-31,5.0,122500
PU002661,U0071,P079,2024-06-30,5.0,17900
PU002662,U0071,P016,2024-06-15,4.0,248600
PU002663,U0071,P080,2024-01-10,2.0,58400
PU002664,U0071,P017,2024-01-23,4.0,77900
PU002665,U0071,P015,2024-03-13,4.0,142600
PU002666,U0071,P020,2024-06-11,4.0,204400
PU002667,U0071,P007,2024-08-01,5.0,303400
PU002668,U0071,P077,2024-05-19,4.0,54200
PU002669,U0071,P068,2024-12-17,5.0,28600
PU002670,U0071,P013,2024-10-11,4.0,145500
PU002671,U0071,P011,2024-03-28,,131800
PU002672,U0071,P006,2024-10-26,,177700
PU002673,U0071,P012,2024-09-27,3.0,263200
PU002674,U0071,P041,2024-11-05,5.0,37800
PU002675,U0071,P001,2024-08-08,4.0,260500
PU002676,U0071,P014,2024-04-14,4.0,33500
PU002677,U0071,P039,2024-10-14,,192100
PU002678,U0071,P015,2024-06-25,4.0,157200
PU002679,U0071,P087,2024-04-26,3.0,21700
PU002680,U0071,P047,2024-07-12,1.0,28500
PU002681,U0071,P019,2024-03-30,4.0,178200
PU002682,U0071,P059,2024-02-17,3.0,39700
PU002683,U0071,P005,2024-12-15,5.0,245800
PU002684,U0071,P001,2024-11-10,4.0,244400
PU002685,U0071,P010,2024-09-15,,148000
PU002686,U0071,P011,2024-07-23,5.0,130100
PU002687,U0071,P062,2024-07-20,4.0,46300
PU002688,U0071,P094,2024-12-14,5.0,51400
PU002689,U0072,P028,2024-01-29,3.0,55000
PU002690,U0072,P038,2024-02-28,4.0,174000
PU002691,U0072,P067,2024-04-11,4.0,54700
PU002692,U0072,P062,2024-06-12,4.0,43800
PU002693,U0072,P076,2024-06-29,5.0,45800
PU002694,U0072,P065,2024-03-16,5.0,73500
PU002695,U0072,P067,2024-07-21,4.0,54200
PU002696,U0072,P065,2024-10-07,4.0,68100
PU002697,U0072,P076,2024-04-25,4.0,49300
PU002698,U0072,P080,2024-04-20,5.0,52800
PU002699,U0072,P075,2024-11-06,5.0,10300
PU002700,U0072,P053,2024-10-17,,31300
PU002701,U0072,P071,2024-12-12,4.0,16300
PU002702,U0072,P069,2024-08-30,4.0,22400
PU002703,U0072,P064,2024-07-12,,56200
PU002704,U0072,P069,2024-07-16,3.0,18900
PU002705,U0072,P036,2024-09-14,,70200
PU002706,U0072,P071,2024-08-19,5.0,14700
PU002707,U0072,P072,2024-01-17,5.0,79600
PU002708,U0072,P077,2024-08-08,,54100
PU002709,U0072,P052,2024-03-22,4.0,40500
PU002710,U0072,P002,2024-11-29,5.0,113500
PU002711,U0072,P081,2024-11-18,2.0,20400
PU002712,U0072,P066,2024-02-19,3.0,13600
PU002713,U0073,P041,2024-08-17,3.0,35800
PU002714,U0073,P073,2024-12-04,4.0,59000
PU002715,U0073,P072,2024-07-01,4.0,77400
PU002716,U0073,P083,2024-12-04,5.0,33500
PU002717,U0073,P064,2024-06-21,5.0,59000
PU002718,U0073,P066,2024-12-11,,15400
PU002719,U0073,P047,2024-10-03,4.0,23000
PU002720,U0073,P028,2024-06-24,3.0,50400
PU002721,U0073,P076,2024-08-05,,55500
PU002722,U0073,P010,2024-10-31,4.0,161500
PU002723,U0073,P030,2024-06-16,,110000
PU002724,U0073,P016,2024-03-28,3.0,276000
PU002725,U0073,P020,2024-09-02,,174800
PU002726,U0073,P036,2024-04-27,,55400
PU002727,U0073,P068,2024-02-18,4.0,23400
PU002728,U0073,P062,2024-07-28,4.0,55600
PU002729,U0073,P011,2024-06-07,2.0,115800
PU002730,U0073,P098,2024-07-01,,26700
PU002731,U0073,P065,2024-08-13,3.0,67300
PU002732,U0073,P075,2024-02-08,,8100
PU002733,U0073,P080,2024-09-18,,58300
PU002734,U0073,P090,2024-07-04,5.0,30200
PU002735,U0073,P040,2024-09-02,2.0,83800
PU002736,U0073,P068,2024-07-23,4.0,28700
PU002737,U0073,P086,2024-06-12,3.0,56800
PU002738,U0073,P077,2024-09-01,3.0,54600
PU002739,U0073,P072,2024-11-11,4.0,69600
PU002740,U0073,P067,2024-11-13,4.0,61800
PU002741,U0073,P062,2024-10-20,5.0,54400
PU002742,U0073,P078,2024-06-25,4.0,19900
PU002743,U0073,P063,2024-11-17,,51700
PU002744,U0073,P025,2024-12-27,3.0,122500
PU002745,U0073,P066,2024-01-24,4.0,14400
PU002746,U0073,P079,2024-05-10,5.0,21400
PU002747,U0073,P068,2024-08-13,,23000
PU002748,U0073,P063,2024-06-21,4.0,46600
PU002749,U0073,P072,2024-05-30,5.0,65600
PU002750,U0073,P065,2024-09-01,4.0,61700
PU002751,U0073,P063,2024-01-25,4.0,54100
PU002752,U0073,P069,2024-05-15,4.0,21800
PU002753,U0073,P080,2024-01-26,4.0,63100
PU002754,U0073,P079,2024-02-27,3.0,17500
PU002755,U0073,P080,2024-12-02,,63800
PU002756,U0073,P064,2024-11-10,5.0,50500
PU002757,U0073,P065,2024-07-15,5.0,76100
PU002758,U0073,P066,2024-09-14,4.0,15000
PU002759,U0074,P019,2024-05-23,4.0,184400
PU002760,U0074,P070,2024-05-04,,46400
PU002761,U0074,P056,2024-09-12,1.0,18900
PU002762,U0074,P078,2024-04-02,3.0,18700
PU002763,U0074,P004,2024-05-24,4.0,199700
PU002764,U0074,P047,2024-03-25,4.0,24400
PU002765,U0074,P037,2024-08-16,2.0,88400
PU002766,U0074,P074,2024-01-14,2.0,66300
PU002767,U0074,P098,2024-11-15,4.0,29100
PU002768,U0074,P019,2024-03-18,5.0,194900
PU002769,U0074,P016,2024-07-14,5.0,287400
PU002770,U0074,P094,2024-11-21,,39900
PU002771,U0074,P086,2024-05-01,3.0,52900
PU002772,U0074,P012,2024-05-09,4.0,255300
PU002773,U0074,P048,2024-04-16,2.0,44400
PU002774,U0074,P095,2024-01-27,5.0,39100
PU002775,U0074,P037,2024-08-17,5.0,87100
PU002776,U0074,P061,2024-12-21,2.0,50200
PU002777,U0074,P097,2024-08-30,,13300
PU002778,U0074,P019,2024-04-29,4.0,177400
PU002779,U0074,P017,2024-02-03,4.0,83000
PU002780,U0074,P086,2024-07-19,4.0,55300
PU002781,U0074,P093,2024-07-13,5.0,22200
PU002782,U0074,P087,2024-02-02,4.0,24100
PU002783,U0074,P090,2024-07-09,4.0,23700
PU002784,U0074,P088,2024-08-13,,7600
PU002785,U0074,P064,2024-10-28,3.0,60900
PU002786,U0074,P004,2024-03-20,4.0,210100
PU002787,U0074,P089,2024-06-01,5.0,19900
PU002788,U0074,P092,2024-09-05,5.0,57400
PU002789,U0074,P096,2024-10-26,4.0,43700
PU002790,U0074,P076,2024-09-14,5.0,49500
PU002791,U0074,P018,2024-07-01,5.0,63900
PU002792,U0074,P054,2024-07-31,4.0,29700
PU002793,U0074,P005,2024-12-18,5.0,276500
PU002794,U0074,P096,2024-12-15,4.0,38200
PU002795,U0075,P095,2024-10-02,4.0,40700
PU002796,U0075,P043,2024-05-04,5.0,20800
PU002797,U0075,P041,2024-06-09,,36800
PU002798,U0075,P043,2024-01-08,5.0,20000
PU002799,U0075,P085,2024-07-18,,57200
PU002800,U0075,P059,2024-02-28,4.0,46900
PU002801,U0075,P078,2024-12-03,2.0,19300
PU002802,U0075,P052,2024-02-20,,39300
PU002803,U0075,P095,2024-10-08,,40000
PU002804,U0075,P009,2024-10-22,4.0,156300
PU002805,U0075,P033,2024-02-15,3.0,95200
PU002806,U0075,P086,2024-06-19,4.0,45700
PU002807,U0075,P069,2024-01-09,4.0,24400
PU002808,U0075,P059,2024-08-03,,44100
PU002809,U0075,P024,2024-06-06,,112300
PU002810,U0075,P087,2024-06-05,4.0,25100
PU002811,U0075,P049,2024-12-20,,28800
PU002812,U0075,P044,2024-09-26,5.0,26200
PU002813,U0075,P091,2024-05-28,4.0,41000
PU002814,U0075,P047,2024-11-04,5.0,29800
PU002815,U0075,P091,2024-02-07,4.0,39000
PU002816,U0075,P012,2024-08-13,2.0,271200
PU002817,U0075,P049,2024-07-08,,24800
PU002818,U0075,P097,2024-04-11,4.0,11800
PU002819,U0075,P012,2024-10-12,,228000
PU002820,U0075,P093,2024-07-09,5.0,22600
PU002821,U0075,P096,2024-08-18,4.0,44100
PU002822,U0075,P081,2024-05-02,4.0,25700
PU002823,U0075,P054,2024-12-20,4.0,28200
PU002824,U0075,P094,2024-09-06,5.0,49600
PU002825,U0075,P089,2024-02-08,5.0,21500
PU002826,U0075,P050,2024-10-21,3.0,34600
PU002827,U0075,P043,2024-09-19,4.0,18900
PU002828,U0075,P082,2024-10-19,4.0,46900
PU002829,U0075,P079,2024-07-17,3.0,21500
PU002830,U0075,P094,2024-12-28,4.0,42400
PU002831,U0075,P019,2024-04-22,3.0,184900
PU002832,U0075,P017,2024-01-23,3.0,69600
PU002833,U0075,P049,2024-03-06,,30800
PU002834,U0075,P065,2024-12-27,3.0,74000
PU002835,U0075,P019,2024-04-28,3.0,218000
PU002836,U0075,P001,2024-02-29,4.0,276900
PU002837,U0075,P012,2024-09-30,3.0,267900
PU002838,U0075,P098,2024-01-14,4.0,27200
PU002839,U0075,P083,2024-06-08,4.0,31200
PU002840,U0075,P044,2024-02-14,4.0,23300
PU002841,U0075,P062,2024-04-05,4.0,53300
PU002842,U0075,P092,2024-04-27,5.0,57400
PU002843,U0075,P089,2024-03-30,,22000
PU002844,U0075,P054,2024-01-26,5.0,33500
PU002845,U0075,P074,2024-07-08,4.0,57200
PU002846,U0075,P090,2024-05-04,4.0,24600
PU002847,U0075,P047,2024-12-02,4.0,24800
PU002848,U0075,P048,2024-08-07,4.0,43500
PU002849,U0075,P095,2024-02-04,,35200
PU002850,U0075,P051,2024-04-17,5.0,11900
PU002851,U0075,P049,2024-04-07,4.0,29600
PU002852,U0075,P029,2024-09-29,3.0,54800
PU002853,U0075,P099,2024-03-30,5.0,18600
PU002854,U0075,P045,2024-09-16,5.0,47400
PU002855,U0075,P052,2024-02-22,,43600
PU002856,U0076,P087,2024-06-15,3.0,22500
PU002857,U0076,P050,2024-09-15,,28100
PU002858,U0076,P023,2024-02-23,3.0,135200
PU002859,U0076,P056,2024-12-23,,19100
PU002860,U0076,P049,2024-10-30,4.0,32500
PU002861,U0076,P051,2024-09-14,,9000
PU002862,U0076,P050,2024-09-04,5.0,30800
PU002863,U0076,P084,2024-06-15,3.0,23900
PU002864,U0076,P041,2024-05-20,4.0,35600
PU002865,U0076,P045,2024-06-22,5.0,47200
PU002866,U0076,P041,2024-04-29,4.0,35700
PU002867,U0076,P048,2024-06-29,4.0,46600
PU002868,U0076,P050,2024-05-09,4.0,36800
PU002869,U0076,P069,2024-02-27,4.0,22000
PU002870,U0076,P052,2024-02-03,4.0,41100
PU002871,U0076,P050,2024-02-10,4.0,36900
PU002872,U0076,P052,2024-07-16,,46500
PU002873,U0076,P083,2024-07-12,5.0,40000
PU002874,U0076,P047,2024-07-24,,27500
PU002875,U0076,P051,2024-10-28,5.0,9500
PU002876,U0076,P045,2024-08-01,5.0,41200
PU002877,U0076,P052,2024-08-27,4.0,37700
PU002878,U0076,P059,2024-01-22,4.0,43500
PU002879,U0076,P010,2024-07-19,3.0,147400
PU002880,U0076,P056,2024-06-23,,17500
PU002881,U0076,P055,2024-08-07,5.0,20600
PU002882,U0076,P054,2024-07-22,4.0,29600
PU002883,U0076,P048,2024-03-01,4.0,47300
PU002884,U0076,P076,2024-02-27,,52900
PU002885,U0076,P059,2024-06-10,,43800
PU002886,U0076,P074,2024-04-30,4.0,56700
PU002887,U0076,P056,2024-10-31,4.0,18100
PU002888,U0076,P058,2024-07-05,4.0,32600
PU002889,U0076,P046,2024-09-28,5.0,14100
PU002890,U0076,P049,2024-12-15,5.0,25400
PU002891,U0076,P042,2024-04-14,,10000
PU002892,U0076,P073,2024-03-30,4.0,46000
PU002893,U0076,P025,2024-02-26,5.0,136200
PU002894,U0076,P053,2024-04-14,4.0,32300
PU002895,U0076,P050,2024-05-08,5.0,33600
PU002896,U0076,P084,2024-08-09,2.0,23500
PU002897,U0076,P047,2024-10-18,4.0,24400
PU002898,U0077,P017,2024-10-05,4.0,72600
PU002899,U0077,P071,2024-07-23,4.0,13300
PU002900,U0077,P080,2024-04-15,4.0,66600
PU002901,U0077,P058,2024-04-12,4.0,35100
PU002902,U0077,P043,2024-06-24,3.0,21900
PU002903,U0077,P078,2024-03-29,4.0,19800
PU002904,U0077,P095,2024-08-12,5.0,39400
PU002905,U0077,P041,2024-04-11,3.0,37000
PU002906,U0077,P099,2024-05-12,5.0,17600
PU002907,U0077,P012,2024-07-07,3.0,285600
PU002908,U0077,P079,2024-10-08,5.0,17300
PU002909,U0077,P062,2024-12-03,4.0,56500
PU002910,U0077,P061,2024-08-16,4.0,62300
PU002911,U0077,P095,2024-07-25,3.0,33200
PU002912,U0077,P100,2024-03-23,4.0,24800
PU002913,U0077,P095,2024-06-26,4.0,35000
PU002914,U0077,P082,2024-09-26,4.0,41300
PU002915,U0077,P048,2024-04-19,3.0,47400
PU002916,U0077,P095,2024-11-05,,33700
PU002917,U0077,P090,2024-08-11,,25500
PU002918,U0077,P087,2024-01-20,5.0,27400
PU002919,U0077,P073,2024-12-08,4.0,60000
PU002920,U0077,P087,2024-05-06,5.0,27300
PU002921,U0077,P079,2024-01-21,4.0,20100
PU002922,U0077,P079,2024-05-18,5.0,19400
PU002923,U0077,P063,2024-06-16,4.0,45400
PU002924,U0077,P017,2024-11-17,2.0,69800
PU002925,U0077,P081,2024-11-30,4.0,20700
